# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.622314  1.3004999854793198e-10  1.533500025097459e-13  1.3004999637952763e-12
2501.996826  1.2971999863164996e-10  1.5267000445969015e-13  1.2971999776428822e-12
2503.371094  1.2893000556069012e-10  1.5254999683172316e-13  1.2893000469332838e-12
2504.745605  1.277900008034294e-10  1.5259000389188787e-13  1.2778999863502505e-12
2506.119873  1.2478999777965072e-10  1.4929000418696659e-13  1.2479000038173593e-12
2507.494385  1.2449999364783082e-10  1.495599976329698e-13  1.244999979846395e-12
2508.868652  1.2492999690305595e-10  1.4976999404125307e-13  1.2493000340826899e-12
2510.24292  1.2544000560499313e-10  1.5002999927474225e-13  1.2544000126818444e-12
2511.617432  1.2376000224634254e-10  1.492299935967195e-13  1.2375999747585298e-12
2512.991699  1.2334000487612684e-10  1.486499996445484e-13  1.2333999923827554e-12
2514.365967  1.2329000320665529e-10  1.4847999674390266e-13  1.2328999583408051e-12
2515.740479  1.2341000443782946e-10  1.487099966822683e-13  1.234099953305312e-12
2517.114746  1.2266999915855337e-10  1.4792999453432792e-13  1.2266999482174468e-12
2518.489014  1.214800066096089e-10  1.4731999528703327e-13  1.2147999620126804e-12
2519.863281  1.1938999788796423e-10  1.4570999571847376e-13  1.1939000135741118e-12
2521.237549  1.1817999356900089e-10  1.4514000353134382e-13  1.1817999920685218e-12
2522.612061  1.170499946967496e-10  1.443100061107247e-13  1.170500003346009e-12
2523.986328  1.1489999923730565e-10  1.4268000301208283e-13  1.1489999490049696e-12
2525.360596  1.1036999786329105e-10  1.4027999953054177e-13  1.1037000306746148e-12
2526.734863  1.074099975628684e-10  1.378600060714455e-13  1.0741000103231535e-12
2528.109131  1.0642999676013787e-10  1.3769000317079977e-13  1.0643000153062743e-12
2529.483398  1.076699979174478e-10  1.3809000600981114e-13  1.076700035552991e-12
2530.857666  1.1233999841486764e-10  1.4102999638335861e-13  1.1233999841486764e-12
2532.231934  1.1806000621561452e-10  1.4485000655525826e-13  1.1805999971040149e-12
2533.606201  1.1928999454902112e-10  1.455400063703552e-13  1.1929000539104284e-12
2534.980469  1.1588000004003618e-10  1.4287999765532494e-13  1.158800052442066e-12
2536.354736  1.1225999990704949e-10  1.406499970744296e-13  1.1225999513655993e-12
2537.729004  1.0866999661240939e-10  1.3853000235646007e-13  1.0866999574504765e-12
2539.103271  1.0647999842960942e-10  1.368400022200983e-13  1.0648000493482246e-12
2540.477539  1.0810000117267293e-10  1.3810999598736634e-13  1.0809999813690685e-12
2541.851807  1.1072000261069803e-10  1.395599944203213e-13  1.1072000521278325e-12
2543.226074  1.1225000096093396e-10  1.4093999405051516e-13  1.1224999879252961e-12
2544.600342  1.1353999684882154e-10  1.418500055914637e-13  1.1354000422139632e-12
2545.974609  1.1258999982333151e-10  1.405099994689074e-13  1.1259000459382107e-12
2547.348877  1.105799965483989e-10  1.3912999983871355e-13  1.105800021862502e-12
2548.7229  1.0677000256142932e-10  1.368999992578182e-13  1.0676999648989716e-12
2550.097168  1.0514000087225028e-10  1.359900012693968e-13  1.0513999610176072e-12
2551.471436  1.1170000341342856e-10  1.4030000306062412e-13  1.1170000471447117e-12
2552.845703  1.2098000379268115e-10  1.455400063703552e-13  1.209799946853829e-12
2554.219727  1.258199933129589e-10  1.486900067047131e-13  1.2582000328761889e-12
2555.593994  1.2622999867595297e-10  1.492299935967195e-13  1.26230005181166e-12
2556.968262  1.242300012860298e-10  1.4745000468004144e-13  1.2422999911762544e-12
2558.342285  1.2242999669620502e-10  1.456700022108362e-13  1.2242999582884329e-12
2559.716553  1.21190002477789e-10  1.4484000479021708e-13  1.2119000464619334e-12
2561.090576  1.1997000615160403e-10  1.4477000598745599e-13  1.199699953095823e-12
2562.464844  1.1761000506815833e-10  1.4336000106213859e-13  1.1761000159871138e-12
2563.839111  1.16730000665477e-10  1.4241999777859365e-13  1.167299980633918e-12
