# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2501.164551  8.253499880067627e-13  3.604500002646208e-15  8.253500049474217e-15
2502.53833  7.31190010882371e-13  3.3990000687634213e-15  7.31190010882371e-15
2503.912109  7.918699875507362e-13  3.549900047107959e-15  7.918700112676588e-15
2505.285645  7.919599763310525e-13  3.585299883314321e-15  7.919599661666572e-15
2506.659424  7.055499847558044e-13  3.287900051027995e-15  7.055499847558044e-15
2508.032959  6.302300261523675e-13  3.1933000233468458e-15  6.3022999396511546e-15
2509.406738  7.664200220650064e-13  3.4756000110407062e-15  7.664199746311613e-15
2510.780518  7.766700151935757e-13  3.506300084939228e-15  7.766700050291803e-15
2512.154053  6.813999776748847e-13  3.3027000459571326e-15  6.814000166384003e-15
2513.527832  6.637600083285455e-13  3.2567999658201325e-15  6.6376000494041375e-15
2514.901367  5.643700025544096e-13  3.0381000822455716e-15  5.643700059425414e-15
2516.275146  5.165799970945073e-13  2.9305000046482e-15  5.1657998354198015e-15
2517.648682  4.940599795597023e-13  2.8561999685809475e-15  4.940600032766248e-15
2519.022461  5.204599771990726e-13  2.9135000533968064e-15  5.204599873634679e-15
2520.395996  5.647199830156879e-13  3.002099911437843e-15  5.647199999563469e-15
2521.769775  6.031199845102364e-13  3.1067000100942765e-15  6.031199845102364e-15
2523.143311  5.318900159721751e-13  2.9381000077674394e-15  5.318900193603069e-15
2524.516846  4.870199838032108e-13  2.8227000272752767e-15  4.870200159904628e-15
2525.890625  5.331500215269291e-13  2.9423000206364e-15  5.331499808693477e-15
2527.26416  5.707899972985653e-13  3.0254000937509143e-15  5.7079000746296064e-15
2528.637695  5.074899918702802e-13  2.8756999375761623e-15  5.074900071168733e-15
2530.011475  5.182800261009646e-13  2.8751000264912695e-15  5.182800210187669e-15
2531.38501  6.410299808329301e-13  3.1937000346561866e-15  6.410300028557867e-15
2532.758545  7.02879974275733e-13  3.345700097040971e-15  7.028800098511168e-15
2534.132324  6.900100065973525e-13  3.2892999847315696e-15  6.9000997949229814e-15
2535.505859  6.861400011527741e-13  3.2758999235060066e-15  6.861400130112353e-15
2536.879395  6.539699879716532e-13  3.2073999455450777e-15  6.5396999813604854e-15
2538.25293  6.915000256429993e-13  3.3168999180431405e-15  6.914999951498132e-15
2539.626465  6.915999890833024e-13  3.364999954502397e-15  6.9159998738923655e-15
2541.0  7.443599773018783e-13  3.4097999505991504e-15  7.443600179594598e-15
2542.373779  7.137399937566513e-13  3.298599982975948e-15  7.13740031026101e-15
2543.747314  7.866499877710875e-13  3.5019999104242546e-15  7.866500013236147e-15
2545.12085  8.017700002180272e-13  3.5398999761326747e-15  8.017699629485776e-15
