   Pixel    Wavelength
     72.14  5912.085	
    537.51  5606.733	
    609.47  5558.702	
    703.26  5495.874	
    768.76  5451.652	
   1110.42  5218.202	
   1221.59  5141.7826	
   1273.78  5105.541	
   1473.75  4965.0794	
   1558.79  4904.7514	
   1580.97  4889.0419	
   1593.70  4879.8634	
   1638.55  4847.8095	
   1696.78  4806.0202	
   1753.87  4764.8644	
   1793.89  4735.9055	
   1798.90  4732.0530	
   1806.34  4726.8681	
   1868.13  4681.994	
   1929.07  4637.2324	
   1966.92  4609.5669	
   1993.66  4589.8976	
   2007.94  4579.3493	
   2054.32  4545.0516	
   2100.49  4510.733	
   2139.35  4481.8104	
   2148.77  4474.7591	
   2183.22  4448.8791	
   2213.74  4426.0008	
   2247.35  4400.9860	
   2316.92  4348.0635	
   2409.27  4277.5279	
   2416.15  4272.169	
   2461.61  4237.2195	
   2473.60  4228.1577	
   2555.83  4164.284	
   2562.97  4158.590	
   2672.98  4072.0043	
   2697.09  4052.9206	
   2925.54  3868.5281	
   2947.31  3850.5808	
   2997.14  3809.18	
   3092.51  3729.3082	
   3202.20  3635.916	
   3256.28  3588.4403 	
   3365.87  3491.5356	
