     Channel     Wavelength
     555.0010    3440.6060   
     610.2510    3490.5740   
     642.9780    3519.9929 
     671.2426    3545.5950   
     711.4824    3581.1931  
     902.8995    3745.8994   
     991.2039    3820.4253   
    1007.6302    3834.2224  
    1027.0928    3850.5811   
    1048.8535    3868.5281   
    1060.8534    3878.5732   
    1070.4395    3886.2822   
    1203.5621    3994.7920    
    1276.0194    4052.9209   
    1299.9131    4072.0039    
    1340.0208    4103.9121    
    1375.2329    4131.7231    
    1409.3314    4158.5908    
    1416.4457    4164.1802    
    1439.0200    4181.8838    
    1450.4998    4190.7129    
    1538.6300    4259.3618    
    1547.6808    4266.2871    
    1555.2389    4272.1689   
    1562.0070    4277.5278    
    1591.3657    4300.1011    
    1653.6420    4348.0640   
    1667.4373    4358.4912    
    1683.6234    4370.7529    
    1700.2889    4383.7529    
    1723.0385    4400.9858    
    1756.5652    4426.0010    
    1786.5408    4448.8789    
    1830.3163    4481.8101    
    1868.8446    4510.7329    
    1914.7439    4545.0518    
    1960.8245    4579.3491    
    1975.0178    4589.8979   
    2001.5728    4609.5669    
    2067.0339    4657.9009   
    2161.1213    4726.8682    
    2173.2969    4735.9048    
    2213.2412    4764.8638    
    2269.9434    4806.0200    
    2327.7834    4847.8091    
    2372.3162    4879.8628    
    2384.9998    4889.0420    
    2491.4485    4965.0791    
    2553.6597    5009.3340    
    2564.7451    5017.1631    
    2593.8301    5037.7510    
    2627.9695    5062.0371    
    2654.2915    5080.3848   
    2668.6733    5090.4951    
    2705.9412    5116.5029    
    2741.9614    5141.7832   
    2771.3113    5162.2852    
    2807.8052    5187.7461    
    2856.1455    5221.2700    
    2864.2966    5227.1509    
    3029.8018    5341.0938    
    3116.2686    5400.5620    
    3191.3826    5451.6519    
    3256.4841    5495.8730    
    3271.7043    5506.1118    
    3349.7429    5558.7021    
    3370.1804    5572.5410    
    3421.1235    5606.7329    
    3486.7610    5650.7041    
    3620.3669    5739.5190    
    3658.1392    5764.4189    
    3742.8022    5820.1558    
    3792.0254    5852.4878    
    3883.3848    5912.0850    
    3933.4321    5944.8340    
    3980.3740    5975.5342    
