     Pixel  Wavelength
     76.04  5524.9321
    133.02  5506.0936
    163.92  5495.8661
    279.81  5457.4386
    297.27  5451.6394
    332.25  5440.016
    388.32  5421.3605
    444.75  5402.5622
    471.21  5393.7372
    499.25  5384.379
    531.73  5373.5341
    715.36  5312.0516
    734.26  5305.7081
    855.96  5264.7912
   1017.27  5210.3711
   1068.75  5192.9585
   1084.16  5187.7419
   1125.53  5173.7266
   1159.25  5162.2953
   1219.71  5141.7753
   1266.85  5125.7526
   1326.31  5105.5192
   1370.45  5090.4795
   1446.18  5064.6381
   1453.83  5062.0279
   1518.42  5039.9458
   1593.62  5014.1949
   1614.02  5007.2009
   1636.50  4999.4931
   1661.08  4991.0558
   1688.27  4981.7186
   1716.09  4972.1599
   1736.69  4965.0768
   1829.27  4933.2023
   1911.74  4904.7478
   1957.24  4889.0273
   1983.72  4879.8691
   2024.04  4865.9143
   2076.26  4847.8223
   2196.62  4806.0298
   2314.82  4764.8765
   2397.79  4735.9198
   2423.65  4726.8815
   2493.74  4702.3605
   2552.07  4681.9217
   2592.91  4667.5937
   2620.54  4657.8945
   2679.33  4637.2339
   2757.92  4609.5703
   2813.72  4589.896
   2843.63  4579.3427
   2940.68  4545.0413
   3037.56  4510.723
   3119.06  4481.7902
   3138.88  4474.7473
   3211.62  4448.8685
   3237.80  4439.5429
   3263.82  4430.2702
   3275.85  4425.9809
   3346.36  4400.8174
   3390.58  4385.0155
   3405.59  4379.6482
   3416.03  4375.9112
   3430.23  4370.8298
   3438.68  4367.8085
   3454.78  4362.0435
   3482.35  4352.168
   3493.89  4348.033
   3540.74  4331.2328
   3627.01  4300.252
   3690.25  4277.4989
   3705.10  4272.1511
   3721.18  4266.3604
   3740.67  4259.3381
   3802.02  4237.2096
   3827.31  4228.0799
   3903.13  4200.6735
   3909.64  4198.3198
   3954.95  4181.9175
   4003.90  4164.1804
   4019.26  4158.6092
   4093.27  4131.7437
