        pixel   wavelength
          49   5572.5410
          78   5562.7662
          90   5558.7020
         565   5400.5616
         742   5341.0938
         774   5330.7775
         955   5269.5370
        1080   5227.1891
        1197   5187.7460
        1331   5141.7826
        1482   5090.4948
        1511   5080.3830
        1565   5062.0370
        1695   5017.1626    
        1846   4965.0794
        2066   4889.0419
        2093   4879.8634
        2185   4847.8095
        2305   4806.0202
        2423   4764.8644
        2531   4726.8681
        2601   4702.3160
        2727   4657.9009
        2864   4609.5669
        2920   4589.8976
        3046   4545.0516
        3143   4510.7330
        3224   4481.8104
        3244   4474.7591
        3368   4430.1888
        3380   4426.0008
        3520   4375.9540
        3534   4370.7529
        3598   4348.0635
        3731   4300.1010
        3794   4277.5279
        3808   4272.1690
        3844   4259.3620
        3905   4237.2195
        4006   4200.6740
        4012   4198.3170
        4033   4190.7130    
