   Pixel    Wavelength     
   35.89    6752.8345
   59.18    6766.6506
   219.03   6861.2476
   236.00   6871.2697
   348.60   6937.656
   395.76   6965.4108
   569.23   7067.222
   705.72   7147.0427
   808.51   7206.9796
   921.92   7272.9476
   1060.48  7353.3065   
   1092.97  7372.114
   1113.48  7383.9767
   1321.33  7503.8884
   1340.03  7514.6527
   1549.93  7635.1141
   1999.31  7891.0619
   2100.21  7948.1648
   2202.91  8006.1433
   2218.23  8014.7818
   2376.26  8103.6916
   2396.92  8115.2941
   2663.66  8264.5236
   2922.19  8408.2331
   2951.86  8424.6661
   3127.02  8521.4337
   3280.42  8605.814
   3307.04  8620.4237
   3393.75  8667.9324

