    pixel   wavelength            
   35.89    6752.834 
   236.00   6871.289 
   395.76   6965.431 
   569.23   7067.218 
   705.72   7147.042 
   808.51   7206.980 
   921.92   7272.936 
   1060.48  7353.293   
   1092.97  7372.118 
   1113.48  7383.980 
   1321.33  7503.869 
   1340.03  7514.652 
   1549.93  7635.106 
   1999.31  7891.075 
   2100.21  7948.176 
   2202.91  8006.157 
   2218.23  8014.7816
   2376.26  8103.693 
   2396.92  8115.311 
   2663.66  8264.552 
   2922.19  8408.210 
   2951.86  8424.648 
   3127.02  8521.442 
   3280.42  8605.776 
   3393.75  8667.944 
