   Pixel    Wavelength
    811.58  5606.6698
   1021.1   5888.3913
   1039.02  5912.2144
   1129.83  6032.3265
   1192.76  6115.0017
   1425.03  6416.4173
   1519.81  6537.8807
   1689.14  6752.8477
   1783.26  6871.2792
   1836.24  6937.6316
   1858.45  6965.3759
   1940.21  7067.189
   1972.61  7107.3955
   1987.54  7125.8857
   2004.59  7146.9915
   2106.66  7272.8848
   2172.08  7353.1621
   2187.58  7372.1383
   2197.23  7383.9515
   2295.58  7503.877
   2304.45  7514.6592
   2403.87  7635.141
   2477.61  7724.0611
   2617.01  7891.1127
   2664.93  7948.2335
   2713.71  8006.2157
   2720.99  8014.8481
   2753.54  8053.4356
   2796.05  8103.7241
   2805.89  8115.3475
   2932.64  8264.4947
   3055.54  8408.1053
   3069.68  8424.5594
   3152.96  8521.2552
   3279.76  8667.6564
   3679.14  9122.8689
   3743.07  9195.0043
   3769.37  9224.6362
   3829.48  9292.2458
   3885.52  9355.1658
   4058.05  9548.2841
