      Channel   Wavelength
     930.9152    5852.4878  
    1000.0085    5944.8340   
    1097.7100    6074.3379    
    1114.2874    6096.1631   
    1149.8785    6143.0625   
    1244.1189    6266.4951   
    1296.2424    6334.4277   
    1333.7643    6382.9917   
    1348.5702    6402.2461    
    1359.3865    6416.3101   
    1429.3721    6506.5278    
    1501.4028    6598.9531   
    1563.3262    6678.2764   
    1593.9346    6717.0430   
    1622.1542    6752.8340   
    1715.6427    6871.2891    
    1790.4338    6965.4302    
    1843.4333    7032.4131    
    1871.7098    7067.2168   
    1935.7008    7147.0410   
    2037.1628    7272.9351   
    2127.1946    7383.9800   
    2224.8831    7503.8682    
    2233.7153    7514.6509    
    2332.5002    7635.1050   
    2591.9270    7948.1758    
    2640.3884    8006.1558   
    2647.5879    8014.7852   
    2722.1772    8103.6919   
    2732.0220    8115.3110    
    2857.9009    8264.5215    
    2979.9780    8408.2090   
    2993.9700    8424.6475    
    3076.7598    8521.4414    
    3202.7268    8667.9434   
    3599.4224    9122.9668   
    3689.0593    9224.4980   
    3804.2180    9354.2178    
    4076.4055    9657.7861   
