      Channel   Wavelength
       369.75   5421.3520
       436.00   5451.6520
       533.00   5495.8740
       555.50   5506.1130
       671.25   5558.7020
       702.00   5572.5410
       777.50   5606.7330
       874.50   5650.7040
       943.50   5681.8990
       965.25   5691.6630
      1071.50   5739.5200
      1211.00   5802.0800
      1282.75   5834.2630
      1341.00   5860.3100
      1391.00   5882.6240
      1404.25   5888.5840
      1456.75   5912.0850
      1494.25   5928.8130
      1727.00   6032.1270
      1752.00   6043.2230
      1788.25   6059.3720
      1877.50   6098.8030
      1914.00   6114.9232
      1983.25   6145.4410
      2005.50   6155.2380
      2044.50   6172.2775
      2136.00   6212.5030
      2143.50   6215.9380
      2328.50   6296.8720
      2353.00   6307.6570
      2530.00   6384.7170
      2602.75   6416.3070
      2718.50   6466.5520
      2757.00   6483.0825
      2884.00   6538.1120
      3039.00   6604.8530
      3117.00   6638.2202
      3130.00   6643.6973
      3183.00   6666.3587
      3208.50   6677.2820
      3225.00   6684.2924
      3306.50   6719.2190
      3385.50   6752.8340
      3393.50   6756.5522
      3418.00   6766.6120
      3516.25   6808.5312
      3641.00   6861.2689
      3664.50   6871.2890
      3684.00   6879.5820
      3822.00   6937.6640
      3951.50   6992.2120
      4040.50   7030.2510
