   Pixel        Fit
    364.32  5389.99
    379.43  5397.09
    407.20  5409.61
    443.85  5426.26
    519.09  5460.51
    556.98  5477.71
    565.40  5481.43
    596.96  5495.8738
    614.75  5503.897
    638.02  5514.54
    735.75  5558.702
    750.57  5565.49
    766.16  5572.5413
    841.91  5606.733
    924.83  5644.14
    994.23  5675.44
   1240.86  5785.98
   1281.74  5804.26
   1348.91  5834.2633
   1389.77  5852.4879
   1421.11  5866.452
   1616.21  5953.162
   1673.48  5978.543
   1794.64  6032.127
   1982.57  6114.923
   2008.29  6126.22
   2046.61  6143.0626
   2205.08  6212.5031
   2310.21  6258.7884
   2328.71  6266.4952
   2423.28  6307.657
   2447.13  6318.03
   2484.97  6334.4278
   2641.27  6402.246
   2673.74  6416.307
   2828.46  6483.0825
   2882.95  6506.528
   2956.43  6538.112
   3098.64  6598.9529
   3298.37  6684.2929
   3459.60  6752.834
   3492.09  6766.6117
   3716.14  6861.2688
   3739.81  6871.289
   3878.13  6929.4673
   3897.68  6937.6642
   3963.49  6965.43
