    Channel    Wavelength
      14.85    4383.5449
      44.23    4375.9302
      63.91    4370.753
     151.65    4348.063
     162.83    4345.167
     237.40    4325.7622
     305.98    4307.9023
     335.71    4300.1
     491.67    4259.361
     576.14    4237.22
     656.18    4216.1836
     715.11    4200.675
     724.01    4198.317
     786.39    4181.883
     853.39    4164.179
     874.54    4158.59
     930.36    4143.8682
    1080.80    4103.912
    1200.68    4072.005
    1232.06    4063.5942
    1450.10    4005.2419
    1659.11    3948.979
    1755.71    3922.9119
    1841.38    3899.7075
    1856.41    3895.6565
    1890.88    3886.2822
    1919.50    3878.5732
    1956.19    3868.524
    1988.03    3859.9114
    2001.05    3856.3716
    2022.51    3850.578
    2132.94    3820.4253
    2149.79    3815.8403
    2360.32    3758.2329
    2465.63    3729.309
    2499.72    3719.9348
    2551.94    3705.5659
    2617.55    3687.4568
    2644.88    3679.9133
    2760.97    3647.8428
    2820.18    3631.4631
    2865.93    3618.7678
    2901.63    3608.8594
    2975.16    3588.441
    3001.08    3581.1931
    3017.62    3576.615
    3041.01    3570.0977
    3058.15    3565.3789
    3198.85    3526.0408
    3299.77    3497.8406
    3379.55    3475.4502
    3413.76    3465.8606
    3503.57    3440.606
    3689.10    3388.531
