# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2914.097412109375  4.6584999448479394e-15  7.378000018928594e-15  4.65849989190838e-17
2916.841797  2.729399983409926e-15  6.6622000037747705e-15  2.72940005620182e-17
2919.585938  9.777800212562322e-15  6.05270008240252e-15  9.777800265501881e-17
2922.330322  1.0217999847118592e-14  6.344799817779639e-15  1.021799997946749e-16
2925.074707  5.576399903634271e-15  4.779800145092439e-15  5.576399718345814e-17
2927.819092  -3.0231999256704212e-15  4.218199936887419e-15  3.023199885965752e-17
2930.563477  -3.874700124688541e-15  3.639000078104349e-15  3.8746999394000835e-17
2933.307861  -2.3481000553904037e-15  3.195700091202891e-15  2.3481000686252935e-17
2936.052246  -4.651099841504252e-15  2.796800089088845e-15  4.651099934148481e-17
2938.796631  4.255499879752709e-15  2.584499962947264e-15  4.2555001444505053e-17
2941.541016  6.583699954838557e-15  2.3300999699865394e-15  6.583699901898998e-17
2944.285645  -2.0629999885311574e-15  1.987700030069671e-15  2.0630000282358268e-17
2947.030273  2.4357999409249827e-15  1.820999922643525e-15  2.4358000732738807e-17
2949.774658  2.0241000004285036e-15  1.6469000295110474e-15  2.024100040133173e-17
2952.519287  -4.4228000041428663e-16  1.4481999702496999e-15  4.422799904881193e-18
2955.263916  -4.537800079204807e-16  1.3224999632398065e-15  4.537799930312296e-18
2958.008545  -1.0297000492526633e-15  1.2193000100451843e-15  1.0296999863869367e-17
2960.753174  2.6300000317749234e-15  1.1605999915257508e-15  2.6300000780970377e-17
2963.497803  -3.185199900211812e-16  1.071600016296255e-15  3.1851999829298734e-18
2966.242676  -2.4011999685186246e-16  9.905299635189538e-16  2.401200059508492e-18
2968.987305  3.22359987417779e-16  9.552800521442557e-16  3.2235999817112694e-18
2971.731934  8.95910030563544e-16  9.202600043356187e-16  8.959099743152624e-18
2974.476807  4.905699840119647e-16  8.810600077509593e-16  4.905700088273831e-18
2977.22168  1.3598999618719913e-15  8.492399974774898e-16  1.359899981724326e-17
2979.966553  2.840599951033128e-15  1.2098999560339113e-15  2.840600096616916e-17
2982.711182  -8.978999888893302e-17  8.107899956280649e-16  8.979000054329425e-19
2985.456055  -8.766100142834404e-16  7.811200196725229e-16  8.766100308270527e-18
2988.200928  1.9789999429101852e-15  8.063400021605461e-16  1.9790000024671893e-17
2990.946045  1.251600023301951e-15  7.801099858224813e-16  1.2516000365368407e-17
2993.690918  -1.0418000207833094e-15  7.442499989675233e-16  1.0417999843873624e-17
2996.435791  1.807499911530186e-15  7.659499772245536e-16  1.80749998432208e-17
2999.180908  2.341600083371852e-16  7.423000232438255e-16  2.3416000420128212e-18
3001.925781  5.525200150104537e-16  7.201400002173177e-16  5.525200050842864e-18
3004.670898  1.3015999546618987e-15  7.22910009713076e-16  1.3015999612793436e-17
3007.416016  5.90670008377873e-16  7.162600069837417e-16  5.906699885255383e-18
3010.161133  1.596200025420194e-15  7.797000218760103e-16  1.5962000055678593e-17
3012.90625  1.0678000147366353e-15  6.916900164036178e-16  1.0678000081191904e-17
3015.651367  -6.89079996873217e-18  6.75550015351924e-16  6.890800304774294e-20
3018.396484  -1.0777999798328012e-15  6.48860007183941e-16  1.0777999599804665e-17
3021.141602  7.090099872903962e-16  6.737400118227599e-16  7.090100038340084e-18
3023.886719  1.4525999887733307e-15  6.693600044525079e-16  1.452599962303551e-17
3026.63208  6.282999764552373e-16  6.415500069700179e-16  6.283000062337394e-18
3029.377197  1.0120999751581398e-15  6.362999908838174e-16  1.0120999817755847e-17
3032.122559  -5.739199847854784e-16  6.042799749556775e-16  5.739199947116458e-18
3034.86792  -1.3651999529020798e-15  5.798199927795782e-16  1.365199976063137e-17
3037.613281  1.4940000210895852e-16  5.891099854472674e-16  1.4939999590510392e-18
3040.358398  9.471799819487812e-16  5.976000084358341e-16  9.471800348883404e-18
3043.10376  1.0052000050651369e-16  5.751799992340784e-16  1.005200013336943e-18
3045.849365  1.2785999396495106e-16  5.667500097056484e-16  1.2785999561931229e-18
3048.594727  1.347199973377334e-15  5.71670000579775e-16  1.3472000296256156e-17
