# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.429932  2.596799999424887e-13  7.070600115666984e-16  2.5967999401325806e-15
2501.804199  2.6792999242852833e-13  7.216100258972775e-16  2.6793001021622022e-15
2503.178223  2.592600071259221e-13  7.074999922432378e-16  2.59259992726362e-15
2504.55249  2.261999994864622e-13  6.628699850710863e-16  2.2620000033349514e-15
2505.926758  2.2655999526530884e-13  6.501000104791621e-16  2.265600105119019e-15
2507.301025  2.711200133755781e-13  7.188599746153388e-16  2.7111999982305096e-15
2508.675049  2.724400024155249e-13  7.200600085433613e-16  2.724399947922284e-15
2510.049316  2.43730003627457e-13  6.9006000737574535e-16  2.43730003627457e-15
2511.423584  2.2577000490485444e-13  6.618800153139828e-16  2.257700040578215e-15
2512.797607  1.8468000295267933e-13  5.968199969705313e-16  1.8467999109421807e-15
2514.171875  1.6273000471005855e-13  5.602499847475373e-16  1.6273000047489381e-15
2515.545898  1.6694000240340123e-13  5.673799904601688e-16  1.6693999774472002e-15
2516.920166  1.8952000342339903e-13  6.030000022932578e-16  1.895200008823002e-15
2518.294434  2.0043000462446892e-13  6.189299921135919e-16  2.004299970011724e-15
2519.668457  2.1664000617298979e-13  6.418699736658433e-16  2.1664000532595684e-15
2521.042725  1.9138000646040654e-13  6.048799919196888e-16  1.913800005311759e-15
2522.416748  1.687700001452852e-13  5.717599978304207e-16  1.687700018393511e-15
2523.791016  1.774700042955421e-13  5.915100003637533e-16  1.774700042955421e-15
2525.165039  1.8359000029857103e-13  5.955400243081116e-16  1.8359000792186756e-15
2526.539062  1.6099999751353206e-13  5.576999920598282e-16  1.6099999920759795e-15
2527.91333  1.6466000654982715e-13  5.611199934634859e-16  1.6465999680894826e-15
2529.287354  2.1820999868138458e-13  6.421799877245383e-16  2.1821000206951637e-15
2530.661621  2.3840001153740964e-13  6.711800135583614e-16  2.3840000645521196e-15
2532.035645  2.3171999800723764e-13  6.680400094833305e-16  2.31720008171633e-15
2533.409668  2.231099961898242e-13  6.486000210086931e-16  2.2311000296608777e-15
2534.783936  2.1685000258127307e-13  6.405300204828462e-16  2.1685000596940486e-15
2536.157959  2.2181999889247378e-13  6.540800065400732e-16  2.2181999296324315e-15
2537.531982  2.2363000665680255e-13  6.57790010849047e-16  2.236299964924072e-15
2538.906006  2.3325999877303605e-13  6.722499749894212e-16  2.3325999877303605e-15
2540.280273  2.3112000052498416e-13  6.640500078457299e-16  2.3111999120762174e-15
2541.654297  2.448300080466065e-13  6.847500107689673e-16  2.448300029644088e-15
2543.02832  2.397900129326447e-13  6.748800122906458e-16  2.3979000869747994e-15
2544.402344  2.3243998956493095e-13  6.603299979600667e-16  2.3244000735262284e-15
2545.776367  2.3494999890939783e-13  6.66550025589551e-16  2.3494999890939783e-15
2547.150391  2.2050999806504101e-13  6.54719992871283e-16  2.2050999298284333e-15
2548.524414  2.2745000327617504e-13  6.662300059541665e-16  2.2745000920540567e-15
2549.898682  2.7173998728285964e-13  7.122499941927623e-16  2.7174000676461743e-15
2551.272705  2.8621999518738117e-13  7.357999982857144e-16  2.8621999264628233e-15
2552.646729  2.9163000139775797e-13  7.376799879121453e-16  2.9162999208039555e-15
2554.020752  2.877900012483031e-13  7.342000059879102e-16  2.8779001056566554e-15
2555.394775  2.8754001133238227e-13  7.308199739514511e-16  2.8754000879128343e-15
2556.768799  2.974299951295778e-13  7.420200259151987e-16  2.97430007835072e-15
2558.142822  2.939700078415791e-13  7.393099969400178e-16  2.9397000530048028e-15
2559.516602  2.823100097876924e-13  7.331500027706701e-16  2.8231000385846175e-15
2560.890625  2.525100083455162e-13  6.915399856928354e-16  2.5251000834551618e-15
2562.264648  2.5700998946241727e-13  6.946799897678663e-16  2.5700999793274674e-15
2563.638672  3.010999923783869e-13  7.462500025746683e-16  3.0109998983728807e-15
2565.012695  3.043299932805471e-13  7.506799848888083e-16  3.0433000175087658e-15
2566.386719  3.0093999124278237e-13  7.490200120704267e-16  3.009400064893754e-15
2567.760498  3.0479999492231957e-13  7.54550025485254e-16  3.047999991574843e-15
2569.134521  3.0752998888758376e-13  7.549200200645265e-16  3.075300075223086e-15
2570.508545  3.0717000666126426e-13  7.546300171592103e-16  3.0716999734390184e-15
2571.882568  3.1221000177522606e-13  7.572600015208757e-16  3.122099916108307e-15
2573.256348  2.9835999664808155e-13  7.398000055000044e-16  2.9836000765950986e-15
2574.630371  2.78310008502633e-13  7.186400107468487e-16  2.7830999664417173e-15
2576.004395  2.907600104695013e-13  7.321400218601878e-16  2.9076000454027065e-15
2577.378174  3.124999987513116e-13  7.577400045041729e-16  3.124999945161469e-15
2578.752197  3.1886001001027453e-13  7.664299802078508e-16  3.1886000492807685e-15
2580.125977  3.0920998725890436e-13  7.571199763867827e-16  3.092099914940691e-15
2581.5  2.951199939808802e-13  7.369500043302897e-16  2.9512000075714376e-15
2582.873779  2.8959999546010473e-13  7.31170010316904e-16  2.895999929190059e-15
2584.247803  2.471799891504145e-13  6.790899777967365e-16  2.4717998999744745e-15
2585.621582  2.8441000097557956e-13  7.210799950305331e-16  2.8441001029294198e-15
2586.995605  3.1422000418279694e-13  7.584699880860285e-16  3.1422000079466515e-15
2588.369385  3.3533999145227145e-13  7.840999874600819e-16  3.353400050047986e-15
2589.743408  3.1285000631764426e-13  7.599500193426778e-16  3.1285000970577605e-15
2591.117188  2.994700028322722e-13  7.507200071955661e-16  2.9947000198523926e-15
2592.490967  2.936200002752465e-13  7.33029988789956e-16  2.936199901108511e-15
2593.86499  3.1398999069190414e-13  7.5948002193607e-16  3.1399001017366193e-15
2595.23877  2.720799930841511e-13  7.195000138861078e-16  2.720800057896453e-15
2596.612549  1.9015999441329007e-13  5.923900146563913e-16  1.9015999780142186e-15
2597.986328  1.7079000431789726e-13  5.675900016915286e-16  1.7078999542405131e-15
2599.360107  2.6055999263578655e-13  6.902800241837947e-16  2.6055999771798424e-15
2600.734131  3.055199864800129e-13  7.463500054020035e-16  3.0551999833847415e-15
2602.10791  3.0121998645382675e-13  7.409799753350889e-16  3.0121999323009033e-15
2603.481689  2.616199899947713e-13  6.929900002194164e-16  2.6161999592400195e-15
2604.855469  2.2263999454805172e-13  6.414700152960616e-16  2.2264000555948004e-15
2606.229248  2.4074999264121766e-13  6.671499896140031e-16  2.407499934882506e-15
2607.603027  2.7446000658813696e-13  7.196399860806416e-16  2.7445999896484044e-15
2608.976807  2.492199968531089e-13  6.799599865126851e-16  2.492200053234384e-15
2610.350586  2.0506999689941935e-13  6.186499947849651e-16  2.050700011345841e-15
2611.724365  2.2532999500567835e-13  6.503299799243416e-16  2.2532999161754656e-15
2613.098145  2.684500028955067e-13  7.270000141780118e-16  2.6845000374253964e-15
2614.471924  3.1062999394926294e-13  7.796299828391842e-16  3.1062999987849357e-15
2615.845703  2.8099999540773246e-13  7.400100167313643e-16  2.8100000387806193e-15
2617.219238  2.9154001261744167e-13  7.338200058319483e-16  2.9153999482974978e-15
2618.593018  3.0430998975046475e-13  7.474499835631316e-16  3.043099905974977e-15
2619.966797  2.998899956488388e-13  7.435499791761768e-16  2.998900032721353e-15
2621.340576  3.1241000997099533e-13  7.569699986155595e-16  3.124099972655011e-15
2622.714355  3.0198998683672595e-13  7.42480017745117e-16  3.0199000970661553e-15
2624.087891  2.694899967244091e-13  7.022699873104161e-16  2.6948999079517847e-15
2625.46167  2.7526998692614657e-13  7.113500216863046e-16  2.7526999539647604e-15
2626.835449  2.540500091113146e-13  6.785000193489739e-16  2.5404999894691922e-15
2628.208984  2.43859999467938e-13  6.654600000655531e-16  2.4386000200903686e-15
2629.582764  2.158099951998435e-13  6.24719991703667e-16  2.1580999774094235e-15
2630.956299  2.7065001173380565e-13  6.990399859847394e-16  2.7065000241644323e-15
2632.330078  3.310900002512912e-13  7.714699850626915e-16  3.3108999601612647e-15
2633.703613  3.49449988260378e-13  7.923000075433324e-16  3.4945000689510283e-15
2635.077393  3.6002001076521073e-13  8.009999888236997e-16  3.6002000398894715e-15
2636.450928  3.7228000630135094e-13  8.160999922348429e-16  3.7228000121915326e-15
2637.824463  3.777399942318793e-13  8.239400233155103e-16  3.7774001794880184e-15
2639.198242  3.787899898258229e-13  8.283600000529609e-16  3.787899999902183e-15
2640.571777  3.8743999870340107e-13  8.2964997829207e-16  3.874399851508739e-15
2641.945312  3.874700039985246e-13  8.384899847065303e-16  3.874700124688541e-15
2643.319092  3.8157999438133416e-13  8.284099749968489e-16  3.8157999946353185e-15
2644.692627  3.802099965161815e-13  8.228499977915125e-16  3.8021000837464274e-15
2646.066162  3.830100028367339e-13  8.285700112843207e-16  3.830100028367339e-15
2647.439697  3.8230998770406865e-13  8.318800042839537e-16  3.82310014809123e-15
2648.813232  3.8829998786661657e-13  8.3051998700801855e-16  3.883000200538686e-15
2650.187012  3.842400030963644e-13  8.250600126300173e-16  3.842399793794419e-15
2651.560547  3.827899911108823e-13  8.253999904792215e-16  3.827899860286846e-15
2652.934082  3.9480999849614284e-13  8.435099784079921e-16  3.948100188249336e-15
2654.307617  3.9603999875577334e-13  8.418999805334985e-16  3.9603999536764155e-15
2655.681152  3.88139986731012e-13  8.405099994670542e-16  3.881400155301322e-15
2657.054688  3.7719000557483173e-13  8.211999776102611e-16  3.7718999710450226e-15
2658.428223  3.795699919737633e-13  8.225399837328174e-16  3.795699902796974e-15
2659.801514  3.6151000270580325e-13  8.010199999770786e-16  3.615100196464622e-15
2661.175049  3.472200012320098e-13  7.8371998730412e-16  3.4722000207904275e-15
2662.548584  3.421399990578833e-13  7.79980019204637e-16  3.421400066811798e-15
2663.922119  3.520400117251743e-13  7.906900096688388e-16  3.52040000713746e-15
