# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.10009765625  4.2398961945522284e-12  1.5585607823320573e-14  8.479742380279251e-14
2502.14990234375  4.209656061238132e-12  1.510332081568113e-14  8.419336733865579e-14
2504.199951171875  4.1232867814544605e-12  1.4880798484173847e-14  8.246648399963877e-14
2506.25  4.061193655674478e-12  1.4776645618913564e-14  8.122413061150552e-14
2508.275146484375  3.9851412100833095e-12  1.45188562236144e-14  7.97033202241601e-14
2510.35009765625  3.777145263228476e-12  1.3759617394310062e-14  7.554365661667506e-14
2512.375  3.728399967234397e-12  1.3584179930274751e-14  7.456799663418251e-14
2514.449951171875  3.893612429001214e-12  1.410559138974787e-14  7.787275327613558e-14
2516.47509765625  3.985108684018135e-12  1.437177234045548e-14  7.97024257573678e-14
2518.550048828125  4.0395941799942214e-12  1.4558121282917322e-14  8.079137809062151e-14
2520.550048828125  4.0751152452500605e-12  1.464439497672696e-14  8.150280445115218e-14
2522.64990234375  4.099022336834235e-12  1.4748913760220458e-14  8.197994149847232e-14
2524.64990234375  4.08112606209432e-12  1.46785642858192e-14  8.162227675429651e-14
2526.75  4.096076342691157e-12  1.46737514446129e-14  8.192203154993444e-14
2528.75  4.061620397649568e-12  1.4528608960969087e-14  8.123215370758191e-14
2530.8251953125  4.047177523669454e-12  1.449278624356381e-14  8.094354586552985e-14
2532.85009765625  4.0761673550382405e-12  1.4576806829733752e-14  8.152335008232078e-14
2534.900146484375  4.086269083519722e-12  1.46080420166967e-14  8.172512688288391e-14
2536.949951171875  4.084138409410354e-12  1.4592747989801078e-14  8.168251773750523e-14
2539.0  4.069451373100996e-12  1.4525178477532708e-14  8.13892749311658e-14
2541.050048828125  4.0338283928409435e-12  1.4461117375731865e-14  8.067631713506648e-14
2543.0751953125  4.0282274044178834e-12  1.4449597727649206e-14  8.05645426673468e-14
2545.14990234375  4.023751384168994e-12  1.443832710725304e-14  8.047527217096978e-14
2547.175048828125  4.043767490996553e-12  1.4537880583609733e-14  8.087509205086454e-14
