# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2901.72509765625  -4.341899887350608e-16  1.3699999827350515e-15  4.341899986612282e-18
2904.470215  -1.157100051387696e-15  1.221600022134335e-15  1.1571000282266389e-17
2907.215332  9.123699983110633e-16  1.7371999885563419e-15  9.123700413244551e-18
2909.960449  -4.232000009422323e-16  1.0164000437939947e-15  4.231999943247874e-18
2912.705566  1.5833000312708663e-15  9.207799766861144e-16  1.5832999584789724e-17
2915.450684  4.48020011825584e-17  8.074000109544756e-16  4.480199932140202e-19
2918.195801  4.867500242385255e-16  7.6264998980161e-16  4.86750006040552e-18
2920.941162  3.7243998986102183e-16  7.029199792183154e-16  3.724400146764402e-18
2923.686279  4.1966001202764015e-16  5.755000188694629e-16  4.1965999217530544e-18
2926.431641  -4.58289981908577e-16  4.791999960631742e-16  4.582899885260219e-18
2929.176758  9.391099814229343e-16  4.837499923580283e-16  9.391099781142118e-18
2931.922119  1.0137000203955032e-15  2.4516000700065908e-15  1.013699997234446e-17
2934.66748  6.830300044904491e-16  1.2381999620763879e-15  6.830299978730042e-18
2937.412842  4.537599967671018e-16  3.0223999030517396e-16  4.537600166194365e-18
2940.158203  4.156299880832818e-16  2.665700035281969e-16  4.156300095899777e-18
2942.903564  3.685099952137783e-16  2.6013001203022243e-16  3.685099968681395e-18
2945.648926  2.7944000741723593e-16  2.633900036161878e-16  2.7943999500952674e-18
2948.394531  4.500800091881963e-16  2.1030999576222744e-16  4.5008001415127994e-18
2951.139893  4.0977000239593973e-16  1.9711999870758348e-16  4.097700139764683e-18
2953.885254  7.131899890059777e-16  1.897000033245256e-16  7.131899956234226e-18
2956.630859  3.5169999110080626e-16  1.5099000206496304e-16  3.516999911008063e-18
2959.376465  3.176699924586115e-16  1.3613000014546842e-16  3.1767000817504316e-18
2962.121826  5.272099823322256e-16  1.278699995416405e-16  5.272100154194501e-18
2964.867432  4.0483000036843424e-16  1.245800044604966e-16  4.048300086402404e-18
2967.613037  3.036100131577986e-16  1.1276000378869765e-16  3.0361000571317307e-18
2970.358643  3.4627000698309377e-16  1.1059999698130528e-16  3.4627000532873254e-18
2973.104248  3.6648000134634456e-16  1.0328999676738226e-16  3.664800129268731e-18
2975.849854  5.764200025292995e-16  1.495900021869395e-16  5.764199826769648e-18
2978.595459  3.7757999754319774e-16  1.0194999726227086e-16  3.7757999092575284e-18
2981.341309  3.675800059772523e-16  1.0096999999463234e-16  3.6757999770544615e-18
2984.086914  4.543700193078025e-16  1.6991000495421494e-16  4.543699796031331e-18
2986.83252  5.271999767555362e-16  9.962599693535618e-17  5.272000065340382e-18
2989.578369  5.837899832637999e-16  1.0694999966268849e-16  5.8378999649868975e-18
2992.324219  1.9374999871759344e-16  8.935799885094353e-17  1.9374999789041283e-18
2995.069824  4.504600093441582e-16  9.035999912287597e-17  4.504599795656562e-18
2997.815674  5.86430026141714e-16  9.045399992768649e-17  5.864299847826834e-18
3000.561523  3.959100022800176e-16  8.710000091946568e-17  3.959099824276829e-18
3003.307373  5.055799901724622e-16  2.615599889336449e-16  5.055799868637397e-18
3006.053223  3.5267000264409005e-16  8.762899946480559e-17  3.526699844461166e-18
3008.799072  4.477000054250893e-16  9.018400155830428e-17  4.4770000873381174e-18
3011.544922  4.729600102198702e-16  8.921500248409026e-17  4.729599953306192e-18
3014.291016  4.870100104137733e-16  2.7550000719330295e-16  4.870099889070774e-18
3017.036865  5.587700064304472e-16  8.426099794317548e-17  5.5877001635661455e-18
3019.782715  3.6528999946479107e-16  7.692399855405873e-17  3.652899895386237e-18
3022.528809  5.492399858013299e-16  8.151800085750064e-17  5.492399858013299e-18
3025.274902  4.3438999438973123e-16  7.914299988273838e-17  4.343900109333435e-18
3028.020752  5.296799833459783e-16  7.78190013593962e-17  5.296800180875641e-18
3030.766846  4.0744000004650036e-16  7.590399883199714e-17  4.074400116270289e-18
3033.512939  6.361300019592153e-16  8.090500046659474e-17  6.361300151941051e-18
3036.259033  5.115800009938972e-16  1.0444000281195759e-16  5.1157998279592374e-18
3039.005127  5.211499909902131e-16  7.26539995878314e-17  5.211500075338254e-18
3041.751221  4.714600207494013e-16  7.388999932888773e-17  4.714599860078155e-18
3044.497314  3.200700073750974e-16  6.916599732037699e-17  3.200699900043045e-18
3047.243408  5.559899913579994e-16  7.069900122345417e-17  5.559899863949157e-18
3049.989746  5.53599982018203e-16  7.154199752931921e-17  5.5360001345106625e-18
3052.73584  5.516899756617037e-16  7.115399688247264e-17  5.516900120576507e-18
3055.482178  4.1121001134583124e-16  6.813000323399108e-17  4.1121001134583124e-18
3058.228271  4.0673000114824405e-16  6.366999757233786e-17  4.0673000114824405e-18
3060.974609  3.8430001283957854e-16  6.380300159739149e-17  3.843000062221336e-18
3063.720947  4.892399834660979e-16  6.534499860808834e-17  4.892399851204591e-18
3066.467041  3.6321000418368973e-16  6.112999722642843e-17  3.632100025293285e-18
3069.213379  3.486199940161324e-16  6.174199838315436e-17  3.486199840899651e-18
3071.959717  6.17219991411763e-16  6.524500239819803e-17  6.172200046466528e-18
3074.706055  5.504400197293524e-16  6.764700254815401e-17  5.504400180749912e-18
3077.452393  4.4035998848109795e-16  8.907100026561213e-17  4.403599802092918e-18
3080.19873  4.10860001450158e-16  5.917599809623117e-17  4.108599898696294e-18
3082.945312  4.3578000192595514e-16  6.002299795626097e-17  4.357800052346776e-18
3085.69165  3.7892000366575404e-16  5.81860018693481e-17  3.789199821590581e-18
3088.437988  5.402900239224041e-16  6.15460029000936e-17  5.40290015650598e-18
3091.18457  4.3394998724341223e-16  6.075599909299116e-17  4.339499922064959e-18
3093.930908  4.007000000665203e-16  5.77319988270647e-17  4.00700019918855e-18
3096.67749  3.344000048976272e-16  5.5462000159259926e-17  3.3440000489762722e-18
3099.424072  4.864899851237184e-16  5.936200123749229e-17  4.864899818149959e-18
3102.17041  3.914000018221417e-16  5.933799976483845e-17  3.913999869328907e-18
3104.916992  5.205300158123822e-16  6.018699809322818e-17  5.2052999430568624e-18
3107.663574  6.107100138165217e-16  7.110899825714975e-17  6.1071001050779925e-18
3110.410156  5.86050025985752e-16  6.333399680751882e-17  5.860500193683071e-18
3113.156738  6.792799778747175e-16  1.2629000516232541e-16  6.7928001592502566e-18
3115.90332  4.696899865874358e-16  5.761999857212502e-17  4.696899849330746e-18
3118.650146  5.109200035093085e-16  5.795100316604424e-17  5.109200167441983e-18
3121.396729  5.237799753518785e-16  5.733800277513834e-17  5.237799869324071e-18
3124.143311  5.393499761696295e-16  6.304300128546757e-17  5.393500076024927e-18
3126.889893  4.755799890048462e-16  5.80189974123961e-17  4.7558000720281966e-18
3129.636719  4.459200186259936e-16  5.652900028372678e-17  4.459199987736589e-18
3132.383545  4.1708000260986275e-16  6.697099746435118e-17  4.1708001584475255e-18
3135.130127  2.808200093767704e-16  1.254600055182448e-16  2.8082000110496427e-18
3137.876953  3.2463998835355074e-16  1.0114999581941285e-15  3.2463999745253748e-18
3140.623779  3.4974998890732886e-16  6.64409996848313e-17  3.4974999552477376e-18
3143.370361  3.416700092745721e-16  5.26989985376511e-17  3.416699919037792e-18
3146.117188  4.386900100860269e-16  6.42289996128563e-17  4.386899852706085e-18
3148.864014  5.714599893484151e-16  5.5427999727361546e-17  5.714600009289437e-18
3151.61084  4.889000056168937e-16  6.700800221623435e-17  4.889000138886998e-18
3154.357666  4.252500059630449e-16  5.4446000682640644e-17  4.2524999603687755e-18
3157.104736  4.1449999319208535e-16  5.46660009470777e-17  4.14499998155169e-18
3159.851562  4.1559999782299307e-16  7.179099874603237e-17  4.1559998293374205e-18
3162.598389  4.703800008020928e-16  5.197999991433021e-17  4.703800190000663e-18
3165.345215  5.96360005140613e-16  5.576000024673828e-17  5.963599985231681e-18
3168.092285  6.01149976457336e-16  5.4364999848337e-17  6.011499946553095e-18
3170.839111  5.566100194753895e-16  5.438699954390846e-17  5.5659999073764294e-18
3173.586182  6.245700139324438e-16  5.4809000622653415e-17  6.24570000697554e-18
3176.333252  6.223100241500509e-16  5.836900069062443e-17  6.2231001918696726e-18
3179.080078  5.097399807346649e-16  5.064599912302104e-17  5.097400022413608e-18
3181.827148  5.305100226947284e-16  5.3608999781855387e-17  5.305100111141998e-18
3184.574219  4.777300233227736e-16  7.659699751430427e-17  4.777300150509675e-18
3187.321289  5.983800199011369e-16  5.418700050668294e-17  5.983800149380532e-18
3190.068359  5.228900084221103e-16  4.966300084412017e-17  5.2288998195233066e-18
3192.81543  4.994600183098722e-16  4.992799973388011e-17  4.994600083837049e-18
3195.5625  4.823700168682735e-16  4.86300011515517e-17  4.8237000197902244e-18
3198.30957  5.888999742159075e-16  5.1483000023806296e-17  5.888999874507973e-18
3201.056641  5.667099873988906e-16  4.9230001571950714e-17  5.667099989794192e-18
3203.803711  6.607400148460969e-16  5.1297999425447586e-17  6.607400032655684e-18
3206.551025  5.376499810444901e-16  5.1319999121019047e-17  5.3764998600757375e-18
3209.298096  5.405600156743414e-16  4.91440012580248e-17  5.405600074025353e-18
3212.04541  5.118800094759028e-16  4.8679999256496856e-17  5.118800012040967e-18
3214.79248  4.884600249403543e-16  4.9142998715122387e-17  4.884599951618522e-18
3217.539795  5.40789985119521e-16  4.9867999360967964e-17  5.407900049718557e-18
3220.286865  5.890700160800688e-16  4.815500095659925e-17  5.890700144257076e-18
3223.03418  5.920800005976962e-16  5.622099792828143e-17  5.920800005976962e-18
3225.781494  5.069300018717079e-16  4.5811998636653e-17  5.069299869824569e-18
3228.528809  4.779000122473757e-16  4.5002999453963886e-17  4.779000006668471e-18
3231.276123  5.270700101376918e-16  4.7063000125298595e-17  5.270700151007755e-18
3234.023193  6.044600223965282e-16  4.822299851167356e-17  6.044599992354711e-18
3236.770508  5.163899834639992e-16  7.954399719136939e-17  5.16389996698889e-18
3239.518066  5.160099833080372e-16  4.773600088911664e-17  5.160099899254821e-18
3242.265381  5.387099898384196e-16  4.663500033275141e-17  5.3871001796256045e-18
3245.012695  5.978000140905045e-16  4.792299995583528e-17  5.97799995892531e-18
3247.76001  6.286199960906218e-16  5.4281001311493466e-17  6.286200010537055e-18
3250.507324  6.965699849709867e-16  5.053200039972143e-17  6.965700346018234e-18
3253.254883  5.339399767355162e-16  4.4795999160033716e-17  5.339399982422122e-18
3256.002197  7.213699979358493e-16  4.7884000044314627e-17  7.213699847009595e-18
3258.749756  6.657299918174904e-16  4.659100094160849e-17  6.657300116698251e-18
3261.49707  6.032300246779966e-16  4.658399968490384e-17  6.032299816646047e-18
3264.244629  7.347800117985426e-16  4.867199876561224e-17  7.347799886374854e-18
3266.991943  6.658700169515834e-16  4.864700136750089e-17  6.658700119884997e-18
3269.739502  7.691099924529634e-16  5.574100156242916e-17  7.691099692919062e-18
3272.487061  6.873499784005644e-16  4.7192000596187465e-17  6.87349989981093e-18
3275.234619  5.969999914718228e-16  4.551000161245479e-17  5.9699998816310034e-18
3277.982178  6.309500249098408e-16  4.4837000848636744e-17  6.309500034031449e-18
3280.729736  6.01339976535317e-16  4.551000161245479e-17  6.0133999804201294e-18
3283.477295  6.625600239519504e-16  4.6522000843631764e-17  6.625600074083382e-18
3286.224854  6.469399952507523e-16  4.53160012890315e-17  6.469399836702237e-18
3288.972412  6.060700202710218e-16  4.479699839421368e-17  6.060699822207137e-18
3291.719971  6.863500030667715e-16  4.6441999243508085e-17  6.8635001133857764e-18
3294.467529  6.922999860047593e-16  4.64819983892087e-17  6.923000042027328e-18
3297.215088  5.966199913158608e-16  4.5002999453963886e-17  5.966199813896935e-18
3299.962891  7.681100171191705e-16  4.7137998937077553e-17  7.681099906493909e-18
3302.710449  6.728900142601902e-16  4.5290001348017735e-17  6.728900043340229e-18
3305.458008  7.540099890418202e-16  5.1042000260752225e-17  7.540100353639345e-18
3308.205811  6.792899834514069e-16  4.7573999220509354e-17  6.792899834514069e-18
3310.953369  7.255800163814992e-16  4.7871000073807743e-17  7.255800031466094e-18
3313.701172  7.157399816936868e-16  4.620899900856415e-17  7.157400280158011e-18
3316.448975  6.399199979421454e-16  4.3862998986078004e-17  6.3991999132470055e-18
3319.196533  6.483800042006438e-16  4.4273998562676e-17  6.483799810395866e-18
3321.944336  5.844399751716992e-16  4.9274000963093635e-17  5.844399950240339e-18
3324.692139  6.431199825377538e-16  4.418599978039016e-17  6.431199808833926e-18
3327.439941  5.691200078920659e-16  4.315300008782169e-17  5.691199896940924e-18
3330.187744  6.960600181971804e-16  4.669900095110586e-17  6.960599950361232e-18
3332.935547  5.430899972086716e-16  4.272400106109454e-17  5.430899806650594e-18
3335.68335  6.002399983741889e-16  4.1956000258286003e-17  6.002400132634399e-18
3338.431152  6.525999752834239e-16  4.265600019729778e-17  6.526000083706484e-18
3341.178955  5.934599760874511e-16  4.2021999345000384e-17  5.934599860136184e-18
3343.926758  6.372499912737223e-16  4.2495001071592907e-17  6.372500177435019e-18
3346.674561  5.757499994680213e-16  7.077299749233071e-17  5.7575000773982746e-18
3349.422363  6.285700211467338e-16  4.187899966942467e-17  6.285699979856767e-18
3352.17041  6.874499812278996e-16  4.396599951595311e-17  6.8744999611715066e-18
3354.918213  7.195100194627973e-16  9.687900291296148e-17  7.195099863755728e-18
3357.666016  5.914400142664864e-16  4.161699848220462e-17  5.914400109577639e-18
3360.414062  5.13719976795576e-16  4.009700116707923e-17  5.137199817586597e-18
3363.161865  5.807499820161043e-16  4.050899997785719e-17  5.807499836704655e-18
3365.909912  7.045499882461879e-16  4.1948999001581355e-17  7.04550011407245e-18
3368.657715  6.226600075759446e-16  4.079099908356632e-17  6.2265999930413844e-18
3371.405762  5.445799811024511e-16  4.0378001038608393e-17  5.445799811024511e-18
3374.153809  6.175899859910355e-16  4.1498999513462707e-17  6.175900025346478e-18
3376.901611  6.983799885001507e-16  4.212499987487549e-17  6.983799885001507e-18
3379.649658  6.187099753055425e-16  4.40609995549436e-17  6.187100050840446e-18
3382.397705  5.591899759536077e-16  4.0841000497233925e-17  5.5919001731263835e-18
3385.145752  6.937600061080297e-16  4.679800123553866e-17  6.9376001934291954e-18
3387.893799  6.859499917574307e-16  4.212300140651556e-17  6.85949986794347e-18
3390.641846  5.645800171739013e-16  6.383999973182976e-17  5.645800089020951e-18
3393.389893  6.27240020600867e-16  3.974099917504866e-17  6.272400156377833e-18
3396.137939  6.426800018612144e-16  4.132199940598861e-17  6.426800035155756e-18
3398.885986  6.049400253798254e-16  4.0124999576452924e-17  6.049400121449356e-18
3401.634033  7.248000049161964e-16  4.08249995154647e-17  7.247999718289719e-18
3404.38208  6.457999947828664e-16  3.9771998595684695e-17  6.4580000470903374e-18
3407.130127  6.075600041648014e-16  3.914700077717433e-17  6.075599826581054e-18
3409.878418  6.096800217526605e-16  3.969600054972577e-17  6.096800052090482e-18
3412.626465  6.057800173657057e-16  3.918899839123487e-17  6.057800140569832e-18
3415.374512  6.246999805502881e-16  4.298099945996986e-17  6.246999921308167e-18
3418.122803  6.446900110450488e-16  4.833700054369562e-17  6.446900110450488e-18
3420.87085  6.837200187051061e-16  3.960299897909521e-17  6.837199905809653e-18
3423.619141  7.076300118006413e-16  3.985799890961061e-17  7.076300184180862e-18
3426.367188  7.076799867445293e-16  4.04459985936827e-17  7.076799801270844e-18
3429.115479  6.936199809739368e-16  3.9570001090099245e-17  6.9362001902424494e-18
3431.863525  6.996800252555085e-16  5.48470012999941e-17  6.99679985550839e-18
3434.611816  7.224600234598472e-16  4.1174999484970586e-17  7.224599605941206e-18
3437.360107  6.60219989556042e-16  3.92550007866717e-17  6.602199961734869e-18
3440.108154  5.978200252438834e-16  3.76419985921933e-17  5.978200136633548e-18
3442.856445  6.187800143423686e-16  3.764499960345564e-17  6.187799845638666e-18
3445.604736  5.860699841995717e-16  3.720899932002384e-17  5.860699957801003e-18
3448.353027  6.658700169515834e-16  3.9221999588953286e-17  6.658700119884997e-18
3451.101318  6.378999831816216e-16  3.9346000580219885e-17  6.3790001626884605e-18
3453.849609  6.725499834714268e-16  3.857499876614901e-17  6.72549991743233e-18
3456.5979  6.794400141621893e-16  3.9475001051108755e-17  6.794399926554934e-18
3459.346191  6.509199913116634e-16  3.8447000838162554e-17  6.509200045465532e-18
3462.094482  6.265199896561416e-16  3.754699855320281e-17  6.265199962735865e-18
3464.842773  6.5872000008557305e-16  3.9075998902115227e-17  6.5871998685068325e-18
3467.591064  6.713700136363424e-16  4.058699980089849e-17  6.713700185994261e-18
3470.339355  6.444699942369995e-16  4.632899975438844e-17  6.444699810021097e-18
3473.087646  5.889900244061125e-16  3.7913998738657885e-17  5.889899847014431e-18
3475.835938  5.832399941832359e-16  3.8768999089572296e-17  5.8324000410940324e-18
3478.584473  6.047300141484655e-16  3.6667000804177044e-17  6.047299909874084e-18
3481.332764  6.941899812078797e-16  3.89430014945065e-17  6.941899878253246e-18
3484.081055  7.061699916973709e-16  3.7951000181818607e-17  7.061699619188689e-18
3486.82959  6.856300250616054e-16  3.777099906308217e-17  6.8562999197438086e-18
