# CALSPEC 2024-06
# gj7541a_stis_004.fits
# Trimmed to 3000-10000 A.
# Error is square-added statistical and systematic.
# Wavelength (Angstrom)  Flux (erg/s/cm2/A)  Error (erg/s/cm2/A)
#
3001.292236  1.3304999734332218e-13  1.4736145585573547e-15
3002.661865  1.3388999652898248e-13  1.4819138932536708e-15
3004.031494  1.3604999830711673e-13  1.502984261333095e-15
3005.401123  1.3602999477703437e-13  1.5023359634910903e-15
3006.770752  1.3439000346587848e-13  1.4885762309002994e-15
3008.140381  1.3134999544191922e-13  1.4685913355427815e-15
3009.51001  1.314700030698862e-13  1.4575162738783131e-15
3010.879639  1.3240000458838996e-13  1.4669637617346323e-15
3012.249268  1.3138000073704276e-13  1.4568255185098272e-15
3013.618652  1.3182999884873287e-13  1.4727209387980014e-15
3014.988281  1.3131000193428166e-13  1.4715184696502555e-15
3016.357666  1.3236999929326643e-13  1.4672405297501477e-15
3017.727295  1.3261000099667325e-13  1.4667802732224334e-15
3019.09668  1.3269000156447552e-13  1.4681963005520058e-15
3020.466309  1.3149000659996857e-13  1.4872422598874923e-15
3021.835693  1.318799941214116e-13  1.4584754328119602e-15
3023.205078  1.3325000553909144e-13  1.4720204425506221e-15
3024.574463  1.3094000439039383e-13  1.4481137846473167e-15
3025.943848  1.3125000489656174e-13  1.4523314793290511e-15
3027.313232  1.3117000432875947e-13  1.4511462684776055e-15
3028.682617  1.3317000497128917e-13  1.4709563574106339e-15
3030.052002  1.3356000604525936e-13  1.475578722082919e-15
3031.421387  1.3334999608444892e-13  1.4840707567747354e-15
3032.790771  1.323200040205877e-13  1.4646774080517562e-15
3034.159912  1.323399939981429e-13  1.4689518539409566e-15
3035.529297  1.3195000647669985e-13  1.4576985977202096e-15
3036.898438  1.3170000300825185e-13  1.4563055461593315e-15
3038.267822  1.2958999650279635e-13  1.4484624445842303e-15
3039.636963  1.3267999979943434e-13  1.4659513456044266e-15
3041.006348  1.3266999803439317e-13  1.4639780764746793e-15
3042.375488  1.3218999462757952e-13  1.4594812844368247e-15
