# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2501.365723  2.7678000516506707e-11  2.4738000412244734e-14  2.7678000950187576e-13
2502.73999  2.748799972362992e-11  2.472700084239169e-14  2.7487999940470353e-13
2504.114258  2.721200001443158e-11  2.4691000248067488e-14  2.721200001443158e-13
2505.488525  2.6734999630795286e-11  2.4262999582017573e-14  2.673499984763572e-13
2506.862549  2.6302999708849306e-11  2.4130999661583358e-14  2.630299949200887e-13
2508.236816  2.6315000525856114e-11  2.4002999430726077e-14  2.6314998899552855e-13
2509.611084  2.6699999849943978e-11  2.4235000060913135e-14  2.669999909100246e-13
2510.985352  2.6458000720874786e-11  2.4207000539808697e-14  2.645799974509283e-13
2512.359619  2.6037000680489975e-11  2.3944999696695786e-14  2.603700133101128e-13
2513.733887  2.5966999384063882e-11  2.389700003364078e-14  2.596699981774475e-13
2515.10791  2.615599924149503e-11  2.3991999860873033e-14  2.6156000650957856e-13
2516.482178  2.6124000532257163e-11  2.3938999315297436e-14  2.6124000423836946e-13
2517.856445  2.6061999780502276e-11  2.3900999723217714e-14  2.606200032260336e-13
2519.230469  2.575300042662043e-11  2.372700052112684e-14  2.5752999992939563e-13
2520.604736  2.5275000842261974e-11  2.352999929232033e-14  2.5274999649639585e-13
2521.979004  2.498399924444339e-11  2.3383000112456136e-14  2.4983999786544475e-13
2523.353027  2.4776999896225504e-11  2.325299918977744e-14  2.477700119726811e-13
2524.727295  2.450900073169837e-11  2.3197999646446324e-14  2.450899997275685e-13
2526.101562  2.3340999272258856e-11  2.2578000328176383e-14  2.334099981435994e-13
2527.475586  2.2773999699965408e-11  2.2312999294364297e-14  2.277400002522606e-13
2528.849854  2.2782000244636613e-11  2.2273000704529054e-14  2.278199872675357e-13
2530.223877  2.307000077084176e-11  2.241999988439325e-14  2.307000077084176e-13
2531.598145  2.4399000181363206e-11  2.3068000417833523e-14  2.4398999530841903e-13
2532.972168  2.561999917771729e-11  2.3649000645145982e-14  2.5620000912440766e-13
2534.346436  2.5176000173487978e-11  2.3367999158960262e-14  2.5176001149269933e-13
