# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.051025  1.0934999650560884e-12  2.9330999722797972e-15  1.0934999684442202e-14
2501.424561  1.0928000041335317e-12  2.930900015957541e-15  1.0927999804166092e-14
2502.798096  1.0809000179287653e-12  2.9246999465418764e-15  1.0809000145406335e-14
2504.171631  1.0814000519707156e-12  2.9266000532008046e-15  1.0814000180893978e-14
2505.545166  1.0761000380707375e-12  2.906700072896249e-15  1.0760999635318381e-14
2506.918457  1.0750999699868369e-12  2.9096001019494108e-15  1.0751000411376044e-14
2508.291992  1.0448999521531221e-12  2.857700063930535e-15  1.0449000131394943e-14
2509.665527  1.0067000401695059e-12  2.816899969168953e-15  1.0067000130644516e-14
2511.038818  9.509200067994716e-13  2.7352000415162498e-15  9.509200135757352e-15
2512.412354  9.396500504771366e-13  2.7137000159743307e-15  9.396499861026326e-15
2513.785889  9.793899632265513e-13  2.778999903460533e-15  9.793899767790784e-15
2515.15918  1.0207999810024626e-12  2.8310001031254216e-15  1.0207999776143308e-14
2516.532715  1.043599993748312e-12  2.8536000009493504e-15  1.0435999869720484e-14
2517.90625  1.0397000101136644e-12  2.840999962342469e-15  1.0396999931730055e-14
2519.279541  1.0521000303603811e-12  2.862999949081505e-15  1.0520999625977454e-14
2520.653076  1.058900037965993e-12  2.8666000508655726e-15  1.0589000278015976e-14
2522.026367  1.04800001142491e-12  2.8476000430674745e-15  1.0479999843198556e-14
2523.399902  1.0527000278426346e-12  2.8540000122586912e-15  1.0527000007375803e-14
2524.773193  1.0534999522054944e-12  2.862800049305953e-15  1.053500023356262e-14
2526.146729  1.0531999534643677e-12  2.852099905599763e-15  1.0532000042863445e-14
2527.52002  1.0450000240136426e-12  2.8452999250992055e-15  1.0449999630272704e-14
2528.893311  1.0436999571886152e-12  2.8375000222044143e-15  1.0437000215631192e-14
2530.266846  1.0397000101136644e-12  2.84349998008629e-15  1.0396999931730055e-14
2531.640137  1.0397000101136644e-12  2.8541999120342432e-15  1.0396999931730055e-14
2533.013672  1.0418000013015516e-12  2.8368998993612846e-15  1.041800041959133e-14
2534.386963  1.0462999824184527e-12  2.8366999995857326e-15  1.0462999891947163e-14
2535.760254  1.04929996982972e-12  2.8426999574676084e-15  1.0493000104873015e-14
2537.133789  1.0435000303080089e-12  2.8531000397522335e-15  1.0435000370842724e-14
2538.50708  1.0374999470652568e-12  2.875900049109951e-15  1.0374999944991019e-14
2539.880371  1.0414000391201217e-12  2.8392999672173297e-15  1.0413999882981449e-14
2541.253662  1.012499979691217e-12  2.7826999551323764e-15  1.0124999864674807e-14
2542.627197  1.0085999960565695e-12  2.7989000955233254e-15  1.0085999926684377e-14
2544.000488  1.037900017666904e-12  2.8448999137898646e-15  1.0378999634567954e-14
2545.373779  1.0127999784323438e-12  2.778999903460533e-15  1.0128000055373981e-14
2546.74707  1.017700030150892e-12  2.7995000066082182e-15  1.0177000064339695e-14
2548.120361  1.0032000187162882e-12  2.7825000553568244e-15  1.003199988223102e-14
2549.493652  1.0106000238041535e-12  2.7932999371925536e-15  1.0106000068634945e-14
2550.866943  1.0237000049734268e-12  2.8751999763790455e-15  1.0236999643158454e-14
2552.240234  1.0174000314097653e-12  2.7843000003697398e-15  1.017399987364052e-14
