# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.353027  2.605399891057042e-13  3.0297000035680915e-16  2.6054000774042903e-15
2501.727295  2.601199962891376e-13  3.026100113542261e-16  2.60120006453533e-15
2503.101318  2.5970000347257105e-13  3.022499958818634e-16  2.5970000516663694e-15
2504.475586  2.5912000952039993e-13  3.017900040519451e-16  2.5911999935600456e-15
2505.849609  2.582699950171713e-13  3.01180007981024e-16  2.5827000179343487e-15
2507.223877  2.577200063601237e-13  3.0075000641139444e-16  2.5772000212495897e-15
2508.5979  2.5679000484161996e-13  3.0009998803371557e-16  2.567900023005211e-15
2509.972168  2.5647000257041086e-13  2.9980000602148954e-16  2.5646999325304844e-15
2511.346191  2.556699968923881e-13  2.992300057875466e-16  2.5566999181019043e-15
2512.720215  2.547299936088432e-13  2.985700083029579e-16  2.5472999699697497e-15
2514.094482  2.5421001024691914e-13  2.981599914169276e-16  2.5421000347065556e-15
2515.468506  2.5447000192788116e-13  2.9819998725390577e-16  2.5447000023381527e-15
2516.842773  2.549099982745301e-13  2.98359997071598e-16  2.549099914982665e-15
2518.216797  2.5435000785244133e-13  2.9792999550196846e-16  2.54349996841013e-15
2519.59082  2.5414999965667207e-13  2.9771000516369875e-16  2.541499911863426e-15
2520.964844  2.5294000292712393e-13  2.9690000343810723e-16  2.5294000462118982e-15
2522.339111  2.518199949778921e-13  2.961400031261833e-16  2.5181999413085914e-15
2523.713135  2.507699993839485e-13  2.95430004227927e-16  2.5076999091361903e-15
2525.087158  2.5065000530850867e-13  2.952599888335453e-16  2.5065000869664046e-15
2526.461182  2.5062000001338514e-13  2.951400013226108e-16  2.5062000255448398e-15
2527.835205  2.507699993839485e-13  2.951199901692319e-16  2.5076999091361903e-15
2529.209473  2.5011999307648913e-13  2.9463998718593475e-16  2.5011999900571976e-15
2530.583496  2.489600051721469e-13  2.9386000219041154e-16  2.489600085602787e-15
2531.95752  2.474600114665132e-13  2.928800115402179e-16  2.4745999791398604e-15
2533.331543  2.482699918045228e-13  2.9325000611949044e-16  2.4826999434562165e-15
2534.705566  2.4738999911122495e-13  2.9264001004856933e-16  2.4738999064089547e-15
2536.07959  2.476299872621046e-13  2.9267000030885806e-16  2.4762999742649998e-15
2537.453613  2.471300074302629e-13  2.9227999457620665e-16  2.4712999387773577e-15
2538.827637  2.4638001057744607e-13  2.9174001107233204e-16  2.4638000973041313e-15
2540.20166  2.4620000591175917e-13  2.9152999984097218e-16  2.461999940532979e-15
2541.575684  2.454600108239835e-13  2.909999954440074e-16  2.4546000489475287e-15
2542.949707  2.4530000968837895e-13  2.90799989789337e-16  2.4530000037101653e-15
2544.32373  2.4467000691100194e-13  2.9032999238272925e-16  2.4466999844067246e-15
2545.697754  2.439200100581851e-13  2.897800033021652e-16  2.4391999311752614e-15
2547.071777  2.4379998887769094e-13  2.8961999348447293e-16  2.437999897247239e-15
2548.445801  2.4274999328374736e-13  2.8889000990261733e-16  2.4275000768330746e-15
2549.81958  2.426400009733487e-13  2.8871999450823564e-16  2.426399992792828e-15
2551.193604  2.4246999807270297e-13  2.885199888535652e-16  2.4246999976676887e-15
2552.567627  2.416000071444463e-13  2.8789998720595467e-16  2.415999910508203e-15
2553.94165  2.417800118101332e-13  2.879099927826441e-16  2.417800067279355e-15
2555.315674  2.411500090327562e-13  2.874399953760364e-16  2.4115000479759145e-15
2556.689453  2.4089999201178103e-13  2.871999938843878e-16  2.4090000302320934e-15
2558.063477  2.397800111676035e-13  2.8642998799577443e-16  2.3977999253287866e-15
