GD71_stisnic_003.ascii  CALSPEC Feb2010
CALSPEC Feb2010
4104
       1140.33   3.97790e-12
       1140.92   3.87670e-12
       1141.50   3.83060e-12
       1142.09   3.87830e-12
       1142.67   3.89060e-12
       1143.26   3.90320e-12
       1143.84   3.91510e-12
       1144.42   3.96500e-12
       1145.01   4.00310e-12
       1145.59   3.99590e-12
       1146.18   3.99430e-12
       1146.76   4.04320e-12
       1147.34   4.06210e-12
       1147.93   4.04000e-12
       1148.51   3.99820e-12
       1149.10   3.97260e-12
       1149.68   3.93050e-12
       1150.26   3.92500e-12
       1150.85   3.90080e-12
       1151.43   3.86650e-12
       1152.02   3.86730e-12
       1152.60   3.86610e-12
       1153.18   3.87200e-12
       1153.77   3.85440e-12
       1154.35   3.85990e-12
       1154.94   3.86570e-12
       1155.52   3.86190e-12
       1156.11   3.85570e-12
       1156.69   3.85340e-12
       1157.27   3.84660e-12
       1157.86   3.83890e-12
       1158.44   3.83010e-12
       1159.03   3.81810e-12
       1159.61   3.83280e-12
       1160.19   3.81880e-12
       1160.78   3.81000e-12
       1161.36   3.79890e-12
       1161.95   3.77560e-12
       1162.53   3.75890e-12
       1163.11   3.76550e-12
       1163.70   3.77460e-12
       1164.28   3.77640e-12
       1164.87   3.75700e-12
       1165.45   3.72340e-12
       1166.03   3.70640e-12
       1166.62   3.68160e-12
       1167.20   3.64930e-12
       1167.79   3.63730e-12
       1168.37   3.63420e-12
       1168.95   3.63770e-12
       1169.54   3.63110e-12
       1170.12   3.60560e-12
       1170.71   3.59120e-12
       1171.29   3.60110e-12
       1171.88   3.60560e-12
       1172.46   3.61720e-12
       1173.04   3.61600e-12
       1173.63   3.61260e-12
       1174.21   3.62730e-12
       1174.80   3.61210e-12
       1175.38   3.60050e-12
       1175.96   3.57400e-12
       1176.55   3.57680e-12
       1177.13   3.54880e-12
       1177.72   3.53630e-12
       1178.30   3.51760e-12
       1178.88   3.49560e-12
       1179.47   3.46920e-12
       1180.05   3.45290e-12
       1180.64   3.44560e-12
       1181.22   3.44030e-12
       1181.80   3.42280e-12
       1182.39   3.43140e-12
       1182.97   3.39040e-12
       1183.56   3.37850e-12
       1184.14   3.37040e-12
       1184.72   3.35570e-12
       1185.31   3.34120e-12
       1185.89   3.33210e-12
       1186.48   3.30600e-12
       1187.06   3.30020e-12
       1187.65   3.28500e-12
       1188.23   3.27630e-12
       1188.81   3.26030e-12
       1189.40   3.23740e-12
       1189.98   3.21220e-12
       1190.57   3.18860e-12
       1191.15   3.16450e-12
       1191.73   3.15900e-12
       1192.32   3.12800e-12
       1192.90   3.12160e-12
       1193.49   3.07330e-12
       1194.07   3.04420e-12
       1194.65   3.01130e-12
       1195.24   2.97410e-12
       1195.82   2.95600e-12
       1196.41   2.93170e-12
       1196.99   2.90810e-12
       1197.57   2.84420e-12
       1198.16   2.77800e-12
       1198.74   2.71690e-12
       1199.33   2.66870e-12
       1199.91   2.59770e-12
       1200.49   2.56140e-12
       1201.08   2.53380e-12
       1201.66   2.49280e-12
       1202.25   2.43740e-12
       1202.83   2.36610e-12
       1203.41   2.31610e-12
       1204.00   2.25760e-12
       1204.58   2.17630e-12
       1205.17   2.09340e-12
       1205.75   2.01970e-12
       1206.33   1.94330e-12
       1206.92   1.86190e-12
       1207.50   1.77850e-12
       1208.09   1.69010e-12
       1208.67   1.59480e-12
       1209.25   1.50360e-12
       1209.84   1.41010e-12
       1210.42   1.31360e-12
       1211.01   1.21740e-12
       1211.59   1.12390e-12
       1212.17   1.03030e-12
       1212.76   9.37630e-13
       1213.34   8.45350e-13
       1213.93   7.58590e-13
       1214.51   6.72580e-13
       1215.09   5.99780e-13
       1215.68   5.72900e-13
       1216.26   6.00300e-13
       1216.85   6.71690e-13
       1217.43   7.49480e-13
       1218.02   8.27270e-13
       1218.60   9.15860e-13
       1219.18   1.00360e-12
       1219.77   1.09160e-12
       1220.35   1.17970e-12
       1220.94   1.26980e-12
       1221.52   1.36200e-12
       1222.10   1.43500e-12
       1222.69   1.51650e-12
       1223.27   1.60260e-12
       1223.86   1.67860e-12
       1224.44   1.74500e-12
       1225.02   1.82330e-12
       1225.61   1.89480e-12
       1226.19   1.95690e-12
       1226.78   2.02670e-12
       1227.36   2.08410e-12
       1227.94   2.14940e-12
       1228.53   2.19510e-12
       1229.11   2.25020e-12
       1229.70   2.28900e-12
       1230.28   2.34370e-12
       1230.86   2.37840e-12
       1231.45   2.44590e-12
       1232.03   2.48790e-12
       1232.62   2.53100e-12
       1233.20   2.56340e-12
       1233.78   2.59150e-12
       1234.37   2.63070e-12
       1234.95   2.66090e-12
       1235.54   2.69480e-12
       1236.12   2.71270e-12
       1236.70   2.74980e-12
       1237.29   2.78810e-12
       1237.87   2.80060e-12
       1238.46   2.80080e-12
       1239.04   2.80620e-12
       1239.62   2.83750e-12
       1240.21   2.86180e-12
       1240.79   2.87120e-12
       1241.38   2.88080e-12
       1241.96   2.88050e-12
       1242.54   2.89410e-12
       1243.13   2.90960e-12
       1243.71   2.91090e-12
       1244.30   2.91150e-12
       1244.88   2.91850e-12
       1245.46   2.90600e-12
       1246.05   2.92090e-12
       1246.63   2.91020e-12
       1247.22   2.93360e-12
       1247.80   2.90960e-12
       1248.38   2.92500e-12
       1248.97   2.93490e-12
       1249.55   2.92360e-12
       1250.14   2.92360e-12
       1250.72   2.93490e-12
       1251.30   2.93990e-12
       1251.89   2.93200e-12
       1252.47   2.92410e-12
       1253.06   2.93830e-12
       1253.64   2.95010e-12
       1254.22   2.93350e-12
       1254.81   2.92080e-12
       1255.39   2.90270e-12
       1255.98   2.91710e-12
       1256.56   2.91830e-12
       1257.14   2.93790e-12
       1257.73   2.89710e-12
       1258.31   2.90720e-12
       1258.90   2.89310e-12
       1259.48   2.90080e-12
       1260.06   2.86320e-12
       1260.65   2.90170e-12
       1261.23   2.88330e-12
       1261.82   2.91080e-12
       1262.40   2.89480e-12
       1262.98   2.91470e-12
       1263.57   2.89890e-12
       1264.15   2.90420e-12
       1264.74   2.90620e-12
       1265.32   2.89000e-12
       1265.90   2.87480e-12
       1266.49   2.87140e-12
       1267.07   2.87150e-12
       1267.66   2.87870e-12
       1268.24   2.86410e-12
       1268.82   2.86990e-12
       1269.41   2.86670e-12
       1269.99   2.86910e-12
       1270.57   2.85340e-12
       1271.16   2.87770e-12
       1271.74   2.85570e-12
       1272.33   2.86490e-12
       1272.91   2.83730e-12
       1273.49   2.84830e-12
       1274.08   2.84590e-12
       1274.66   2.84910e-12
       1275.25   2.83750e-12
       1275.83   2.82410e-12
       1276.41   2.81990e-12
       1277.00   2.81840e-12
       1277.58   2.80880e-12
       1278.17   2.82360e-12
       1278.75   2.80220e-12
       1279.33   2.80170e-12
       1279.92   2.81330e-12
       1280.50   2.78700e-12
       1281.09   2.79760e-12
       1281.67   2.78920e-12
       1282.25   2.78700e-12
       1282.84   2.78130e-12
       1283.42   2.79810e-12
       1284.01   2.80040e-12
       1284.59   2.78580e-12
       1285.17   2.78800e-12
       1285.76   2.79900e-12
       1286.34   2.78290e-12
       1286.93   2.77350e-12
       1287.51   2.75710e-12
       1288.09   2.77100e-12
       1288.68   2.77110e-12
       1289.26   2.75610e-12
       1289.85   2.74760e-12
       1290.43   2.74170e-12
       1291.01   2.73700e-12
       1291.60   2.73890e-12
       1292.18   2.73410e-12
       1292.77   2.72050e-12
       1293.35   2.72790e-12
       1293.93   2.71670e-12
       1294.52   2.71540e-12
       1295.10   2.69650e-12
       1295.69   2.71370e-12
       1296.27   2.70310e-12
       1296.85   2.71940e-12
       1297.44   2.68610e-12
       1298.02   2.72180e-12
       1298.60   2.69270e-12
       1299.19   2.70890e-12
       1299.77   2.69550e-12
       1300.36   2.70080e-12
       1300.94   2.67480e-12
       1301.52   2.67590e-12
       1302.11   2.63750e-12
       1302.69   2.65760e-12
       1303.28   2.65790e-12
       1303.86   2.66740e-12
       1304.44   2.65890e-12
       1305.03   2.66300e-12
       1305.61   2.64990e-12
       1306.20   2.66970e-12
       1306.78   2.64870e-12
       1307.36   2.65210e-12
       1307.95   2.64140e-12
       1308.53   2.63380e-12
       1309.12   2.61270e-12
       1309.70   2.62260e-12
       1310.28   2.60290e-12
       1310.87   2.60090e-12
       1311.45   2.59540e-12
       1312.04   2.59740e-12
       1312.62   2.59230e-12
       1313.20   2.59700e-12
       1313.79   2.58280e-12
       1314.37   2.58830e-12
       1314.96   2.59220e-12
       1315.54   2.58200e-12
       1316.12   2.57770e-12
       1316.71   2.58780e-12
       1317.29   2.58160e-12
       1317.87   2.59110e-12
       1318.46   2.57620e-12
       1319.04   2.56660e-12
       1319.63   2.56370e-12
       1320.21   2.54400e-12
       1320.79   2.56040e-12
       1321.38   2.53570e-12
       1321.96   2.53680e-12
       1322.55   2.54120e-12
       1323.13   2.55380e-12
       1323.71   2.52810e-12
       1324.30   2.52120e-12
       1324.88   2.53430e-12
       1325.47   2.52520e-12
       1326.05   2.52550e-12
       1326.63   2.51640e-12
       1327.22   2.50120e-12
       1327.80   2.52150e-12
       1328.39   2.52610e-12
       1328.97   2.49810e-12
       1329.55   2.50710e-12
       1330.14   2.49460e-12
       1330.72   2.49920e-12
       1331.30   2.49340e-12
       1331.89   2.48040e-12
       1332.47   2.46110e-12
       1333.06   2.44680e-12
       1333.64   2.43690e-12
       1334.22   2.40560e-12
       1334.81   2.40530e-12
       1335.39   2.44550e-12
       1335.98   2.43710e-12
       1336.56   2.45580e-12
       1337.14   2.43610e-12
       1337.73   2.46050e-12
       1338.31   2.44410e-12
       1338.90   2.44800e-12
       1339.48   2.44520e-12
       1340.06   2.45780e-12
       1340.65   2.42430e-12
       1341.23   2.42570e-12
       1341.82   2.42650e-12
       1342.40   2.43240e-12
       1342.98   2.41200e-12
       1343.57   2.41980e-12
       1344.15   2.40670e-12
       1344.73   2.41740e-12
       1345.32   2.41440e-12
       1345.90   2.40690e-12
       1346.49   2.40490e-12
       1347.07   2.41140e-12
       1347.65   2.40300e-12
       1348.24   2.39580e-12
       1348.82   2.39000e-12
       1349.41   2.38020e-12
       1349.99   2.38320e-12
       1350.57   2.38750e-12
       1351.16   2.37300e-12
       1351.74   2.37220e-12
       1352.33   2.36520e-12
       1352.91   2.36500e-12
       1353.49   2.35870e-12
       1354.08   2.35970e-12
       1354.66   2.35440e-12
       1355.24   2.35310e-12
       1355.83   2.35350e-12
       1356.41   2.35260e-12
       1357.00   2.34720e-12
       1357.58   2.34800e-12
       1358.16   2.34570e-12
       1358.75   2.34440e-12
       1359.33   2.33630e-12
       1359.92   2.32300e-12
       1360.50   2.34050e-12
       1361.08   2.32370e-12
       1361.67   2.31790e-12
       1362.25   2.31870e-12
       1362.84   2.32630e-12
       1363.42   2.31820e-12
       1364.00   2.30800e-12
       1364.59   2.29680e-12
       1365.17   2.29340e-12
       1365.75   2.29810e-12
       1366.34   2.30080e-12
       1366.92   2.28430e-12
       1367.51   2.28910e-12
       1368.09   2.28440e-12
       1368.67   2.28900e-12
       1369.26   2.26910e-12
       1369.84   2.26520e-12
       1370.43   2.26960e-12
       1371.01   2.27400e-12
       1371.59   2.26370e-12
       1372.18   2.25920e-12
       1372.76   2.25400e-12
       1373.35   2.24300e-12
       1373.93   2.25280e-12
       1374.51   2.24520e-12
       1375.10   2.26290e-12
       1375.68   2.23460e-12
       1376.26   2.24700e-12
       1376.85   2.24200e-12
