# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.537598  1.464699943363318e-13  8.925899790476624e-16  1.4646999603039768e-15
2501.911133  1.476000040506048e-13  9.00079973762877e-16  1.4760000150950596e-15
2503.284668  1.4787999926164919e-13  9.005899934762425e-16  1.4787999883813271e-15
2504.657959  1.4660000372933996e-13  8.878599882515168e-16  1.4660000499988938e-15
2506.031494  1.4855999731170494e-13  9.017999800413953e-16  1.4855999688818847e-15
2507.404785  1.4822000506294064e-13  8.995899652028904e-16  1.4821999786316059e-15
2508.77832  1.471699959164699e-13  9.072599544193965e-16  1.4717000523383232e-15
2510.151855  1.4700000656835133e-13  9.051900176545438e-16  1.4699999513340654e-15
2511.525146  1.4749999995272017e-13  8.924500068531287e-16  1.4749999868217075e-15
2512.898682  1.4620000089032859e-13  8.935600435305054e-16  1.4620000427846037e-15
2514.271973  1.4633999849585078e-13  9.08199949232612e-16  1.4633999764881783e-15
2515.645508  1.465800001992576e-13  8.900100225694443e-16  1.4658000443442233e-15
2517.018799  1.4653000492657886e-13  8.875100048256232e-16  1.465299977267988e-15
2518.392334  1.4652000316153768e-13  9.083699910967732e-16  1.465200027380212e-15
2519.765625  1.4723000650671697e-13  8.903000254747604e-16  1.472299963423216e-15
2521.13916  1.4591000391424302e-13  8.835799837086e-16  1.4591000137314418e-15
2522.512451  1.4797000159449264e-13  8.95009952177968e-16  1.4796999608877848e-15
2523.885742  1.4667000253210105e-13  8.88100016212945e-16  1.466700016850681e-15
2525.259277  1.4691000423550787e-13  8.867199877836309e-16  1.4690999788276077e-15
2526.632568  1.4641999906365305e-13  8.900100225694443e-16  1.46419999910686e-15
2528.005859  1.4692000600054905e-13  8.943900299396962e-16  1.4692000345945021e-15
2529.379395  1.476700028533659e-13  8.950800441543533e-16  1.476699981946847e-15
2530.752686  1.4698000303826897e-13  9.287599799613156e-16  1.4698000515585134e-15
