# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.743408  2.3502999270093652e-14  3.8880998682767486e-16  2.3502999058335416e-16
2502.116943  2.6977999370049466e-14  4.0936001197968905e-16  2.6977999370049466e-16
2503.490479  2.6152999443819144e-14  4.110000001144714e-16  2.615299986733562e-16
2504.864014  2.084499971721429e-14  3.7028000290596416e-16  2.084500040542856e-16
2506.237549  1.712800061016203e-14  3.4841000925455216e-16  1.7128000133705997e-16
2507.611084  2.2588000399151667e-14  3.812900018521716e-16  2.258799965799784e-16
2508.984619  2.4762999742649998e-14  3.935400040936001e-16  2.476300027204559e-16
2510.358154  2.0280999441153226e-14  3.704400127236564e-16  2.0280999547032344e-16
2511.731445  1.8745999557875405e-14  3.537300114380196e-16  1.87459998225732e-16
2513.10498  1.465800001992576e-14  3.242599881975888e-16  1.4658000443442233e-16
2514.478516  1.11359997557927e-14  3.5805001181791454e-16  1.113600039106741e-16
2515.852051  9.965000423136153e-15  2.872800120281237e-16  9.964999840801002e-17
2517.225586  1.2188000276722438e-14  3.058800085168809e-16  1.218799942968949e-16
2518.598877  1.452299990879237e-14  3.2895000962653584e-16  1.452300059700664e-16
2519.972412  1.6983000428053355e-14  3.3843000237220597e-16  1.698300000453688e-16
2521.345947  1.4797999319513845e-14  3.25430005395543e-16  1.4798000431244588e-16
2522.719482  1.388399994744962e-14  3.124499931024793e-16  1.3884000265086975e-16
2524.092773  1.353500035032422e-14  3.165000017304369e-16  1.3535000191505542e-16
2525.466309  1.5878999707458728e-14  3.2932000420580836e-16  1.5878999760398287e-16
2526.8396  1.3746999991527762e-14  3.152300081749271e-16  1.3747000626802472e-16
2528.213135  1.4590999713797945e-14  3.26800001778388e-16  1.4591000137314418e-16
2529.58667  2.0895000072090712e-14  3.793199885053153e-16  2.0895000495607186e-16
2530.959961  2.5577999597905035e-14  4.706800092840985e-16  2.5577999492025917e-16
2532.333496  2.5591999358457254e-14  4.0580001191171803e-16  2.5591999358457254e-16
2533.706787  2.4931000257408416e-14  3.881199990827974e-16  2.49310013161996e-16
2535.080322  2.3403000254406704e-14  3.9474999065875285e-16  2.3402998877978165e-16
2536.453613  2.583600075144101e-14  4.0029998875717944e-16  2.5836000433803656e-16
2537.827148  2.6705000651149405e-14  8.970899474590693e-16  2.6705000651149405e-16
2539.200439  2.862699972363235e-14  4.173300096782008e-16  2.8627000464786178e-16
2540.573975  2.65030002338882e-14  3.9820998789938866e-16  2.6502999175097015e-16
2541.947266  3.2458000995055566e-14  4.3276001183163834e-16  3.245800078329733e-16
2543.320557  3.1222999852904484e-14  4.281199918163589e-16  3.122300027642096e-16
2544.694092  2.7792999225304503e-14  4.043999987988047e-16  2.7793001237007753e-16
2546.067383  2.838099933289307e-14  4.1063000553519886e-16  2.8381000921079847e-16
2547.440674  2.6891000616036977e-14  4.1613000221995785e-16  2.689100114543257e-16
2548.814209  2.6530000256114877e-14  4.003900124776048e-16  2.6530000997268706e-16
2550.1875  3.81539994097433e-14  6.309400193331514e-16  3.815400089205096e-16
2551.560791  4.101000138437283e-14  4.760499864114539e-16  4.101000011382341e-16
2552.934082  4.246099931620555e-14  4.853300264420128e-16  4.2460999316205547e-16
2554.307373  4.350700030276988e-14  4.859999765637318e-16  4.3507000302769883e-16
2555.680908  3.9972999275840124e-14  4.695899837601006e-16  3.997299885232365e-16
2557.054199  4.2215000619532164e-14  4.800900159325017e-16  4.2214999772499217e-16
2558.42749  4.435999975010464e-14  5.055300152285742e-16  4.4359999538346405e-16
2559.800781  4.2636999210117835e-14  4.943799911482738e-16  4.263699952775519e-16
2561.174072  3.6863998724261104e-14  4.642500233628135e-16  3.6863998830140223e-16
2562.547363  3.321400161740255e-14  4.4039000521116627e-16  3.3213998864545474e-16
2563.920654  4.357799860440874e-14  4.882700248623733e-16  4.3578000192595514e-16
2565.293945  4.919300034054823e-14  5.140600075843394e-16  4.919300012878999e-16
2566.667236  4.7576000891712614e-14  5.065399961390565e-16  4.757599835061377e-16
2568.040527  5.536099939476395e-14  5.71240025479925e-16  5.536099875948924e-16
2569.413818  5.427500151243027e-14  5.348400021815331e-16  5.427500193594674e-16
2570.787109  5.3211998880548644e-14  5.327800180538107e-16  5.32120020569222e-16
2572.1604  5.314200007778755e-14  5.284900079342045e-16  5.314200007778755e-16
2573.533447  5.146300120534471e-14  5.217600135309138e-16  5.146300078182823e-16
2574.906738  4.156600058721413e-14  4.830100031994833e-16  4.156600048133501e-16
2576.280029  4.216899995423268e-14  4.97740012031354e-16  4.216900058950739e-16
2577.65332  5.0773001390247777e-14  5.26620023884463e-16  5.077300244903896e-16
2579.026611  5.581599838897465e-14  5.424299997240829e-16  5.581599838897465e-16
2580.399658  5.43560015791103e-14  5.349199938554895e-16  5.435599946152793e-16
2581.772949  4.821300016123395e-14  5.114100120692951e-16  4.821299889068453e-16
2583.14624  4.479299960460925e-14  4.951600026135766e-16  4.479299748702688e-16
2584.519287  3.1918000550522005e-14  4.382000015260403e-16  3.191799875057699e-16
2585.892578  3.4475999393648524e-14  4.3712000804851144e-16  3.4476001193593537e-16
2587.265625  5.215900140183999e-14  5.395699929776788e-16  5.215900246063117e-16
2588.638916  6.210999867629213e-14  5.703199888805292e-16  6.21099984645339e-16
2590.011963  5.494500118557663e-14  5.376000061006021e-16  5.494499970326897e-16
2591.385254  4.902200132915653e-14  5.10979984029886e-16  4.902200005860711e-16
2592.758301  4.344099949551983e-14  4.850200123833177e-16  4.344100055431101e-16
2594.131592  4.709199948938793e-14  5.076799966069424e-16  4.709199843059674e-16
2595.504639  4.2187001098427726e-14  4.809400134950714e-16  4.218700003963654e-16
2596.87793  2.7873999291984537e-14  4.0427000571118075e-16  2.7873998762588945e-16
2598.250977  1.8793999220930412e-14  3.466199904089874e-16  1.8794000120902918e-16
2599.624023  2.7368999942897418e-14  4.0547001316942367e-16  2.736900036641389e-16
2600.997314  4.097399909598273e-14  4.995199988304497e-16  4.09740012135651e-16
2602.370361  5.0247000706266434e-14  5.156000193615661e-16  5.024700028274996e-16
2603.743408  4.338400095443319e-14  4.836100201634946e-16  4.3384000530916718e-16
2605.116455  3.127099951595949e-14  4.1197001165775517e-16  3.1271000574750675e-16
2606.489746  2.899500165789645e-14  4.764299865674159e-16  2.899499922267673e-16
2607.862793  3.4861999083975886e-14  4.401500037195177e-16  3.486199940161324e-16
2609.23584  3.650999993868101e-14  4.505299954414251e-16  3.650999993868101e-16
2610.608887  2.3776999181937368e-14  3.7699999173256536e-16  2.377700098188238e-16
2611.981934  2.2667999272888047e-14  3.689699870436966e-16  2.2667999272888047e-16
2613.35498  2.8241999532182746e-14  4.02240011843747e-16  2.8242000167457456e-16
2614.728027  4.172000134142033e-14  4.851799957312304e-16  4.1719999012079724e-16
2616.101074  4.083299860345099e-14  5.106300006039923e-16  4.083299934460482e-16
2617.474121  3.844399977396065e-14  4.558099753181348e-16  3.844400115038919e-16
2618.847168  4.733699868718355e-14  4.998400184658342e-16  4.733699741663413e-16
2620.220215  4.2777000203771814e-14  4.8467998159455435e-16  4.2777000839046525e-16
2621.593262  4.632600049013155e-14  5.2521998430177e-16  4.632600006661508e-16
2622.966309  4.81659999970567e-14  5.026099750220334e-16  4.816599915002375e-16
2624.339111  3.7969000637799386e-14  4.524299962212349e-16  3.796900095543674e-16
2625.712158  3.5847000145810756e-14  4.4129000418740357e-16  3.5847000781085467e-16
2627.085205  3.266700129259288e-14  4.2745999433177017e-16  3.266700086907641e-16
2628.458252  3.075799909365261e-14  4.4188999468163523e-16  3.075800036420203e-16
2629.831055  3.10229984333988e-14  4.228899868835372e-16  3.1022999915706457e-16
2631.204102  3.4875998844528106e-14  4.338199941557883e-16  3.487599926804458e-16
2632.577148  5.945200251154456e-14  5.496500026873602e-16  5.945199848813806e-16
2633.949951  7.507599956210059e-14  6.302399995418049e-16  7.507599765627646e-16
2635.322998  7.990000127451255e-14  6.276300263335184e-16  7.989999852165547e-16
2636.695801  8.638899871068334e-14  6.506900218664839e-16  8.638900146354042e-16
2638.068848  8.961399873032294e-14  6.822100236579477e-16  8.961400000087236e-16
2639.44165  9.039599987601885e-14  6.660300002994961e-16  9.039600199360121e-16
2640.814697  9.269999725518632e-14  6.741899980759888e-16  9.269999513760395e-16
2642.1875  1.001300008619116e-13  7.008000145700155e-16  1.0012999874432923e-15
2643.560547  9.700299916613753e-14  6.884400039245623e-16  9.700299662503869e-16
2644.93335  8.926300182950792e-14  6.612699927732821e-16  8.926300013544202e-16
2646.306152  9.00190024518549e-14  6.700200019370967e-16  9.001899821669017e-16
2647.679199  8.763999861114216e-14  6.832799850890075e-16  8.764000030520806e-16
2649.052002  8.787199754726333e-14  6.645099996756482e-16  8.787200262946101e-16
