# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2904.865966796875  1.4072999493172644e-12  1.0035000072930195e-14  1.4073000103036366e-14
2907.610596  1.353299959074017e-12  5.227399882992397e-15  1.3532999658502805e-14
2910.355225  1.3587000448345155e-12  4.8436998871168296e-15  1.3586999702956161e-14
2913.099854  1.3725999503666486e-12  3.8758999468583265e-15  1.3726000350699433e-14
2915.844482  1.306800045779155e-12  3.5077999685305785e-15  1.3067999746283875e-14
2918.589355  1.2964000532800224e-12  3.2402000258780796e-15  1.2964000193987045e-14
2921.333984  1.236099981052896e-12  2.94759990578737e-15  1.236099997993555e-14
2924.078857  1.157199986875912e-12  2.6654000797395223e-15  1.1571999800996484e-14
2926.82373  1.1491999843057932e-12  2.4530999535979413e-15  1.1492000080227157e-14
2929.568359  1.2739000392752997e-12  2.3541999631600556e-15  1.2739000291109043e-14
2932.313232  1.307599970142015e-12  2.1985000608616646e-15  1.3075999972470692e-14
2935.058105  1.2256999885537634e-12  1.9859000850567556e-15  1.2256999580605773e-14
2937.802979  1.1779999718741774e-12  1.8143001037889805e-15  1.1779999752623092e-14
2940.548096  1.2233999620650526e-12  1.7166999912877749e-15  1.2234000094988977e-14
2943.292969  1.2761999573437932e-12  1.6294000111834184e-15  1.276199977672584e-14
2946.037842  1.192400019868478e-12  1.4878000310832593e-15  1.1923999588821059e-14
2948.782959  1.1930000173507316e-12  1.398799949974645e-15  1.1929999970219408e-14
2951.528076  1.2944000255324384e-12  1.3678999763005713e-15  1.2944000052036476e-14
2954.272949  1.3140999790065e-12  1.3059999731855295e-15  1.3140999586777093e-14
2957.018066  1.353299959074017e-12  1.2594999819636366e-15  1.3532999658502805e-14
2959.763184  1.353700029675664e-12  1.2058999488196213e-15  1.3537000195112687e-14
2962.508301  1.3194999563467813e-12  1.1459000523635077e-15  1.3194999631230449e-14
2965.253418  1.1348000447317097e-12  1.0314999942655787e-15  1.134800024402919e-14
2967.998779  1.1298999930131615e-12  9.996100508344015e-16  1.1299000235063476e-14
2970.743896  1.1990999556135695e-12  1.0014999930979627e-15  1.1990999894948874e-14
2973.489014  1.3309999803701178e-12  1.0283000096699703e-15  1.330999960041327e-14
2976.234375  1.406699951835011e-12  1.037100046717232e-15  1.4066999721638017e-14
2978.979736  1.2832000002502286e-12  9.757000047993071e-16  1.283200027355283e-14
2981.724854  1.0703999535691122e-12  8.854699789117204e-16  1.0704000247198798e-14
2984.470215  1.0133999759145973e-12  8.528099766523707e-16  1.0133999589739384e-14
2987.215576  1.1906999908620208e-12  9.09860027930112e-16  1.1906999637569665e-14
2989.960938  1.3505999704038762e-12  9.580199919703865e-16  1.3505999636276127e-14
2992.706299  1.284199959913912e-12  9.277799628413423e-16  1.2842000344528114e-14
2995.45166  1.2881000519687769e-12  9.233499805272024e-16  1.2881000282518543e-14
2998.197266  1.1784000424758245e-12  8.807299825388853e-16  1.1784000289232974e-14
3000.942627  1.0240999671548567e-12  8.270899800276715e-16  1.0241000179768336e-14
3003.688232  1.1408000195542445e-12  8.597100129198226e-16  1.1407999822847948e-14
3006.433594  1.1811000311459652e-12  8.708900007906321e-16  1.1811000311459652e-14
3009.179199  1.230400004971488e-12  8.736800214397694e-16  1.230399974478302e-14
3011.924805  1.3033999877662406e-12  8.90840008978635e-16  1.3033999843781088e-14
3014.67041  1.2668999963688643e-12  8.734000241111426e-16  1.2668999794282054e-14
3017.416016  1.116700048403585e-12  8.149399806135782e-16  1.116700031462926e-14
3020.161621  1.0826000469352226e-12  7.971400067435027e-16  1.082600009665773e-14
3022.907227  1.3164000054952107e-12  8.655200236632767e-16  1.3163999919426836e-14
3025.652832  1.409500012365672e-12  8.855100012184782e-16  1.4095000089775402e-14
3028.398682  1.4865000506555925e-12  9.001800295297714e-16  1.486499962564166e-14
3031.144287  1.5107999486868584e-12  9.01810038557644e-16  1.5107999825681763e-14
3033.890137  1.535699952620595e-12  8.98579984292408e-16  1.5357000407120215e-14
3036.635742  1.4088000514431154e-12  8.560100141875382e-16  1.4088000209499293e-14
3039.381592  1.399799980789096e-12  8.441999926226491e-16  1.3998000417754682e-14
3042.127441  1.4519000151452799e-12  8.524200238592785e-16  1.4519000219215435e-14
3044.873291  1.5132000470360896e-12  8.595200128418416e-16  1.5131999657209266e-14
3047.619141  1.4756999875548127e-12  8.425899947481555e-16  1.4756999536734948e-14
3050.36499  1.5998000450420657e-12  8.700899781719504e-16  1.5997999366218485e-14
3053.11084  1.5371999463262287e-12  8.45339993090535e-16  1.5371999666550194e-14
3055.856689  1.3421000422120244e-12  7.857899770085319e-16  1.3420999880019158e-14
3058.602783  1.2770999535671734e-12  7.604699916931735e-16  1.2771000348823364e-14
3061.348633  1.4326000238526482e-12  8.022399921189208e-16  1.4326000374051753e-14
3064.094727  1.3529999603328902e-12  7.71220004464133e-16  1.3530000314836577e-14
3066.84082  1.3673000448868877e-12  7.706600098068795e-16  1.3672999805123837e-14
3069.58667  1.4946999801063177e-12  7.963200259110013e-16  1.4946999191199455e-14
3072.332764  1.4727999635838485e-12  7.881899919250177e-16  1.472800051675275e-14
3075.078857  1.4643000353919966e-12  7.784799767946088e-16  1.464300076049578e-14
3077.824951  1.4908999599119732e-12  7.83980026418927e-16  1.4908999599119732e-14
3080.571045  1.4938999473232406e-12  7.778199793100201e-16  1.4938999812045585e-14
3083.317139  1.54050004089884e-12  7.883100059057318e-16  1.5405000070175222e-14
3086.063477  1.5295000509174539e-12  7.831200232796679e-16  1.5294999289447095e-14
3088.80957  1.3908000185552938e-12  7.439700016388965e-16  1.3907999778977123e-14
3091.555908  1.2500999584455497e-12  7.045699993995667e-16  1.2501000126556583e-14
3094.302002  1.2585000316173156e-12  7.033899766249231e-16  1.2585000383935792e-14
3097.04834  1.2470999710342823e-12  6.986300220382683e-16  1.247099991363073e-14
3099.794678  1.2031999745490407e-12  6.835000018970568e-16  1.2031999677727771e-14
3102.540771  1.3947999656302446e-12  7.34790017375232e-16  1.394800006287826e-14
3105.287109  1.6063000539065508e-12  7.827100063936376e-16  1.606300067459078e-14
3108.033447  1.7194999764325036e-12  8.086899891935847e-16  1.719499922222395e-14
3110.779785  1.707099956185787e-12  8.033599814334278e-16  1.70710003750095e-14
3113.526367  1.6918999838286264e-12  7.969700178189006e-16  1.6919000312624714e-14
3116.272705  1.5571000435213311e-12  7.630800178410192e-16  1.5570999893112225e-14
3119.019043  1.4655999937968067e-12  7.347499950684743e-16  1.4655999328104345e-14
3121.765625  1.5038999776409434e-12  7.459499940926627e-16  1.5039000521798428e-14
3124.511963  1.5568000447802044e-12  7.584899992394074e-16  1.556799970241305e-14
3127.258545  1.5812000146719907e-12  7.622499784922692e-16  1.5811999401330913e-14
3130.004883  1.5590999628486979e-12  7.556900259531399e-16  1.5591000035062794e-14
3132.751465  1.5595999968906482e-12  7.518600076634519e-16  1.559599922351749e-14
3135.498047  1.6405999822555195e-12  7.68719986720312e-16  1.640599989031783e-14
3138.244629  1.7354999815727412e-12  7.90790012496174e-16  1.7355000357828498e-14
3140.991211  1.6075000488710578e-12  7.579899851027313e-16  1.6074999743321584e-14
3143.737793  1.364299949055403e-12  6.967100101050797e-16  1.3642999592197984e-14
3146.484375  1.4614000114210324e-12  7.184199939387994e-16  1.4614000046447688e-14
3149.230957  1.607200050129931e-12  7.503700237696724e-16  1.607199955262241e-14
3151.977783  1.6162000123637332e-12  7.519999798579857e-16  1.6162000191399968e-14
3154.724365  1.5103000230651253e-12  7.236399932949316e-16  1.5103000637227068e-14
3157.471191  1.3312000156709414e-12  6.719600250236642e-16  1.3312000292234685e-14
3160.217773  1.278100021651074e-12  6.6285997949439685e-16  1.2781000419798648e-14
3162.9646  1.4243999859817058e-12  6.963400155258071e-16  1.424400080849396e-14
3165.711426  1.5462000169802481e-12  7.217099757850535e-16  1.5462000305327753e-14
3168.458252  1.6642999912247491e-12  7.448500159315345e-16  1.6642999708959584e-14
3171.204834  1.819199955607753e-12  7.763800232996878e-16  1.8191999352789624e-14
3173.95166  1.8175000350215131e-12  7.717300241774985e-16  1.817499940153823e-14
3176.69873  1.670700036648931e-12  7.394500220741108e-16  1.6706999824388225e-14
3179.445557  1.3967999933778286e-12  6.745000121346839e-16  1.3968000204828829e-14
3182.192383  1.3855999680956188e-12  6.693399932991291e-16  1.3855999579312234e-14
3184.939209  1.546599979161678e-12  7.031299904496752e-16  1.5465999994904688e-14
3187.686279  1.635500003656365e-12  7.203400058719881e-16  1.635500003656365e-14
3190.433105  1.5880999857179057e-12  7.076699811678399e-16  1.5881000399280143e-14
3193.180176  1.4795000077491571e-12  6.808800231120809e-16  1.4795000822880565e-14
3195.927002  1.6037999921170165e-12  7.051999801540871e-16  1.6037999650119622e-14
3198.674072  1.7559999678298799e-12  7.346000172972511e-16  1.7559999271722984e-14
3201.421143  1.8101000299336478e-12  7.417599868003917e-16  1.8100999215134306e-14
3204.168213  1.880999913120296e-12  7.54459975295049e-16  1.8809999673304045e-14
3206.915283  1.8015999933215787e-12  7.39839974867203e-16  1.8015999458877337e-14
3209.662354  1.587899950417082e-12  6.906500187630672e-16  1.5878999707458728e-14
3212.409424  1.455200001297674e-12  6.588999945868646e-16  1.4552000622840462e-14
3215.156494  1.5346999929569116e-12  6.740300147280761e-16  1.534700033614493e-14
3217.903564  1.6835999825173809e-12  7.019799844050999e-16  1.6835999554123265e-14
3220.650635  1.7149999953156025e-12  7.052800247676027e-16  1.7149999749868118e-14
3223.397949  1.6206999934806343e-12  6.839599937269751e-16  1.62069996637558e-14
3226.14502  1.471700040479862e-12  6.507999773309493e-16  1.471699925283381e-14
3228.892334  1.394199968147991e-12  6.32550017207645e-16  1.394199968147991e-14
3231.639648  1.4824999951604245e-12  6.495200046685297e-16  1.4824999341740523e-14
3234.386719  1.4865000506555925e-12  6.502100188831867e-16  1.486499962564166e-14
3237.134033  1.5415000005625235e-12  6.590300141442681e-16  1.5415000141150506e-14
3239.881348  1.6508000478740459e-12  6.801900088974238e-16  1.6507999597826194e-14
3242.628662  1.747900001819458e-12  6.9902998040805e-16  1.747899920504295e-14
3245.375977  1.7675999552935195e-12  7.003300171634077e-16  1.767600043384946e-14
3248.123291  1.6906000254238163e-12  6.835000018970568e-16  1.6906000050950255e-14
3250.870605  1.7084999864511174e-12  6.839399825735962e-16  1.7085000135561718e-14
3253.61792  1.83419989266409e-12  7.080000063799138e-16  1.8342000417418888e-14
3256.365234  1.989600107929479e-12  7.330600055200243e-16  1.9895999249703623e-14
3259.112793  2.086799916894977e-12  7.517000243155393e-16  2.0868000049864034e-14
3261.860107  2.0497999998758676e-12  7.430799817695691e-16  2.0498000811910305e-14
3264.607666  2.00700003491483e-12  7.334500112526757e-16  2.007000014586039e-14
3267.35498  2.039000045195305e-12  7.407400003132199e-16  2.0390000723003593e-14
3270.102539  2.0213999744889133e-12  7.334899806198743e-16  2.0214000829091305e-14
3272.850098  2.004600044985816e-12  7.282699812637421e-16  2.0046000314332887e-14
3275.597412  1.987799898642284e-12  7.241999879521851e-16  1.987799979957447e-14
3278.344971  1.9300999600652124e-12  7.125700138281468e-16  1.9300999261838946e-14
3281.092529  1.938800031978105e-12  7.139499893179017e-16  1.938799970991733e-14
3283.840088  1.929399999142656e-12  7.110400076276095e-16  1.9293999381562836e-14
3286.587646  1.88259997868645e-12  7.049199828254604e-16  1.882600012567768e-14
3289.335205  2.0213999744889133e-12  7.240600157576514e-16  2.0214000829091305e-14
3292.083008  2.1897000272025346e-12  7.542400114265589e-16  2.189699939111108e-14
3294.830566  2.2349999455328895e-12  7.563100011309708e-16  2.234999938756626e-14
3297.578125  2.2657999608488577e-12  7.5990999703592e-16  2.2657999201912762e-14
3300.325928  2.263900004961794e-12  7.577899794480609e-16  2.263900025290585e-14
3303.073486  2.0962999131707294e-12  7.292800151137836e-16  2.0962999877096287e-14
3305.821289  1.971900073782784e-12  7.060400250795266e-16  1.9718999856913576e-14
3308.568848  2.0551000137758457e-12  7.197299833312874e-16  2.0550999663420007e-14
3311.31665  2.0817000467160396e-12  7.253499939967605e-16  2.0817000196109853e-14
3314.064453  2.0223000791325108e-12  7.111500160316342e-16  2.0222999707122935e-14
3316.812256  2.1019000342320515e-12  7.247200132422401e-16  2.1019000613371058e-14
3319.559814  2.079400020227329e-12  7.190100053261212e-16  2.079399986346011e-14
3322.307617  1.9559000686425465e-12  6.947100064979346e-16  1.9559000415374922e-14
3325.05542  2.0011999869729014e-12  7.025399790623534e-16  2.00120004118301e-14
3327.803467  2.0027000890987523e-12  7.004300199907429e-16  2.002699967126008e-14
3330.55127  2.0077999592776896e-12  7.001699808759359e-16  2.007799952501426e-14
3333.299072  2.0076000323970833e-12  7.000799836252901e-16  2.007600052725874e-14
3336.046875  1.8618999571284878e-12  6.733500060901085e-16  1.861900051996178e-14
3338.794922  1.9214001049927543e-12  6.826800210645554e-16  1.9214000507826456e-14
3341.542725  1.989600107929479e-12  6.933000142781115e-16  1.9895999249703623e-14
3344.290527  2.0740000428870475e-12  7.056600249235646e-16  2.0739999819006753e-14
3347.038574  2.0331000338130734e-12  6.963599737396268e-16  2.0330999796029647e-14
3349.786621  1.9459000383248437e-12  6.729199780506994e-16  1.945899970562208e-14
3352.534424  2.07309993824345e-12  6.985899997315106e-16  2.073099924690923e-14
3355.282471  2.0914999333127016e-12  7.017700261132992e-16  2.091500021404128e-14
3358.030518  1.882900085847794e-12  6.671100202468045e-16  1.8829000316376854e-14
