# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2501.165527  1.0417000378612484e-12  3.2236000859360266e-15  1.0417000073680623e-14
2502.539062  9.695099540893426e-13  3.121900016332755e-15  9.695100150757148e-15
2503.912842  9.79320032186426e-13  3.1527999900068287e-15  9.793200118576352e-15
2505.286377  9.530799543674973e-13  3.1287999467210885e-15  9.530800322945284e-15
2506.660156  8.724000254839437e-13  2.9565001044806445e-15  8.723999746619669e-15
2508.033936  8.917599731567138e-13  2.97220007191624e-15  8.917600138142953e-15
2509.407471  9.990800504608432e-13  3.159999981816727e-15  9.990800199676571e-15
2510.78125  9.510400279799658e-13  3.0873999408746137e-15  9.510400381443612e-15
2512.154785  8.66440003511465e-13  2.9410000368206013e-15  8.664399967352014e-15
2513.528564  8.82390026931551e-13  2.9761999732514114e-15  8.823899659451788e-15
2514.9021  8.720299872824744e-13  2.946999994702477e-15  8.720299906706062e-15
2516.275879  8.621199999551965e-13  3.4174999036061656e-15  8.62119959297615e-15
2517.649414  8.199599853264683e-13  3.32340004888037e-15  8.199599954908637e-15
2519.023193  8.074699762994353e-13  2.9587000608029008e-15  8.074699864638307e-15
2520.396729  7.905199932156659e-13  2.797700061595303e-15  7.905200101563249e-15
2521.770508  7.821700101842688e-13  2.7820000941597076e-15  7.82169959362292e-15
2523.144043  7.600599837009892e-13  2.8260000676377794e-15  7.600600277467024e-15
2524.517578  7.32390005846878e-13  2.7792000149943217e-15  7.323900024587462e-15
2525.891357  6.669399733004455e-13  2.567900023005211e-15  6.669400207342906e-15
2527.264893  6.558999762588946e-13  2.552399955345168e-15  6.559000050580148e-15
2528.638428  6.552099899963248e-13  2.5460999360417272e-15  6.552100120191815e-15
2530.012207  6.29890020351076e-13  2.5228999153746687e-15  6.298899949400876e-15
2531.385742  7.569399751092276e-13  2.7575000896768505e-15  7.569399818854912e-15
2532.759277  8.103600256104126e-13  2.8307000417038567e-15  8.103599781765676e-15
2534.132812  7.580099742332536e-13  2.729200083634374e-15  7.580100386077575e-15
2535.506592  7.355700250288866e-13  2.6941000970913398e-15  7.35570018252623e-15
2536.880127  7.184200066442936e-13  2.6951999693733495e-15  7.184199727629757e-15
