#hr3454
#                                                                             
#  From Hamuy et al. Telluric lines removed by Bessell                        
#set .z.units = "erg/s/cm**2/A"
#set .z.label  = "Flux"
#set .table.bandwidth = 16
#
3300   2.2350E-10
3316   2.2156E-10
3332   2.1883E-10
3348   2.1594E-10 
3364   2.1174E-10
3380   2.1012E-10
3396   2.0624E-10 
3412   2.0356E-10
3428   1.9982E-10
3444   1.9651E-10
3460   1.9380E-10 
3476   1.9079E-10 
3492   1.8817E-10
3508   1.8595E-10
3524   1.8342E-10 
3540   1.8226E-10 
3556   1.8063E-10
3572   1.7901E-10
3588   1.7579E-10
3604   1.7617E-10
3620   1.7430E-10
3636   1.7325E-10 
3652   1.7141E-10 
3668   1.7008E-10
3684   1.6737E-10
3700   1.6546E-10
3716   1.6725E-10
3732   1.7204E-10 
3748   1.7845E-10
3764   1.8340E-10 
3780   1.9343E-10  
3796   1.8640E-10
3812   2.0156E-10 
3828   1.8568E-10
3844   2.0452E-10 
3860   2.1674E-10 
3876   1.9246E-10
3892   1.8688E-10
3908   2.1145E-10 
3924   2.1147E-10 
3940   2.0841E-10
3956   1.8493E-10
3972   1.6994E-10
3988   1.9588E-10
4004   1.9540E-10
4020   1.8909E-10
4036   1.9409E-10
4052   1.9434E-10
4068   1.8982E-10
4084   1.7336E-10 
4100   1.5106E-10
4116   1.7209E-10
4132   1.7619E-10 
4148   1.7613E-10
4164   1.7672E-10
4180   1.7505E-10
4196   1.7276E-10
4212   1.7082E-10
4228   1.6782E-10 
4244   1.6518E-10
4260   1.6169E-10 
4276   1.6004E-10 
4292   1.5754E-10
4308   1.5366E-10
4324   1.3987E-10
4340   1.2250E-10
4356   1.4052E-10
4372   1.4499E-10
4388   1.4209E-10
4404   1.4382E-10
4420   1.4238E-10
4436   1.3968E-10 
4452   1.3677E-10
4468   1.2992E-10
4484   1.3334E-10
4500   1.3399E-10
4516   1.3243E-10
4532   1.3126E-10
4548   1.2938E-10 
4564   1.2765E-10
4580   1.2687E-10 
4596   1.2484E-10
4612   1.2318E-10 
4628   1.2143E-10 
4644   1.2026E-10 
4660   1.1932E-10
4676   1.1764E-10 
4692   1.1609E-10
4708   1.1456E-10
4724   1.1378E-10
4740   1.1260E-10
4756   1.1123E-10
4772   1.0927E-10
4788   1.0804E-10
4804   1.0693E-10
4820   1.0632E-10
4836   1.0312E-10
4852  8.9966E-11 
4868  8.6381E-11 
4884  9.9441E-11 
4900   1.0053E-10
4916  9.7971E-11 
4932  9.7695E-11 
4948  9.8143E-11 
4964  9.6974E-11 
4980  9.5733E-11 
4996  9.3902E-11 
5012  9.1769E-11 
5028  9.1270E-11 
5044  8.9943E-11  
5060  8.9375E-11 
5076  8.8568E-11 
5092  8.7850E-11 
5108  8.6740E-11  
5124  8.5803E-11 
5140  8.5034E-11 
5156  8.4196E-11 
5172  8.3522E-11 
5188  8.2702E-11 
5204  8.1742E-11 
5220  8.1167E-11  
5236  8.0375E-11 
5252  7.9446E-11 
5268  7.8528E-11 
5284  7.7838E-11 
5300  7.7084E-11 
5316  7.6269E-11 
5332  7.5603E-11 
5348  7.4737E-11 
5364  7.4223E-11 
5380  7.3376E-11 
5396  7.2740E-11  
5412  7.1912E-11 
5428  7.1095E-11  
5444  7.0418E-11 
5460  6.9813E-11 
5476  6.9086E-11 
5492  6.8432E-11   
5508  6.7909E-11 
5524  6.7144E-11 
5540  6.6451E-11 
5556  6.5765E-11 
5572  6.5267E-11 
5588  6.4655E-11  
5604  6.3815E-11 
5620  6.3102E-11 
5636  6.2341E-11 
5652  6.1534E-11 
5668  6.0850E-11 
5684  6.0119E-11 
5700  5.9562E-11 
5716  5.9120E-11  
5732  5.8305E-11 
5748  5.7874E-11
5764  5.7289E-11 
5780  5.6972E-11 
5796  5.6658E-11 
5812  5.6294E-11 
5828  5.5986E-11 
5844  5.5628E-11 
5860  5.4868E-11
5876  5.2693E-11
5892  5.2892E-11
5908  5.2995E-11  
5924  5.2274E-11 
5940  5.1706E-11
5956  5.1240E-11
5972  5.1060E-11
5988  5.0740E-11 
6004  5.0146E-11
6020  4.9651E-11
6036  4.9297E-11
6052  4.8811E-11 
6068  4.8465E-11
6084  4.7989E-11
6100  4.7474E-11
6116  4.7096E-11 
6132  4.6980E-11
6148  4.6137E-11 
6164  4.5898E-11 
6180  4.5534E-11 
6196  4.5174E-11 
6212  4.4736E-11 
6228  4.4383E-11 
6244  4.3953E-11 
6260  4.3408E-11
6276  4.2204E-11 
6292  4.1912E-11 
6308  4.1931E-11 
6324  4.1834E-11 
6340  4.1394E-11 
6356  4.1148E-11
6372  4.0829E-11
6388  4.0662E-11
6404  4.0310E-11 
6420  4.0109E-11 
6436  3.9910E-11
6452  3.9639E-11
6468  3.9190E-11
6484  3.8604E-11
6500  3.8449E-11 
6516  3.7980E-11  
6532  3.7482E-11 
6548  3.5196E-11
6564  3.1245E-11
6580  3.5016E-11 
6596  3.6354E-11  
6612  3.6312E-11 
6628  3.6137E-11
6644  3.5897E-11 
6660  3.5560E-11 
6676  3.4680E-11
6692  3.4963E-11  
6708  3.4860E-11 
6724  3.4535E-11
6740  3.4213E-11
6756  3.3926E-11
6772  3.3611E-11 
6788  3.3330E-11
6804  3.3021E-11 
6820  3.2745E-11
6836  3.2472E-11 
6852  3.2172E-11 
6868  3.1905E-11
6884  3.1640E-11
6900  3.1348E-11 
6916  3.1089E-11
6932  3.0832E-11  
6948  3.0577E-11 
6964  3.0325E-11 
6980  3.0075E-11
6996  2.9827E-11 
7012  2.9582E-11 
7028  2.9339E-11 
7044  2.9099E-11 
7060  2.8861E-11
7076  2.8625E-11
7092  2.8417E-11
7108  2.8185E-11
7124  2.7955E-11
7140  2.7728E-11
7156  2.7528E-11
7172  2.7304E-11 
7188  2.7083E-11 
7204  2.6888E-11
7220  2.6671E-11
7236  2.6455E-11
7252  2.6266E-11
7268  2.6054E-11
7284  2.5869E-11
7300  2.5661E-11
7316  2.5478E-11
7332  2.5274E-11
7348  2.5094E-11 
7364  2.4916E-11
7380  2.4717E-11
7396  2.4542E-11
7412  2.4347E-11
7428  2.4175E-11 
7444  2.4005E-11  
7460  2.3814E-11
7476  2.3647E-11 
7492  2.3481E-11
7508  2.3295E-11 
7524  2.3132E-11
7540  2.2970E-11 
7556  2.2810E-11 
7572  2.2630E-11 
7588  2.2473E-11 
7604  2.2317E-11
7620  2.2141E-11
7636  2.1988E-11
7652  2.1835E-11
7668  2.1684E-11
7684  2.1515E-11
7700  2.1366E-11
7716  2.1219E-11 
7732  2.1073E-11
