# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2501.1604  9.011700416385222e-15  1.7413000250677467e-16  9.011699992868749e-17
2502.709473  9.312900250231168e-15  1.7836000563602384e-16  9.312900276700948e-17
2504.258545  9.00409998974951e-15  1.7485999932352007e-16  9.004099857400612e-17
2505.807617  9.025300377386337e-15  1.741399948485743e-16  9.025300165628101e-17
2507.356689  8.67100004807702e-15  1.7188000506618143e-16  8.671000180425918e-17
2508.905762  8.312200279751887e-15  1.6765000193693226e-16  8.312199670946956e-17
2510.454834  8.427200248934709e-15  1.6868999957748293e-16  8.427200275404489e-17
2512.003906  7.90929974102796e-15  1.6338999531250456e-16  7.909299846907078e-17
2513.553223  8.319999759130205e-15  1.6718999687212417e-16  8.320000314995576e-17
2515.102295  8.662400122563547e-15  1.7138000416439518e-16  8.662400149033326e-17
2516.651367  8.826000301160979e-15  1.7278999638421837e-16  8.825999930584064e-17
2518.200439  8.937600280093522e-15  1.7320000003535885e-16  8.937599830107268e-17
2519.749756  9.016199855401037e-15  1.7454000615791515e-16  9.016199855401037e-17
2521.298828  8.941100220231576e-15  1.7283000545608633e-16  8.941099796715103e-17
2522.8479  8.599099656349338e-15  1.7015000644586353e-16  8.599100318093828e-17
2524.397217  8.789000207959016e-15  1.7209999540445113e-16  8.788999810912322e-17
2525.946289  8.589099585374054e-15  1.6896000456431004e-16  8.589100035360307e-17
2527.495605  8.77619984606011e-15  1.719200009031596e-16  8.776199687241432e-17
2529.044678  8.772699905922055e-15  1.7034999886564415e-16  8.772699720633597e-17
2530.593994  8.42169961697524e-15  1.6772999361088859e-16  8.421699855203256e-17
2532.143066  8.424200058235534e-15  1.6735999903161607e-16  8.424199925886636e-17
2533.692383  9.168599717336925e-15  1.7442000541209086e-16  9.168600273202297e-17
2535.241699  9.21059984602653e-15  1.755500003032873e-16  9.21059987249631e-17
2536.790771  9.315899593897396e-15  1.7530999881163871e-16  9.31589996447431e-17
2538.340088  9.408799626453405e-15  1.7660000352052741e-16  9.408800288197895e-17
2539.889404  9.215799781289724e-15  1.7530000646983907e-16  9.215799860699063e-17
2541.438721  9.478800123280395e-15  1.7643999370283515e-16  9.478800282099073e-17
2542.988037  9.740400319809255e-15  1.8068000240877377e-16  9.740399790413663e-17
2544.537354  9.667900228754918e-15  1.7859999389278263e-16  9.667899725829105e-17
2546.086426  9.678999748495738e-15  1.788100051241425e-16  9.678999827905077e-17
2547.635742  9.506000045282625e-15  1.78400001473002e-16  9.505999965873287e-17
2549.185059  9.399200202062172e-15  1.7591000254076018e-16  9.39919969913636e-17
2550.734619  9.680799693508654e-15  1.790299954624122e-16  9.680799772917992e-17
2552.283936  9.561800034748897e-15  1.7772999841172385e-16  9.561800246507134e-17
2553.833252  9.537099706974014e-15  1.7665000493419502e-16  9.53709997167181e-17
2555.382568  9.543100088372364e-15  1.7871999463860692e-16  9.543100008963025e-17
2556.931885  9.2837995862953e-15  1.7439000191691234e-16  9.283800062751332e-17
2558.481201  9.206900006112923e-15  1.748900028186986e-16  9.206900059052482e-17
2560.030762  9.0974997717444e-15  1.7366999744196658e-16  9.097499798214179e-17
2561.580078  9.391000076099804e-15  1.750600049781905e-16  9.391000023160244e-17
2563.129395  9.170900258821668e-15  1.7484999374683063e-16  9.170899835305195e-17
2564.678955  9.621599713792103e-15  1.778399935808587e-16  9.621600110838797e-17
2566.228271  9.40430018743759e-15  1.7570000454429012e-16  9.404299763921117e-17
2567.777832  9.228600143188631e-15  1.7492000631387711e-16  9.228599984369953e-17
2569.327148  9.033399706427983e-15  1.719700023168272e-16  9.03339991818622e-17
2570.876709  9.341300417919658e-15  1.76399997865857e-16  9.341299703235608e-17
2572.426025  9.407800127575645e-15  1.7603000328658447e-16  9.407799730528951e-17
2573.975586  9.095499926955932e-15  1.7273999497055076e-16  9.095500006365271e-17
2575.524902  8.918299787357385e-15  1.712899936788596e-16  8.918300052055181e-17
2577.074463  8.891499664906259e-15  1.7093000467627653e-16  8.891500061952953e-17
2578.624023  9.056499988965502e-15  1.722399940687645e-16  9.056500094844621e-17
2580.173584  9.352899687099358e-15  1.7651999861168128e-16  9.352900084146052e-17
2581.7229  9.078100176153434e-15  1.7283000545608633e-16  9.078100096744095e-17
2583.272461  9.013600311285914e-15  1.722399940687645e-16  9.01359986129966e-17
2584.822021  8.701899809992857e-15  1.683400029166995e-16  8.701899677643959e-17
2586.371582  8.177999767720705e-15  1.6421000261478553e-16  8.177999873599823e-17
2587.921143  8.417699927398305e-15  1.6611000339459534e-16  8.41770027150544e-17
2589.470703  8.899799740756404e-15  1.7076000251678463e-16  8.899800323091555e-17
2591.020264  8.906599721256962e-15  1.7110999917756807e-16  8.906599747726741e-17
2592.569824  8.988300284184375e-15  1.7178999458064586e-16  8.988300045956359e-17
2594.119385  8.552000389317263e-15  1.6706000378450024e-16  8.551999992270569e-17
2595.668945  8.963500006521716e-15  1.7162000565604376e-16  8.963499847703039e-17
2597.218506  8.864499642679581e-15  1.7008999945550648e-16  8.864500225014732e-17
2598.768311  8.480499797140686e-15  1.6639000072322208e-16  8.480499823610465e-17
2600.317871  8.369299617759247e-15  1.6616000480826294e-16  8.369300279503737e-17
2601.867432  8.63680024579868e-15  1.6910999557042305e-16  8.636799901691545e-17
2603.416992  9.032700057213551e-15  1.7259999630623739e-16  9.032699792515755e-17
2604.966797  8.748600124506775e-15  1.6988000145903642e-16  8.748600309795232e-17
2606.516357  8.955899579886004e-15  1.7131999717403813e-16  8.955899712234902e-17
2608.066162  9.07509998545426e-15  1.7333000635787258e-16  9.075099747226243e-17
2609.615723  9.026799625702978e-15  1.7238999830976732e-16  9.026799678642537e-17
2611.165283  9.058399883866194e-15  1.719200009031596e-16  9.058399963275533e-17
2612.715088  9.036199997351606e-15  1.7266999563839407e-16  9.036199759123589e-17
2614.264893  8.66570016292605e-15  1.6827999592634245e-16  8.665700268805168e-17
2615.814453  8.950799594510585e-15  1.707299990216061e-16  8.950800309194635e-17
2617.364258  8.923199872957251e-15  1.713100048322385e-16  8.923200270003945e-17
2618.914062  8.719099661019802e-15  1.692700053881153e-16  8.719099740429141e-17
2620.463623  8.794400042997762e-15  1.6946999780789593e-16  8.794400307695558e-17
2622.013428  8.867799683042084e-15  1.7046999961146844e-16  8.867799683042084e-17
2623.563232  8.885999879979737e-15  1.712400055000818e-16  8.88600030349621e-17
2625.113037  8.88180029062725e-15  1.7093999701807617e-16  8.881800211217911e-17
2626.662842  8.92610011376865e-15  1.707999983537628e-16  8.926100034359311e-17
2628.212402  8.849399586328879e-15  1.6986000354054733e-16  8.849399877496454e-17
2629.762207  8.981300403908266e-15  1.7233999689609972e-16  8.98130011274069e-17
2631.312012  9.172600253946808e-15  1.7330000286269406e-16  9.172599856900114e-17
2632.861816  9.107000093280804e-15  1.736499995234775e-16  9.106999802113228e-17
2634.411621  9.071500095428429e-15  1.7261000188292683e-16  9.071499857200412e-17
2635.96167  9.215999681065276e-15  1.7380000376448031e-16  9.215999707535056e-17
2637.511475  8.697300421089266e-15  1.6884000381848575e-16  8.697299891693674e-17
2639.061279  8.891599614794035e-15  1.7102999426872194e-16  8.89159998537095e-17
2640.611084  8.797600133472489e-15  1.7005999596032796e-16  8.797599842304914e-17
2642.160889  8.82310006034958e-15  1.699500007911931e-16  8.823100166228698e-17
2643.710938  9.132300120382342e-15  1.732599937908261e-16  9.13230027920102e-17
2645.260742  8.858400158426403e-15  1.70459994034779e-16  8.858400264305521e-17
2646.810547  8.768800166232896e-15  1.698999993775255e-16  8.768800060353777e-17
2648.360596  8.829200391635705e-15  1.7014000086917408e-16  8.829200126937909e-17
2649.9104  8.89769994608016e-15  1.7093000467627653e-16  8.897699946080161e-17
2651.460449  8.669599902615208e-15  1.6851999741799103e-16  8.669599929084988e-17
2653.010254  8.404699665723846e-15  1.6613999365488406e-16  8.404700300998556e-17
2654.560303  8.66139977665284e-15  1.697799986317012e-16  8.661400253108872e-17
2656.110107  8.381800129994826e-15  1.6545999825180627e-16  8.381799971176148e-17
2657.660156  8.812099643463588e-15  1.703600044423336e-16  8.812099987570723e-17
2659.209961  8.602900293183668e-15  1.6775000476426747e-16  8.602900054955652e-17
2660.76001  8.658399585953665e-15  1.679499971840481e-16  8.65839990359102e-17
2662.310059  8.771499660235795e-15  1.697299972180336e-16  8.77149997787315e-17
2663.860107  8.75210006464483e-15  1.6931000122509348e-16  8.752100276403067e-17
2665.409912  8.601600097609633e-15  1.679999985977157e-16  8.601599727032719e-17
2666.959961  8.853100273275433e-15  1.7161000007935432e-16  8.853099690940281e-17
2668.51001  8.410700047122195e-15  1.665400049642249e-16  8.410699676545281e-17
2670.060059  8.296900323625633e-15  1.6628999789588687e-16  8.296900138337175e-17
2671.610107  8.555299582646819e-15  1.6696000095716503e-16  8.55530011204241e-17
2673.160156  8.55139984295766e-15  1.6784999435671288e-16  8.5513997900181e-17
2674.710205  8.598200107359354e-15  1.6874000099115054e-16  8.598199683842881e-17
2676.260254  8.361100338829825e-15  1.6697000653385447e-16  8.361099941783131e-17
2677.810303  8.669899752278536e-15  1.6936999498056072e-16  8.669899699338977e-17
2679.360352  8.405200262195673e-15  1.6701999471263227e-16  8.405199918088538e-17
2680.9104  8.460599605077893e-15  1.675899949465752e-16  8.46059984330591e-17
2682.460693  8.859399657304163e-15  1.7129999925554905e-16  8.859400160229975e-17
2684.010742  8.576499970283646e-15  1.6862000024532624e-16  8.57649975852541e-17
2685.560791  8.509900310739883e-15  1.6830999942152097e-16  8.50989980781407e-17
2687.11084  8.657799886627009e-15  1.6988000145903642e-16  8.657799701338551e-17
2688.661133  8.438900315035133e-15  1.683200049982104e-16  8.438899917988439e-17
2690.211182  8.383100325568861e-15  1.6692000512018686e-16  8.383100299099081e-17
2691.761475  8.44210040550986e-15  1.6837999875367766e-16  8.442100114342284e-17
2693.311523  8.421900363783739e-15  1.6753000119110797e-16  8.421899702039249e-17
2694.861816  8.305800098802434e-15  1.6640000629991153e-16  8.305799939983756e-17
2696.411865  8.253599999361993e-15  1.6694999538047558e-16  8.25360021112023e-17
2697.962158  8.015200035258428e-15  1.6366000029933167e-16  8.015200141137547e-17
2699.512207  8.432100334534575e-15  1.6799000625591606e-16  8.432099831608763e-17
2701.0625  8.408800152221504e-15  1.6803000209289422e-16  8.408799808114369e-17
2702.612793  8.427500098598037e-15  1.6806000558807274e-16  8.427500045658478e-17
2704.162842  8.371500209356213e-15  1.6732999553643754e-16  8.371499918188638e-17
2705.713135  8.050300233559699e-15  1.6428999428874186e-16  8.050299730633887e-17
2707.263428  7.954899759743395e-15  1.6388000387249118e-16  7.954899997971411e-17
2708.813721  8.156800227116824e-15  1.653000016690038e-16  8.156800227116824e-17
2710.364014  8.28809965130366e-15  1.6730999761794846e-16  8.288100260108591e-17
2711.914307  8.220299746073637e-15  1.6583999840776823e-16  8.220299904892315e-17
2713.4646  7.958199800105897e-15  1.636400023808426e-16  7.958200117743253e-17
2715.014893  8.007099859183835e-15  1.6390000179098026e-16  8.007099726834937e-17
2716.565186  8.061900349772347e-15  1.6376000312666688e-16  8.06190011154433e-17
2718.115479  8.226300127471987e-15  1.6697000653385447e-16  8.22629994218353e-17
2719.665771  7.903600056325885e-15  1.6231999417677537e-16  7.903600241614342e-17
2721.216064  7.714999700290243e-15  1.6086000054328458e-16  7.714999753229802e-17
2722.766357  7.65150018133343e-15  1.6141000285873843e-16  7.651500075454311e-17
2724.31665  7.698299598702177e-15  1.6084999496659513e-16  7.698299969279091e-17
2725.867188  7.359599922215389e-15  1.583099946206857e-16  7.359599948685168e-17
2727.41748  7.354699836615523e-15  1.5823999528852902e-16  7.354699730736404e-17
2728.967773  7.145099839751552e-15  1.557499963562872e-16  7.145100104449348e-17
2730.518311  6.94139985088168e-15  1.5420000547215063e-16  6.941399930291019e-17
2732.068604  6.6975001018515935e-15  1.5163999397286231e-16  6.697500101851593e-17
2733.618896  6.571700039074806e-15  1.4997000234290146e-16  6.571699827316569e-17
2735.169434  6.671899801570253e-15  1.5062999982749017e-16  6.671899854509812e-17
2736.719727  6.682100195837563e-15  1.5019000591606096e-16  6.682099984079326e-17
