# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.8479  2.734999929982461e-14  4.176500028438057e-16  2.7350000358615793e-16
2502.396729  2.7162999836059278e-14  4.2384999285013155e-16  2.7162999306663686e-16
2503.945557  2.65679998481946e-14  4.1461000159611e-16  2.65680010128649e-16
2505.494385  2.6700999267506575e-14  4.149199891850255e-16  2.670100106745159e-16
2507.043457  2.669500058017412e-14  4.182899891750155e-16  2.6695000368415884e-16
2508.592285  2.6800999977259418e-14  4.1568999507363884e-16  2.680100124780884e-16
2510.141113  2.6649999413752394e-14  4.1782999734509723e-16  2.664999909611504e-16
2511.690186  2.6357000552901765e-14  4.095900078946482e-16  2.6356999811747936e-16
2513.239014  2.628300036649784e-14  4.1107001268151787e-16  2.628300089589343e-16
2514.788086  2.6784000026008024e-14  4.158299937379522e-16  2.678399970837067e-16
2516.336914  2.6059000809530546e-14  4.0807000727080035e-16  2.605900038601407e-16
2517.885986  2.6442000309158734e-14  4.1348000670491357e-16  2.6441999568004905e-16
2519.434814  2.5837999749196532e-14  4.153400116477452e-16  2.5837998902163584e-16
2520.983887  2.683899956933914e-14  4.0789999187641865e-16  2.6839001263405035e-16
2522.532959  2.5884999913373778e-14  4.1053000270786365e-16  2.5885001289802317e-16
2524.081787  2.6673999245279897e-14  4.130699898188833e-16  2.6673999245279897e-16
2525.630859  2.665200010557381e-14  4.1463999185639873e-16  2.6652000211452927e-16
2527.179932  2.6222000441768374e-14  4.110000001144714e-16  2.622200128880132e-16
2528.729004  2.6074000068960525e-14  4.065699913305518e-16  2.6074000810114354e-16
2530.277832  2.5469999508998323e-14  4.0575998960496026e-16  2.5470000144273033e-16
2531.826904  2.6543000517789336e-14  4.0973000655896157e-16  2.65430003060311e-16
2533.375977  2.5924000698397155e-14  4.0680999282220038e-16  2.5923999216089498e-16
2534.925049  2.6272000796644795e-14  4.1306001071197344e-16  2.6272000055490967e-16
2536.474121  2.538199956204218e-14  4.005099999885393e-16  2.538199871500923e-16
2538.023193  2.5945999838103244e-14  4.069400123796039e-16  2.594600089689443e-16
2539.572266  2.5821999296822898e-14  4.064500038196173e-16  2.582200056737232e-16
2541.121338  2.5783999704743175e-14  4.0327000390760824e-16  2.5784000551776123e-16
2542.67041  2.550800079514394e-14  4.084500074267623e-16  2.550800015986923e-16
2544.219727  2.578600039656459e-14  3.985899880553506e-16  2.578599902013605e-16
2545.768799  2.612100023313777e-14  4.092799938359531e-16  2.6121000550775127e-16
2547.317871  2.4826999858078638e-14  3.9588999112663873e-16  2.4826998905166573e-16
2548.866943  2.53549995398155e-14  4.0049999441184986e-16  2.53549995398155e-16
2550.41626  2.52899999255091e-14  4.0287999817495684e-16  2.5290000349025574e-16
2551.965332  2.6182000157867237e-14  4.051399879573497e-16  2.6182000157867237e-16
2553.514404  2.531000006745967e-14  4.0622000790465815e-16  2.5310000914492616e-16
2555.063721  2.5029000275339844e-14  3.9929998695360693e-16  2.502900038121896e-16
2556.612793  2.5064999175598152e-14  3.942500029918564e-16  2.506499928147727e-16
2558.162109  2.5746000112663453e-14  4.0846001300345175e-16  2.5746000536179927e-16
2559.711182  2.5080999627971785e-14  3.962699912826007e-16  2.5081000263246496e-16
2561.260498  2.4755999862373888e-14  3.9365001249762473e-16  2.475599901534094e-16
2562.80957  2.5604000121253953e-14  4.074199888931215e-16  2.5604000756528664e-16
2564.358887  2.550399941150111e-14  3.975400113078901e-16  2.5504000576171413e-16
2565.908203  2.5123000603694337e-14  3.987499978730429e-16  2.512299986254051e-16
2567.457275  2.5199999286731542e-14  3.9934998836727454e-16  2.5200000451401844e-16
2569.006592  2.544699917634858e-14  3.94490004483505e-16  2.544700055277712e-16
2570.555908  2.507799943727261e-14  3.991900050193619e-16  2.5078001237217624e-16
2572.105225  2.4836000430176162e-14  3.9572000220203663e-16  2.483600127720911e-16
2573.654541  2.4755999862373888e-14  3.9754999041479995e-16  2.475599901534094e-16
2575.203857  2.5120000412995162e-14  4.0039999158451465e-16  2.5120000836511636e-16
2576.753174  2.473699921930108e-14  3.9389999309618316e-16  2.4736999007542843e-16
2578.302246  2.4922999184188652e-14  3.926900065310304e-16  2.4922999501826007e-16
2579.851807  2.4861999259459186e-14  3.9696000549725773e-16  2.4861999894733896e-16
2581.401123  2.5672999425137288e-14  3.975099945778218e-16  2.5672999531016407e-16
2582.950439  2.443100009677599e-14  3.945699961574613e-16  2.4431000414413347e-16
2584.499756  2.425800039356288e-14  3.893600023780185e-16  2.4257999228892576e-16
2586.049072  2.5073999747695676e-14  4.014399892250653e-16  2.5073999006541847e-16
2587.598389  2.480600021725031e-14  3.87919993428127e-16  2.4806000429008546e-16
2589.147705  2.515599931325347e-14  3.9803999897478656e-16  2.5155999736769944e-16
2590.697266  2.4914000306157022e-14  3.964199955236035e-16  2.491399977676143e-16
2592.246582  2.5946999336981004e-14  4.0770999179843767e-16  2.594699880758541e-16
2593.795898  2.4525999924008245e-14  3.9522999364205e-16  2.4526000453403837e-16
2595.345459  2.4874999521133645e-14  3.9792001146385207e-16  2.487499920349629e-16
2596.894775  2.416099987450921e-14  3.8686001110397705e-16  2.416100072154216e-16
2598.444092  2.353599967371868e-14  3.818999979230927e-16  2.353599893256485e-16
2599.993652  2.432300000786928e-14  3.859500065510503e-16  2.4323001066660463e-16
2601.542969  2.4782000385722806e-14  3.97169990258838e-16  2.478200027984369e-16
2603.092529  2.480799921500583e-14  3.9577000361570424e-16  2.4807998897368475e-16
2604.64209  2.5185000027301563e-14  3.994899870315879e-16  2.5185000027301563e-16
2606.191406  2.4119000592852553e-14  3.866299887192383e-16  2.4119001122248145e-16
2607.740967  2.4851999188483902e-14  3.9493999073673383e-16  2.4851999612000375e-16
2609.290527  2.365700002429985e-14  3.8496001032416725e-16  2.365700023605809e-16
2610.839844  2.4068000739098372e-14  3.8398999878088346e-16  2.4067999150911596e-16
2612.389404  2.3636000383471523e-14  3.869400027779334e-16  2.36359991129221e-16
2613.938965  2.44379999770521e-14  3.8999998870922834e-16  2.4437999024140035e-16
2615.488525  2.486499945015836e-14  3.9463000314781836e-16  2.486499892076277e-16
2617.038086  2.416000037563145e-14  3.910800086565368e-16  2.4160000163873214e-16
2618.587646  2.3924999554745217e-14  3.908699974251769e-16  2.392499881359139e-16
2620.137207  2.3874999199868796e-14  3.836099986249215e-16  2.3875000046901743e-16
2621.686768  2.3928999244322152e-14  3.848799921804313e-16  2.3929001044267165e-16
2623.236328  2.4343999648697608e-14  3.912499975811389e-16  2.434399954281849e-16
2624.785889  2.4425999214255402e-14  3.922299882313325e-16  2.4426000273046586e-16
2626.335449  2.428800060648873e-14  3.872900126736066e-16  2.428800007709314e-16
2627.88501  2.4158999182687796e-14  3.9270999121462967e-16  2.415899960620427e-16
2629.43457  2.3438999154665012e-14  3.835400125276546e-16  2.3439000425214433e-16
2630.984131  2.409799925795833e-14  3.8839999641142417e-16  2.409799999911216e-16
2632.533936  2.3963000840890834e-14  3.8753999327216504e-16  2.3962998829187585e-16
2634.083496  2.450999947163461e-14  3.939300098262515e-16  2.450999947163461e-16
2635.633057  2.3950000579216375e-14  3.858199869936468e-16  2.394999952042519e-16
2637.182861  2.354299955399479e-14  3.844400115038919e-16  2.35430001892695e-16
2638.732422  2.374999915971069e-14  3.8515998950905807e-16  2.374999915971069e-16
2640.281982  2.393300062796498e-14  3.868699902108869e-16  2.393300062796498e-16
2641.831787  2.3191999265047974e-14  3.8107001151390187e-16  2.319200032383916e-16
2643.381348  2.276199960124254e-14  3.757199926003661e-16  2.2761998754209593e-16
2644.931152  2.3021000253656276e-14  3.811500031878582e-16  2.3021000253656276e-16
2646.480957  2.359900029026956e-14  3.8387001126994897e-16  2.359899965499485e-16
2648.030518  2.3860999439316577e-14  3.9226000496140083e-16  2.3861000180470406e-16
2649.580322  2.358699952747286e-14  3.83240004045649e-16  2.35870009039014e-16
2651.130127  2.3772999492360433e-14  3.8411001276159756e-16  2.3772998751206604e-16
2652.679688  2.3822999847236855e-14  3.854899882513524e-16  2.382300016487421e-16
2654.229492  2.3133000032139923e-14  3.811699878714575e-16  2.3132999185106976e-16
2655.779297  2.2852000240020098e-14  3.748900061911753e-16  2.285200129881128e-16
2657.329102  2.3545999744693964e-14  3.8468999210245034e-16  2.354599921529837e-16
2658.878906  2.3085999867962677e-14  3.836300097783004e-16  2.3085999444446203e-16
2660.428467  2.309599993893796e-14  3.827300108020631e-16  2.3095999727179724e-16
2661.978271  2.3474999748989214e-14  3.8648999005492493e-16  2.347499932547274e-16
2663.528076  2.3504999961915067e-14  3.822199910886976e-16  2.3505000173673304e-16
2665.077881  2.3654999332478437e-14  3.86359996967301e-16  2.36549991207202e-16
2666.627686  2.3795000326132416e-14  3.851400048254588e-16  2.3795000432011535e-16
2668.177734  2.3474000250111454e-14  3.835599972112539e-16  2.3473998767803796e-16
2669.727539  2.310299981921407e-14  3.886799937400509e-16  2.3103000983884373e-16
2671.277344  2.3532999483019505e-14  3.812199892851251e-16  2.353299990653598e-16
2672.827148  2.3332000258701954e-14  3.8937000795470796e-16  2.3331998988152533e-16
2674.376953  2.323100005007135e-14  3.818499965094251e-16  2.32310008971043e-16
2675.927002  2.3609999860122605e-14  3.809100016962096e-16  2.3610000495397315e-16
2677.476807  2.2673000155408636e-14  3.81680007584823e-16  2.2672999414254807e-16
2679.026611  2.2020999932391427e-14  3.702199959156071e-16  2.202099977357275e-16
2680.57666  2.348400032108674e-14  3.849299935940989e-16  2.348399905053732e-16
2682.126465  2.246399985787132e-14  3.837300126056356e-16  2.246399932847573e-16
2683.676514  2.348599931884226e-14  3.839299917905264e-16  2.3486000165875206e-16
2685.226318  2.1959000508784202e-14  3.7646000822869074e-16  2.1958999608811695e-16
2686.776367  2.218799925420619e-14  3.733999958276162e-16  2.2188000260057816e-16
2688.326172  2.317399981491882e-14  3.851000089884806e-16  2.3174000873710005e-16
2689.876221  2.2778999552493934e-14  3.7984999290228006e-16  2.2779000293647763e-16
2691.426025  2.2788000124591458e-14  3.8732000293389534e-16  2.278800001871234e-16
2692.976074  2.2365999839939893e-14  3.733999958276162e-16  2.2366000263456367e-16
2694.526123  2.2097000810616767e-14  3.7142000337385005e-16  2.2096999804765142e-16
2696.076172  2.2869000191271492e-14  3.865100012083038e-16  2.286900019127149e-16
2697.625977  2.2642000443605023e-14  3.762600025740203e-16  2.264200065536326e-16
2699.176025  2.2791999814168393e-14  3.821199882613624e-16  2.2791999602410156e-16
2700.726074  2.2302999223389013e-14  3.8211000915445254e-16  2.230299954102637e-16
2702.276123  2.1563000747481555e-14  3.683199951357973e-16  2.156299979456949e-16
2703.826172  2.2281000083682924e-14  3.7879998968503995e-16  2.2281000507199398e-16
2705.376221  2.1713999616922684e-14  3.696800124117325e-16  2.171400062277431e-16
2706.92627  2.1817000517374702e-14  3.7417000171622954e-16  2.1816999829160432e-16
2708.476318  2.2666999774010287e-14  3.8257000098437083e-16  2.2666998715219103e-16
2710.026367  2.268300022638392e-14  3.8178998951906803e-16  2.268299969698833e-16
2711.576416  2.2010000362538383e-14  3.745500018721915e-16  2.2010000256659265e-16
2713.126465  2.2744000151113386e-14  3.820000007504279e-16  2.274399930408044e-16
2714.676758  2.176000028222217e-14  3.7218000368577397e-16  2.1759999805766138e-16
2716.226807  2.190999965278554e-14  3.740099918985373e-16  2.1910000076302014e-16
2717.776855  2.1713000118044924e-14  3.781999991908083e-16  2.1713000065105365e-16
2719.326904  2.2034000194065886e-14  3.738199918205563e-16  2.2034000405824123e-16
2720.877197  2.21299995201759e-14  3.7517000351980205e-16  2.2129999678994577e-16
2722.427246  2.2531000163999136e-14  3.874600015982087e-16  2.2530999634603544e-16
2723.977539  2.2423000075092424e-14  3.8225998692567576e-16  2.242300028685066e-16
2725.527588  2.1543000605530986e-14  3.737000043096218e-16  2.1543000552591427e-16
2727.077881  2.2268999320886225e-14  3.777699976211787e-16  2.226899910912799e-16
2728.62793  2.225799975103318e-14  3.797099942379667e-16  2.2258000915703483e-16
2730.178223  2.154000041483181e-14  3.717500021161444e-16  2.1540000203073575e-16
2731.728271  2.192399941333776e-14  3.75109996529445e-16  2.1923999942733351e-16
2733.278564  2.203799988364282e-14  3.8021000837464274e-16  2.203799998952194e-16
2734.828857  2.141800056537288e-14  3.71990003607793e-16  2.1417999665400374e-16
2736.378906  2.1868000371128883e-14  3.7726000437759283e-16  2.1868000477008002e-16
2737.929199  2.2319999174640406e-14  3.7974999007494485e-16  2.232000108046454e-16
2739.479492  2.1763999971799106e-14  3.75990010822083e-16  2.1763999389463954e-16
2741.029785  2.1970999577515006e-14  3.785000076728139e-16  2.1970999683394124e-16
2742.579834  2.1749000712369126e-14  3.746199879694584e-16  2.1749000288852653e-16
2744.130127  2.0706999415381726e-14  3.679700117099037e-16  2.0707000209475114e-16
2745.68042  2.162400067221102e-14  3.74479989305145e-16  2.16239994016616e-16
2747.230713  2.1450999274932013e-14  3.7803998937311603e-16  2.145099953962981e-16
2748.781006  2.1757000091522996e-14  3.7779998788146744e-16  2.1756999456248286e-16
2750.331299  2.0608999397450298e-14  3.6730000864862553e-16  2.0608999820966771e-16
2751.881592  2.1805999253455763e-14  3.7775001293757944e-16  2.1806000312246947e-16
2753.432129  2.1402000112999246e-14  3.770599987229224e-16  2.1402000007120128e-16
2754.982422  2.213699940045201e-14  3.774699891391731e-16  2.2136999612210246e-16
2756.532715  2.0797999553037044e-14  3.7139999222047116e-16  2.0797999341278807e-16
2758.083008  2.186599967930747e-14  3.832199928922701e-16  2.1865999361670113e-16
2759.633301  2.2014000052115318e-14  3.7989999431594767e-16  2.201399984035708e-16
2761.183838  2.1236000290062243e-14  3.771800127036365e-16  2.1236000078304006e-16
2762.734131  2.11480003431061e-14  3.7037000015660993e-16  2.1147999972529185e-16
2764.284424  2.1793000685847198e-14  3.818300118258258e-16  2.1792999679995573e-16
2765.834961  2.1551999483562616e-14  3.820699868476948e-16  2.1552000277656004e-16
2767.385254  2.085899947776651e-14  3.674599919965382e-16  2.0859000271859898e-16
2768.935791  2.1093000799774983e-14  3.8283999273630814e-16  2.10929997409838e-16
2770.486084  2.1081999535856044e-14  3.695599984310184e-16  2.1082000224070314e-16
2772.036621  2.136899970937422e-14  3.77930007438871e-16  2.1369000132890692e-16
2773.586914  2.0449999454789404e-14  3.728000053333845e-16  2.0449999825366318e-16
2775.137451  2.1097999988229678e-14  3.733999958276162e-16  2.109799988235056e-16
2776.687988  2.0955000497942418e-14  3.736200126356655e-16  2.0954999545030352e-16
2778.238281  2.0398999601035223e-14  3.7033000431963177e-16  2.039900050100773e-16
2779.788818  2.0299000585348274e-14  3.6452999915286715e-16  2.0299000320650478e-16
2781.339355  2.0976000138770746e-14  3.7917001073409207e-16  2.0975999344677358e-16
2782.889893  2.0189999303497908e-14  3.6653000276001216e-16  2.019000041522865e-16
2784.44043  2.0537999401745548e-14  3.7518998820340133e-16  2.053799993114114e-16
2785.990967  2.0847000409035706e-14  3.740199974752267e-16  2.0847000197277469e-16
2787.54126  2.1399999421177832e-14  3.8528000348977216e-16  2.140000021527122e-16
2789.091797  2.129600071591395e-14  3.7878000500144067e-16  2.1296000451216153e-16
2790.642334  2.1095999296408263e-14  3.818499965094251e-16  2.1096000090501651e-16
2792.192871  2.1492000751776805e-14  3.8434998778346654e-16  2.1491999904743857e-16
