# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.945801  1.10969997080268e-10  1.0389000044356417e-13  1.1097000054971495e-12
2502.31958  1.0983999820801671e-10  1.032299991473272e-13  1.0984000167746366e-12
2503.693359  1.0876000100523697e-10  1.0216000002330125e-13  1.0875999536738568e-12
2505.066895  1.082200024038471e-10  1.0205000093663902e-13  1.0821999763335755e-12
2506.440674  1.0501000069496058e-10  1.0044000136807951e-13  1.0501000026127971e-12
2507.814453  1.0499000280272952e-10  9.985699875487974e-14  1.0498999673119735e-12
2509.187988  1.0723000265500104e-10  1.0163000134380887e-13  1.072300017876393e-12
2510.561768  1.0606000105939373e-10  1.0095999828253072e-13  1.060599958552233e-12
2511.935547  1.0218999951794316e-10  9.90589988508761e-14  1.0219000125266664e-12
2513.309082  1.0331999839019446e-10  9.946699768090955e-14  1.0332000012491793e-12
2514.682861  1.0429000024680946e-10  1.0010000234305164e-13  1.0429000328257554e-12
2516.056396  1.0471999656314068e-10  1.001300008619116e-13  1.0471999786418329e-12
2517.430176  1.0443999831633022e-10  9.993699932268202e-14  1.044400026531389e-12
2518.803711  1.0325999777460737e-10  9.927499902868953e-14  1.0326000037669258e-12
2520.17749  1.009700031917582e-10  9.815699685347679e-14  1.0097000275807733e-12
2521.551025  9.995899941106501e-11  9.757999800980716e-14  9.995899507425632e-13
2522.924805  1.003900018670123e-10  9.787299687065779e-14  1.0038999796388448e-12
2524.29834  9.936700073875926e-11  9.757900189906119e-14  9.936699900403578e-13
2525.672119  9.360800329316632e-11  9.472900030583001e-14  9.360799895635763e-13
2527.045654  9.11970013395269e-11  9.301299964611931e-14  9.119700437529299e-13
2528.419434  9.168400066927873e-11  9.348199840088223e-14  9.16839954651083e-13
2529.792969  9.06009989254386e-11  9.314599737136539e-14  9.060100217804512e-13
2531.166504  9.655599930713521e-11  9.568000146516209e-14  9.655599887345434e-13
2532.540283  1.0338999795189707e-10  9.925300327711523e-14  1.033899962171736e-12
2533.913818  1.0186999854777667e-10  9.833700151916369e-14  1.0186999898145754e-12
2535.287354  9.750600327151915e-11  9.588000288466778e-14  9.750599850102959e-13
2536.660889  9.536500061857467e-11  9.546200228959315e-14  9.536500278697901e-13
2538.034668  9.095799807790073e-11  9.293999895859315e-14  9.095800284839028e-13
2539.408203  8.671099949175698e-11  9.068300174360291e-14  8.671099862439524e-13
2540.781738  9.300300113368465e-11  9.394300116462306e-14  9.3003003302089e-13
2542.155273  9.53749995646902e-11  9.493699771635777e-14  9.537499913100933e-13
2543.528809  9.583200205609543e-11  9.531200291902978e-14  9.58320011887337e-13
2544.902344  9.740999673546469e-11  9.584900147879827e-14  9.741000324067772e-13
2546.276123  9.5122999754782e-11  9.480700187587676e-14  9.512299802005852e-13
2547.649658  9.448800075695374e-11  9.466999937885606e-14  9.448800249167721e-13
2549.023193  9.004200163253984e-11  9.198199791898495e-14  9.004199837993332e-13
2550.396729  8.767000320153429e-11  9.037199835042545e-14  8.767000255101298e-13
2551.770264  9.523099669950241e-11  9.436399686819918e-14  9.52309953984598e-13
2553.143799  1.0468000077867856e-10  9.943300116653855e-14  1.046800016460403e-12
2554.517334  1.0773999747915042e-10  1.0052000193588179e-13  1.0773999964755476e-12
2555.890869  1.0600000044380664e-10  9.94220032907514e-14  1.0599999610699795e-12
2557.26416  1.0364999830647648e-10  9.837700180306483e-14  1.0364999874015735e-12
2558.637695  1.0159999924708174e-10  9.744300228905003e-14  1.0160000011444348e-12
2560.01123  1.0072000178329432e-10  9.679700075336528e-14  1.007199965791239e-12
2561.384766  1.0069999695216936e-10  9.703799856751807e-14  1.0070000389106326e-12
2562.758301  9.83660028430755e-11  9.599700185160612e-14  9.836599850626682e-13
2564.131836  9.533000083772336e-11  9.407900077463421e-14  9.533000474085118e-13
2565.505127  1.021999984640587e-10  9.757700290130567e-14  1.0219999759669696e-12
2566.878662  1.0211999995624055e-10  9.74800006881861e-14  1.0212000516041098e-12
2568.252197  1.0372999681429462e-10  9.84669973596447e-14  1.0373000201846505e-12
2569.625732  1.062799986906171e-10  9.956000189851807e-14  1.0628000216006406e-12
2570.999023  1.0621999807503002e-10  9.941900140598633e-14  1.062200024118387e-12
2572.372559  1.056299978041686e-10  9.915100018147507e-14  1.0563000127361555e-12
2573.74585  1.0558000307359094e-10  9.878300163534276e-14  1.0557999786942052e-12
2575.119385  1.053099968340021e-10  9.889800160452558e-14  1.0530999900240645e-12
2576.49292  1.044999989319173e-10  9.865999889887428e-14  1.0450000240136426e-12
2577.866211  1.028800031277477e-10  9.788699663121e-14  1.0287999835725814e-12
2579.239746  1.0310000075897108e-10  9.770499974403116e-14  1.031000046620989e-12
2580.613037  1.0483999779431485e-10  9.86280013822588e-14  1.0483999736063399e-12
2581.986572  1.0420000279287578e-10  9.85029996480348e-14  1.0420000366023752e-12
2583.359863  1.0067000011382277e-10  9.65969993338596e-14  1.0067000401695059e-12
2584.733154  1.0249000259587859e-10  9.725500163234105e-14  1.0248999999379338e-12
2586.106689  9.923099841824268e-11  9.583599782899202e-14  9.92309966835192e-13
2587.47998  9.981900028765978e-11  9.589699775372149e-14  9.9819002889745e-13
2588.853271  1.0206999828676899e-10  9.7443998399796e-14  1.0207000175621594e-12
2590.226807  1.0273999706544856e-10  9.791200104381295e-14  1.0273999533072509e-12
2591.600098  1.0170000258602485e-10  9.737399959703491e-14  1.0169999608081182e-12
2592.973389  1.0253999732645624e-10  9.778899830734447e-14  1.0254000339798841e-12
2594.346924  1.0186999854777667e-10  9.707400085590817e-14  1.0186999898145754e-12
2595.720215  1.0337999900578154e-10  9.805899852961125e-14  1.0337999987314328e-12
2597.093506  1.0250000154199412e-10  9.860299696965585e-14  1.024999963378237e-12
2598.466797  9.411699891659353e-11  9.386300059682079e-14  9.41169993502744e-13
2599.840088  8.50850015443605e-11  8.864800169969267e-14  8.508499894227528e-13
2601.213379  9.59630014341073e-11  9.414399869487472e-14  9.596300533723512e-13
2602.58667  1.0493000218714243e-10  9.864299725355699e-14  1.04929996982972e-12
2603.959961  1.0385999699158432e-10  9.83079991110497e-14  1.0385999785894606e-12
2605.333252  9.808000245303816e-11  9.531699702528679e-14  9.807999681518687e-13
2606.706543  9.10969980005838e-11  9.170400170569609e-14  9.109699756690293e-13
2608.079834  9.187799826504417e-11  9.217199757344946e-14  9.187800260185286e-13
2609.453125  9.498100222993244e-11  9.428100119189542e-14  9.49810000615281e-13
2610.826416  9.45730022072766e-11  9.360500113735071e-14  9.457300394200008e-13
2612.199707  9.150399882251747e-11  9.233100259830804e-14  9.150399622043226e-13
2613.572998  9.327100203293526e-11  9.293999895859315e-14  9.327099639508396e-13
2614.946045  9.514099924556874e-11  9.330599850696994e-14  9.514099577612178e-13
2616.319336  1.0277999978880459e-10  9.723999898477928e-14  1.027800023908898e-12
2617.692627  1.0270000128098644e-10  9.727699738391535e-14  1.026999991125821e-12
2619.065918  1.0006000195073028e-10  9.596900233050168e-14  1.0005999934864507e-12
2620.438965  1.0069999695216936e-10  9.638799903632228e-14  1.0070000389106326e-12
2621.812256  1.0139999950808942e-10  9.645799783908338e-14  1.0139999733968508e-12
2623.185547  1.0330999944407893e-10  9.730099890950875e-14  1.0331000378088762e-12
2624.558594  1.0233999758746393e-10  9.752199996984276e-14  1.0234000062323e-12
2625.931885  9.753200330697709e-11  9.443999944049042e-14  9.75319976691258e-13
2627.304932  9.773400144741373e-11  9.427999830488587e-14  9.773399537588157e-13
2628.678223  9.793200278496172e-11  9.425899866405754e-14  9.79320032186426e-13
2630.05127  9.507600262637084e-11  9.304600004974434e-14  9.507599785588128e-13
2631.424561  8.870600087806935e-11  8.970299817615685e-14  8.870600109490978e-13
2632.797607  9.196700345714959e-11  9.124799982447585e-14  9.19670047581922e-13
2634.170654  1.0229000285688628e-10  9.61179988140555e-14  1.0228999721903498e-12
2635.543945  1.0686999896147853e-10  9.849900165252376e-14  1.0687000329828722e-12
2636.916992  1.0701999703099929e-10  9.873999946667655e-14  1.0702000266885059e-12
2638.290039  1.043699987546276e-10  9.711200214205379e-14  1.0436999571886152e-12
2639.66333  1.0554000035023492e-10  9.758499889232775e-14  1.0554000165127753e-12
2641.036377  1.0786999765644012e-10  9.851600329784105e-14  1.0786999548803577e-12
2642.409424  1.0876000100523697e-10  9.906500262040624e-14  1.0875999536738568e-12
2643.782471  1.1043999742499366e-10  1.000600020591505e-13  1.1043999915971714e-12
2645.155518  1.101900029554237e-10  9.982599734901024e-14  1.1019000382278543e-12
2646.528564  1.0936000022221393e-10  9.912399677111661e-14  1.0936000369166088e-12
2647.901611  1.0941000189168548e-10  9.984499799208305e-14  1.0940999625383419e-12
2649.274658  1.0897999863646035e-10  9.917700070482399e-14  1.0898000167222643e-12
2650.647705  1.0821000345773157e-10  9.873400247340999e-14  1.0821000128932723e-12
2652.020752  1.0808000328044187e-10  9.853600005165983e-14  1.080799946068245e-12
2653.393799  1.0738999967063734e-10  9.807499728791899e-14  1.07389997502233e-12
2654.766846  1.0815000284214449e-10  9.877699786581262e-14  1.0815000154110188e-12
2656.139893  1.0804000055708585e-10  9.850499864579032e-14  1.080399983886815e-12
2657.512939  1.0818999862660661e-10  9.841599919995642e-14  1.0818999775924487e-12
2658.885986  1.0589999710486353e-10  9.728699914895653e-14  1.0590000014062961e-12
2660.258789  1.0558000307359094e-10  9.717500106453877e-14  1.0557999786942052e-12
2661.631836  1.0456999849361992e-10  9.666699813662069e-14  1.0456999849361992e-12
2663.004883  1.016500009165533e-10  9.522700146870691e-14  1.016500035186385e-12
2664.377686  9.837400338774671e-11  9.38099966631134e-14  9.837399991829976e-13
2665.750732  9.809199980059802e-11  9.344199811698109e-14  9.809199893323628e-13
2667.123779  9.784299759285631e-11  9.345500176678734e-14  9.784300106230326e-13
2668.496582  1.0012000256631737e-10  9.478499934803888e-14  1.0011999909687042e-12
2669.869629  1.0170000258602485e-10  9.585999935458542e-14  1.0169999608081182e-12
2671.242432  1.0207999723288452e-10  9.591900028155936e-14  1.0207999810024626e-12
2672.615479  1.0074999862164091e-10  9.477900235477232e-14  1.0074999645323657e-12
2673.988281  1.0240999714916654e-10  9.535200320293091e-14  1.0240999671548567e-12
2675.361084  1.052100004339529e-10  9.652399864633343e-14  1.0521000303603811e-12
2676.734131  1.0512000298001922e-10  9.676999734300681e-14  1.051200034137001e-12
2678.106934  1.0411999734616373e-10  9.622999689847325e-14  1.0412000038192981e-12
2679.479736  1.0222000329518366e-10  9.525100299430031e-14  1.0222000112677931e-12
2680.852783  1.0128999722303078e-10  9.473299830134105e-14  1.0129000502928642e-12
2682.225586  1.0334000322131942e-10  9.553900097263035e-14  1.0334000365500029e-12
2683.598389  1.0411999734616373e-10  9.60359992484977e-14  1.0412000038192981e-12
2684.971191  1.0223000224129919e-10  9.535800019619747e-14  1.0222999747080963e-12
2686.343994  1.0186999854777667e-10  9.536399718946403e-14  1.0186999898145754e-12
2687.716797  1.0143000328532992e-10  9.47679977027216e-14  1.0142999721379775e-12
2689.0896  1.0018000318190445e-10  9.387599747036346e-14  1.0017999884509576e-12
2690.462402  1.001300015124329e-10  9.401100096962864e-14  1.0012999544090073e-12
2691.835205  9.935600259192157e-11  9.357599872923672e-14  9.935600519400678e-13
2693.208008  9.742699702552926e-11  9.241500116162135e-14  9.74270035307423e-13
