# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.589111  8.62700022530305e-10  4.963699807083999e-13  8.62700015591411e-12
2501.962646  8.613900148723985e-10  4.977700109737304e-13  8.613900391585272e-12
2503.336182  8.587400235349207e-10  4.957200015059948e-13  8.587399888404512e-12
2504.709717  8.548600161084607e-10  4.937000244384371e-13  8.548600195779077e-12
2506.083252  8.545700258544286e-10  4.93839994938905e-13  8.545699738127244e-12
2507.456787  8.505299797789689e-10  4.91050017488448e-13  8.50529976309522e-12
2508.830078  8.368900017430292e-10  4.883199964181295e-13  8.36890019090264e-12
2510.203613  8.175700116908047e-10  4.824500174360757e-13  8.175699700574413e-12
2511.577148  8.011800112228684e-10  4.770200076956166e-13  8.01180042447891e-12
2512.950684  7.932999812609864e-10  4.753199786891593e-13  7.932999743220925e-12
2514.323975  8.179499855209826e-10  4.815899740627516e-13  8.17949961234854e-12
2515.69751  8.279100183194998e-10  4.841899992925891e-13  8.279099628083486e-12
2517.071045  8.187500122325275e-10  4.813400112518851e-13  8.187500157019745e-12
2518.444336  8.036999954441626e-10  4.76559980713831e-13  8.036999885052687e-12
2519.817871  8.201500034665798e-10  4.813400112518851e-13  8.201500242832616e-12
2521.191406  8.324200218012834e-10  4.852100166964635e-13  8.324199836373669e-12
2522.564697  8.356100256179388e-10  4.863599757307102e-13  8.356099666373407e-12
2523.938232  8.320599764743974e-10  4.859600135492803e-13  8.320600285161017e-12
2525.311523  8.287099895198935e-10  4.834499770997591e-13  8.287100172754691e-12
2526.685059  8.314999799807765e-10  4.847600185847734e-13  8.314999730418826e-12
2528.058594  8.270000240173658e-10  4.825200026863097e-13  8.27000013609025e-12
2529.431885  8.249400051951739e-10  4.827900232373672e-13  8.249400294813025e-12
2530.80542  8.263800199692639e-10  4.824700209661581e-13  8.263800234387109e-12
2532.178711  8.280299779173106e-10  4.825299773462965e-13  8.280300056728862e-12
2533.552002  8.273899898547654e-10  4.811799830112262e-13  8.273899794464246e-12
2534.925537  8.242300175709261e-10  4.806199925891375e-13  8.242300071625852e-12
2536.298828  8.254100181126489e-10  4.830500149183292e-13  8.254099660709446e-12
2537.672363  8.177499788430964e-10  4.79560022335207e-13  8.177500343542476e-12
2539.045654  8.137600038260473e-10  4.775199875274583e-13  8.137599968871534e-12
2540.418945  8.095399905982958e-10  4.762100002525527e-13  8.095400218233184e-12
2541.79248  7.931499901303596e-10  4.715800232951706e-13  7.931500074775943e-12
2543.165771  7.885599950796518e-10  4.695799955475866e-13  7.885600158963335e-12
2544.539062  8.019500064015972e-10  4.72380001868139e-13  8.019499994627033e-12
2545.912354  8.082799984876488e-10  4.758800233213567e-13  8.082800054265427e-12
2547.285889  8.064899859050456e-10  4.741599907848171e-13  8.06490031007856e-12
2548.65918  8.082700064804271e-10  4.762900143728821e-13  8.082700307665558e-12
2550.032471  8.091199932280801e-10  4.753199786891593e-13  8.091199585336106e-12
2551.405762  8.033599896428711e-10  4.715699944250751e-13  8.033599827039772e-12
2552.779053  8.043100074850429e-10  4.73709992673127e-13  8.04310004015596e-12
2554.152344  8.032600140595036e-10  4.720100178767783e-13  8.032599758955872e-12
2555.525635  8.059999889731273e-10  4.719799854766005e-13  8.059999716258925e-12
2556.898926  8.022599806700725e-10  4.70790019382189e-13  8.022599945478603e-12
2558.272217  7.97550026021554e-10  4.69590024417682e-13  7.975499601020619e-12
2559.645508  7.909999877320217e-10  4.679700095315542e-13  7.909999912014687e-12
2561.018799  7.927299927601439e-10  4.690699868456494e-13  7.927300309240604e-12
2562.39209  7.902200005460713e-10  4.66810021627212e-13  7.902199727904957e-12
2563.765381  7.933699808226891e-10  4.682599794025855e-13  7.933699704143482e-12
2565.138672  7.870399887366375e-10  4.660499959042996e-13  7.870399644505088e-12
2566.511963  7.88940024420981e-10  4.661300100246291e-13  7.889400070737462e-12
2567.885254  7.879599750459931e-10  4.668399998172812e-13  7.879599750459931e-12
2569.258545  7.875600172013719e-10  4.659600071239833e-13  7.875600345486067e-12
2570.631836  7.875100016541126e-10  4.653699843017167e-13  7.875099877763247e-12
2572.004883  7.887099862102787e-10  4.657099901030082e-13  7.887099827408317e-12
2573.378174  7.880699981477335e-10  4.651099926207547e-13  7.880700432505439e-12
2574.751465  7.819500047467898e-10  4.635000066047223e-13  7.819500255634715e-12
2576.124756  7.688299996644332e-10  4.598000040607897e-13  7.688299649699637e-12
2577.497803  7.65719987416702e-10  4.588100190570932e-13  7.657200394584063e-12
2578.871094  7.758100273314028e-10  4.617699994081959e-13  7.758099718202516e-12
2580.244385  7.792799738837175e-10  4.630100014328675e-13  7.792800259254218e-12
2581.617432  7.780699973203298e-10  4.620900016794049e-13  7.780699695647542e-12
2582.990723  7.729299977832227e-10  4.598000040607897e-13  7.729299839054349e-12
2584.36377  7.627000142562679e-10  4.56100001516857e-13  7.626999726229045e-12
2585.737061  7.427000126014605e-10  4.512000040084174e-13  7.426999987236726e-12
2587.110107  7.267900170582209e-10  4.4578999779804063e-13  7.267899823637514e-12
2588.483398  7.51880002702876e-10  4.5467999482649846e-13  7.518799818861943e-12
2589.856445  7.57230000925091e-10  4.577900016532188e-13  7.572300425584544e-12
2591.229736  7.605400198507084e-10  4.582800068250736e-13  7.60539981686792e-12
2592.602783  7.598799922625687e-10  4.571900041709653e-13  7.598800061403566e-12
2593.97583  7.540900126556949e-10  4.549800206726795e-13  7.540900195945888e-12
2595.349121  7.528400125522694e-10  4.5415000969953323e-13  7.528399778577999e-12
2596.722168  7.509600163935204e-10  4.546999983565808e-13  7.5095997129071e-12
2598.095215  7.46499972947845e-10  4.518500103158768e-13  7.464999972339736e-12
2599.468506  7.112300193234944e-10  4.4160999184729433e-13  7.112299898331953e-12
2600.841553  7.069200225195971e-10  4.40000005831262e-13  7.069199826209571e-12
2602.2146  7.401900203873879e-10  4.498999913934987e-13  7.401900273262818e-12
2603.587646  7.513599742381416e-10  4.5350000339207386e-13  7.513599985242703e-12
2604.960693  7.505500110305263e-10  4.531599975907824e-13  7.505499693971629e-12
