# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.523682  2.549600003234724e-14  1.8037999392676813e-16  2.549599876179782e-16
2502.07251  2.5357000231636916e-14  1.803500036664794e-16  2.535700065515339e-16
2503.621094  2.5553000267499772e-14  1.8104999698804629e-16  2.5552998785192114e-16
2505.169678  2.523200019147881e-14  1.7999000142900653e-16  2.5231999767962336e-16
2506.718506  2.5465000320543628e-14  1.8064999891359524e-16  2.5465000002906273e-16
2508.267334  2.5667000737804833e-14  1.8106000256473573e-16  2.56669988319807e-16
2509.815918  2.5137000364246556e-14  1.7933999628621746e-16  2.5136999728971846e-16
2511.364746  2.5299000497606625e-14  1.8018000150698751e-16  2.529900007409015e-16
2512.91333  2.5434000608740015e-14  1.7945000469024212e-16  2.5434001244014725e-16
2514.462158  2.5279000355656056e-14  1.8023999526245476e-16  2.527899950862311e-16
2516.010986  2.5185000027301563e-14  1.782999986456668e-16  2.5185000027301563e-16
2517.559814  2.5086000510492375e-14  1.789099947165879e-16  2.5086000404613256e-16
2519.108398  2.477800069614587e-14  1.7767999699805625e-16  2.477800069614587e-16
2520.657227  2.4965999658788963e-14  1.7575999829975736e-16  2.4965999658788963e-16
2522.206055  2.501100082521069e-14  1.7879999954745305e-16  2.501100093108981e-16
2523.754883  2.4974000732008728e-14  1.7707000092713514e-16  2.4973998826184596e-16
2525.303711  2.5121999410750682e-14  1.7848000638184813e-16  2.5121999304871564e-16
2526.852539  2.5101999268800114e-14  1.7881999746594213e-16  2.510199873940452e-16
2528.401367  2.5357999730514676e-14  1.775200004152538e-16  2.5358001212822333e-16
2529.950195  2.5039000346315128e-14  1.7836000563602384e-16  2.5039000663952483e-16
2531.499023  2.507799943727261e-14  1.7772999841172385e-16  2.5078001237217624e-16
2533.047852  2.4918999494611717e-14  1.7729999684209429e-16  2.491899991812819e-16
2534.59668  2.4860999760581426e-14  1.7790000057121575e-16  2.486099933706495e-16
2536.145752  2.4711999888895816e-14  1.7484999374683063e-16  2.4712000947687e-16
2537.69458  2.472299945874886e-14  1.7653000418837073e-16  2.4722999141111506e-16
2539.243408  2.472299945874886e-14  1.7570999688608976e-16  2.4722999141111506e-16
2540.792236  2.4610000181387454e-14  1.7556000587997674e-16  2.460999965199186e-16
2542.341309  2.5008000634511515e-14  1.7790000057121575e-16  2.5007999258082976e-16
2543.890137  2.480099933472972e-14  1.7444000333057994e-16  2.4801000287641786e-16
2545.439209  2.440000038497238e-14  1.7539000372048484e-16  2.439999900854384e-16
2546.988037  2.4519999542609895e-14  1.7415000042526375e-16  2.451999975436813e-16
2548.536865  2.4667999915417745e-14  1.7530000646983907e-16  2.46680002330551e-16
2550.085938  2.495400059005816e-14  1.782800007271777e-16  2.4954000907695514e-16
2551.63501  2.4995000372837056e-14  1.7484000140503098e-16  2.4994999949320583e-16
2553.183838  2.4911000115457847e-14  1.7677999802181895e-16  2.491100075073256e-16
2554.73291  2.479999983585196e-14  1.7582999763191405e-16  2.479999972997284e-16
2556.281738  2.464400008389024e-14  1.7446000124906902e-16  2.464400008389024e-16
2557.830811  2.4894999663084214e-14  1.7841999939149109e-16  2.489499976896333e-16
2559.379883  2.4759999551950823e-14  1.73870003096637e-16  2.476000124601672e-16
2560.928955  2.453699949386129e-14  1.7510000081516865e-16  2.45370012938063e-16
2562.478027  2.4569999897486317e-14  1.754499974759521e-16  2.4570001168035737e-16
2564.026855  2.480600021725031e-14  1.7501999590632252e-16  2.4806000429008546e-16
2565.575928  2.4803999525428895e-14  1.7746999900158618e-16  2.480399931367066e-16
2567.125  2.4653000655987765e-14  1.7430000466626657e-16  2.465299980895482e-16
2568.674072  2.4667999915417745e-14  1.7475000415438522e-16  2.46680002330551e-16
2570.223145  2.447199987955489e-14  1.7475999649618486e-16  2.4471999456038415e-16
2571.772217  2.4546999564836573e-14  1.7411000458828559e-16  2.4546998929561863e-16
2573.321289  2.4700000820165012e-14  1.7584999555040313e-16  2.469999954961559e-16
2574.870361  2.4533999303162114e-14  1.7465999366884965e-16  2.453399962079947e-16
2576.419678  2.45150003541552e-14  1.7356999461463137e-16  2.451499961300137e-16
2577.96875  2.4513999161211546e-14  1.7434000050324473e-16  2.4513999055332427e-16
2579.517822  2.4494000713326872e-14  1.743299949265553e-16  2.4494001136843345e-16
2581.066895  2.4484000642351587e-14  1.7428999908957713e-16  2.4484000854109824e-16
2582.616211  2.443199959565375e-14  1.744299977538905e-16  2.443200097208229e-16
2584.165283  2.4413000646646837e-14  1.7316000419838069e-16  2.4413000964284193e-16
2585.714355  2.436000010107124e-14  1.7435999842173381e-16  2.4360000524587715e-16
2587.263672  2.451699935191072e-14  1.7339000011333983e-16  2.451700072833926e-16
2588.812744  2.4478999759830998e-14  1.7380000376448031e-16  2.4479000712743064e-16
2590.362061  2.4390999812874854e-14  1.741600060019532e-16  2.439099928347926e-16
2591.911133  2.4151999302411686e-14  1.7276999846572928e-16  2.415200099647758e-16
2593.460449  2.4201000158410348e-14  1.7366000510016694e-16  2.420099920549828e-16
2595.009521  2.4495000212204632e-14  1.7439999425871198e-16  2.449499904753433e-16
2596.558838  2.415499949311086e-14  1.7233999689609972e-16  2.4155000022506453e-16
2598.108154  2.414600061507923e-14  1.730200055340673e-16  2.4146000297441876e-16
2599.657227  2.3985999479474683e-14  1.719000029846705e-16  2.398600106766146e-16
2601.206543  2.4139000734803122e-14  1.7382999402476904e-16  2.4138999040737227e-16
2602.755859  2.3866999820714926e-14  1.7174000640186806e-16  2.386700087950611e-16
2604.305176  2.40120000028236e-14  1.7216999473660782e-16  2.4011999685186246e-16
2605.854248  2.432200050899152e-14  1.7333999869967223e-16  2.432200050899152e-16
