#*LTT9491                                                                      
#*                                                                             
#*  From Hamuy et al. Telluric lines removed by Bessell                        
#set .z.units = "micro-Janskys"
#set .z.label  = "Flux"
#set .table.bandwidth = 50.0
#*                                                                             
     3300.00    8.41809E-15
     3350.00    8.71794E-15
     3400.00    8.75818E-15
     3450.00    8.58250E-15
     3500.00    8.71794E-15
     3550.00    8.81483E-15
     3600.00    8.92923E-15
     3650.00    9.04511E-15
     3700.00    9.04511E-15
     3750.00    9.06179E-15
     3800.00    9.07849E-15
     3850.00    9.15407E-15
     3900.00    9.04511E-15
     3950.00    9.11201E-15
     4000.00    9.07849E-15
     4050.00    9.26432E-15
     4100.00    9.22176E-15
     4150.00    9.16250E-15
     4200.00    9.16250E-15
     4250.00    9.12880E-15
     4300.00    9.09524E-15
     4350.00    8.99527E-15
     4400.00    8.95394E-15
     4450.00    8.79861E-15
     4500.00    8.88002E-15
     4550.00    8.92100E-15
     4600.00    8.88820E-15
     4650.00    8.80671E-15
     4700.00    8.79050E-15
     4750.00    8.72598E-15
     4800.00    8.70190E-15
     4850.00    8.67788E-15
     4900.00    8.68588E-15
     4950.00    8.70190E-15
     5000.00    8.67788E-15
     5050.00    8.65393E-15
     5100.00    8.63801E-15
     5150.00    8.64598E-15
     5200.00    8.60625E-15
     5250.00    8.55094E-15
     5300.00    8.46475E-15
     5350.00    8.47254E-15
     5400.00    8.43361E-15
     5450.00    8.36399E-15
     5500.00    8.32556E-15
     5550.00    8.27206E-15
     5600.00    8.25684E-15
     5650.00    8.13606E-15
     5700.00    8.03922E-15
     5750.00    7.98020E-15
     5800.00    7.94354E-15
     5850.00    7.71994E-15
     5900.00    7.67740E-15
     5950.00    7.84177E-15
     6000.00    7.82734E-15
     6050.00    7.78420E-15
     6100.00    7.76987E-15
     6150.00    7.71283E-15
     6200.00    7.67033E-15
     6250.00    7.62104E-15
     6300.00    7.49573E-15
     6350.00    7.60701E-15
     6400.00    7.51647E-15
     6450.00    7.51647E-15
     6500.00    7.48193E-15
     6550.00    7.25795E-15
     6600.00    7.36570E-15
     6650.00    7.31836E-15
     6700.00    7.26464E-15
     6750.00    7.31162E-15
     6800.00    7.29145E-15
     6850.00    7.23793E-15
     6900.00    7.18479E-15
     6950.00    7.13204E-15
     7000.00    7.07968E-15
     7050.00    7.02771E-15
     7100.00    6.97612E-15
     7150.00    6.92490E-15
     7200.00    6.87407E-15
     7250.00    6.82361E-15
     7300.00    6.77351E-15
     7350.00    6.72379E-15
     7400.00    6.67443E-15
     7450.00    6.62542E-15
     7500.00    6.57679E-15
     7550.00    6.53452E-15
     7600.00    6.48655E-15
     7650.00    6.43893E-15
     7700.00    6.39166E-15
     7750.00    6.34474E-15
     7800.00    6.29817E-15
     7850.00    6.25193E-15
     7900.00    6.21175E-15
     7950.00    6.16614E-15
     8000.00    6.12088E-15
     8050.00    6.07595E-15
     8100.00    6.03134E-15
     8150.00    5.99258E-15
     8200.00    5.94859E-15
     8250.00    5.90492E-15
     8300.00    5.86157E-15
     8350.00    5.82390E-15
     8400.00    5.78115E-15
     8450.00    5.73871E-15
     8500.00    5.69658E-15
     8550.00    5.65997E-15
     8600.00    5.61841E-15
     8650.00    5.57717E-15
     8700.00    5.53623E-15
     8750.00    5.50065E-15
     8800.00    5.46027E-15
     8850.00    5.42018E-15
     8900.00    5.38535E-15
     8950.00    5.34581E-15
     9000.00    5.30657E-15
     9050.00    5.27247E-15
     9100.00    5.23376E-15
     9150.00    5.20013E-15
     9200.00    5.16195E-15
     9250.00    5.12406E-15
     9300.00    5.09113E-15
     9350.00    5.05375E-15
     9400.00    5.02127E-15
     9450.00    4.98441E-15
     9500.00    4.94782E-15
     9550.00    4.91602E-15
     9600.00    4.87993E-15
     9650.00    4.84857E-15
     9700.00    4.81298E-15
     9750.00    4.78205E-15
     9800.00    4.74694E-15
     9850.00    4.71644E-15
     9900.00    4.68181E-15
     9950.00    4.65172E-15
