# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.324463  4.441099987761987e-10  2.52500006580475e-13  4.441099831636874e-12
2501.697998  4.444900003619523e-10  2.521900060743071e-13  4.4449001770918706e-12
2503.071533  4.4459999570811704e-10  2.5319999460808595e-13  4.44599999177564e-12
2504.444824  4.4372999719044515e-10  2.52370010739994e-13  4.437299919862747e-12
2505.818359  4.4115000541467e-10  2.5099001110980013e-13  4.411499811285413e-12
2507.191895  4.4032999468868184e-10  2.5100998753482817e-13  4.40330020709534e-12
2508.56543  4.376700113439824e-10  2.4937999798871346e-13  4.376699957314711e-12
2509.938965  4.316499935264062e-10  2.4828999533460516e-13  4.316499848527888e-12
2511.3125  4.1998998723258296e-10  2.4486001334173e-13  4.199899976409238e-12
2512.686035  4.007799925265232e-10  2.388300061190174e-13  4.0078001681265185e-12
2514.059326  3.9497999315685206e-10  2.3745000648882353e-13  3.949800122388103e-12
2515.432861  4.116799956488393e-10  2.4183999529532596e-13  4.116800216696914e-12
2516.806396  4.2205999806199657e-10  2.447399921612359e-13  4.2205999979672004e-12
2518.179932  4.2018000190324756e-10  2.440900129588308e-13  4.201799932296302e-12
2519.553223  4.072200077143151e-10  2.4011998986384064e-13  4.0722000424486815e-12
2520.926758  4.1656000870915477e-10  2.428699873591872e-13  4.165600156480487e-12
2522.300293  4.2619999196524816e-10  2.4576000956511024e-13  4.262000041083125e-12
2523.673584  4.291199895423148e-10  2.4670998750864204e-13  4.2912002076733735e-12
2525.047119  4.2729000893082514e-10  2.4652000818296826e-13  4.272900176044425e-12
2526.420654  4.2382999887458084e-10  2.4470001220612547e-13  4.238299815273461e-12
2527.793945  4.2696998714397694e-10  2.4588000364055007e-13  4.269700044912117e-12
2529.16748  4.266600128755016e-10  2.4533998964348935e-13  4.2666000940605464e-12
2530.540771  4.2508999098522793e-10  2.4532998787844817e-13  4.250899979241218e-12
2531.914307  4.2247000342499064e-10  2.4422000879931183e-13  4.224700016902672e-12
2533.287598  4.2305001168863043e-10  2.4421000703427065e-13  4.2305000648446e-12
2534.661133  4.2448000669992325e-10  2.439499882482543e-13  4.244799824137946e-12
2536.034424  4.232099948264789e-10  2.437800124526629e-13  4.23209991357032e-12
2537.407959  4.249799956390632e-10  2.4533998964348935e-13  4.249800164557449e-12
2538.78125  4.2272998990178223e-10  2.440099988385014e-13  4.227299933712292e-12
2540.154785  4.204800119200769e-10  2.42970005009599e-13  4.204800136548004e-12
2541.528076  4.1942999073896203e-10  2.42599993913184e-13  4.194299855347916e-12
2542.901367  4.1431999497909544e-10  2.4133998835842996e-13  4.143200105916067e-12
2544.274902  4.1188999433394713e-10  2.4022000751425243e-13  4.118900099464584e-12
2545.648193  4.1480999191101375e-10  2.404199886049674e-13  4.148099832373964e-12
2547.021484  4.1768000169639663e-10  2.421399940364527e-13  4.176799964922262e-12
2548.39502  4.1659001248639527e-10  2.413299865933888e-13  4.165899829960962e-12
2549.768311  4.1591000088381236e-10  2.418599988254083e-13  4.159100147616002e-12
2551.141602  4.1649000914745216e-10  2.414600095389241e-13  4.16490019555793e-12
2552.514893  4.1497000280443785e-10  2.3996999049327727e-13  4.149700114780552e-12
2553.888184  4.143700105263548e-10  2.4066000386090136e-13  4.1437001399580176e-12
2555.261719  4.126199937282138e-10  2.3957000120679306e-13  4.1261998158514945e-12
2556.63501  4.138200060399555e-10  2.394200018362297e-13  4.138200199177433e-12
2558.008301  4.1140998940925044e-10  2.385999926281246e-13  4.114100119606556e-12
2559.381592  4.0955999702774193e-10  2.382000033416404e-13  4.095600161097002e-12
2560.754883  4.07180011929853e-10  2.376499875795385e-13  4.071800188687469e-12
2562.128174  4.0820000157815173e-10  2.3835000271220375e-13  4.0819999290453435e-12
2563.501465  4.0636999321108647e-10  2.3693999778688635e-13  4.063699897416395e-12
2564.874756  4.085199956094243e-10  2.3790000460051364e-13  4.085200060177652e-12
2566.248047  4.063800129738837e-10  2.370599918623262e-13  4.063800077697133e-12
2567.621338  4.071299963825936e-10  2.370000083771334e-13  4.0713001546455185e-12
2568.994629  4.057600089257818e-10  2.3712000245257325e-13  4.057600175993992e-12
2570.36792  4.0425998659721074e-10  2.3629999324446815e-13  4.04260002209722e-12
2571.741211  4.036999901035898e-10  2.358800004279016e-13  4.036999901035898e-12
2573.114258  4.0428999037445124e-10  2.3607000685862967e-13  4.042900129258564e-12
2574.487549  4.0441999749063484e-10  2.3595001278318983e-13  4.04419987082294e-12
2575.86084  4.014900079063466e-10  2.3513000357508473e-13  4.0148999576328226e-12
2577.234131  3.9500000492687093e-10  2.333200093632831e-13  3.950000049268709e-12
2578.607178  3.9588998745898607e-10  2.3353999398408043e-13  3.958900048062208e-12
2579.980469  3.9996000955611066e-10  2.348200030689168e-13  3.999600130255576e-12
2581.35376  4.0079001228932043e-10  2.3517001063524945e-13  4.007899914726387e-12
2582.726807  4.0098999121163104e-10  2.349199936142743e-13  4.0099000508941884e-12
2584.100098  3.9785000294223494e-10  2.3358000104424514e-13  3.978499821255532e-12
2585.473389  3.908199874835816e-10  2.3120998930530046e-13  3.908200152391572e-12
2586.846436  3.697900041732538e-10  2.254199973385218e-13  3.697900059079773e-12
