# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
3100.99951171875  8.592999695640127e-17  2.7136000793214445e-17  8.592999840396735e-19
3103.745605  1.6955000271674206e-16  3.642699931252846e-17  1.6955000188956145e-18
3106.491699  2.69430010274601e-16  4.425599911254685e-17  2.6942999290380816e-18
3109.238037  1.9559999808373564e-16  4.10730014979979e-17  1.95600008009903e-18
3111.984131  4.000200112808874e-17  3.793899944549169e-17  4.0001999473727514e-19
3114.730469  8.753100172327521e-17  2.5410000763977622e-17  8.75310013096849e-19
3117.476807  4.739100039923302e-17  3.202700064123229e-17  4.73910022603894e-19
3120.2229  1.654900017469848e-16  2.855899960098942e-17  1.654900029877557e-18
3122.969238  2.3393001242222604e-16  3.4741000083353475e-17  2.3393000663196175e-18
3125.715576  1.2835000252493767e-16  3.681499995937503e-17  1.2834999673467338e-18
3128.461914  9.990999781814768e-17  2.98800004217917e-17  9.990999699096707e-19
3131.208252  5.221700039471645e-17  2.918000048277993e-17  5.221700142869222e-19
3133.95459  1.8113999423869206e-16  3.3655001274577505e-17  1.8114000168331757e-18
3136.700928  1.2875000059938872e-16  3.0525998701693566e-17  1.2875000059938872e-18
3139.447266  2.2206998944366934e-16  4.175099843271576e-17  2.22069994406753e-18
3142.193604  2.537899968898036e-16  3.471999962196198e-17  2.5378999275390053e-18
3144.940186  8.379100053656775e-17  3.37290008521765e-17  8.379100239772413e-19
3147.686523  3.815700124156881e-17  3.456899945550165e-17  3.815699896682213e-19
3150.433105  1.5396000398050204e-16  3.57850012780689e-17  1.5396000480768265e-18
3153.179443  9.472000195719397e-17  2.532899992967398e-17  9.47199969941103e-19
3155.926025  5.981100149143098e-17  3.404999986940628e-17  5.981100025066006e-19
3158.672363  1.245100051283399e-16  2.7884000368811446e-17  1.2450999685653378e-18
3161.418945  9.266899770220139e-17  3.308600027481453e-17  9.266900266528506e-19
3164.165527  2.786099945382655e-16  3.759399895560807e-17  2.7861000198289103e-18
3166.912109  4.364800150998567e-17  2.4378000305589114e-17  4.364799964882929e-19
3169.658691  -1.2034999802252497e-17  2.453800019711402e-17  1.203499969885492e-19
3172.405273  7.657500112745526e-17  2.820099914059892e-17  7.657499926629888e-19
3175.151855  1.6621999856373019e-16  2.6292000290085764e-17  1.6622000021809141e-18
3177.898438  9.108200206618165e-17  2.865999835378214e-17  9.10820049613138e-19
3180.64502  3.006500102015041e-17  2.578099954051378e-17  3.0065001226945566e-19
3183.391602  8.247299741830536e-17  2.4579999465535788e-17  8.247299865907628e-19
3186.138428  1.3557000548821492e-16  2.402299920209973e-17  1.3557000135231186e-18
3188.88501  1.1708999651039223e-16  3.1456001173109385e-17  1.170900006462953e-18
3191.631836  1.6010000023136065e-16  2.955600039329958e-17  1.6010000105854127e-18
3194.378418  1.8118000000183757e-17  2.16849996704982e-17  1.8118000620569216e-19
3197.125244  1.0326999884889318e-16  2.798399988742421e-17  1.0327000463915747e-18
3199.871826  9.498700262403629e-17  2.3300999567516496e-17  9.498700055608476e-19
3202.618652  1.692900033066044e-16  2.893199850024673e-17  1.6928999834352072e-18
3205.365479  -1.002799990148651e-17  2.3909999712980087e-17  1.0027999746390145e-19
3208.112305  -2.317500010788997e-17  2.0388999556529718e-17  2.317500031468512e-19
3210.859131  9.535300026658895e-17  2.3825999521775327e-17  9.53529969578665e-19
3213.605713  1.3651000030143038e-16  3.1746000769703126e-17  1.3650999906065946e-18
3216.352783  1.489599949626395e-16  2.2639000305845408e-17  1.4895999785777165e-18
3219.099609  1.551700037805446e-16  2.834799906161694e-17  1.5517000460772522e-18
3221.846436  2.181899962100934e-16  2.4283999500778588e-17  2.1819000034599647e-18
3224.593262  2.3790000290644774e-16  2.7997999092111054e-17  2.3789999794336407e-18
3227.340088  1.3988000029142042e-16  2.463900060426797e-17  1.3987999491474644e-18
3230.087158  8.872899747826841e-17  2.3198000692002618e-17  8.87289966510878e-19
3232.833984  9.085100029959764e-17  2.061199917786789e-17  9.08510044355007e-19
3235.580811  1.5764000479429735e-16  3.948099976491099e-17  1.5763999693608153e-18
3238.327881  9.716700073247284e-17  2.1014000683762535e-17  9.716700404119529e-19
3241.074707  8.467200082849593e-17  2.6426999474776868e-17  8.467200144888139e-19
3243.821777  2.2326999690191226e-16  2.5125999881186116e-17  2.23270006000899e-18
3246.568848  1.3901000481036165e-16  2.6897999424287012e-17  1.3900999736573614e-18
3249.315918  4.7148001205044545e-17  2.231599951153325e-17  4.714800244581546e-19
3252.062744  8.457500232114551e-17  2.0196999355827584e-17  8.457499901242306e-19
3254.809814  2.0986000620027615e-17  1.936899983446813e-17  2.0985999947943367e-19
3257.556885  1.1558999380503347e-16  2.2040000773987583e-17  1.155900016632493e-18
3260.303955  1.1646999486278169e-16  2.6164999941918047e-17  1.1646999775791383e-18
3263.051025  1.2681000398260075e-16  1.9733999897202053e-17  1.2681000356901044e-18
3265.798096  1.763299985337003e-16  2.1140999377569026e-17  1.7633000845986765e-18
3268.545166  1.0751999989663143e-16  2.4816000711742068e-17  1.0751999658790898e-18
3271.29248  1.3170000459643863e-16  2.0556999938939238e-17  1.316999954974519e-18
3274.039551  1.9559999808373564e-16  3.29139996469627e-17  1.95600008009903e-18
3276.786621  1.4262999863379991e-16  2.4021000733739803e-17  1.426299982202096e-18
3279.533936  4.9168998656136154e-17  1.9293000134147982e-17  4.916900113767799e-19
3282.281006  9.442899981769782e-17  2.0438000081656134e-17  9.442899485461414e-19
3285.02832  2.1191999363672105e-16  2.2200999899692454e-17  2.1191999198235983e-18
3287.775391  1.5100999998345213e-16  2.0379000597285177e-17  1.5100999956986182e-18
3290.522705  1.3381999571451813e-16  1.9299000502311442e-17  1.3381999736887936e-18
3293.269775  2.3750999717379634e-16  2.0230000553546e-17  2.3751000296406063e-18
3296.01709  1.8272000185289694e-16  2.1265000368835625e-17  1.827199993713551e-18
3298.764404  1.7046999961146844e-16  1.9483999446308927e-17  1.7047000250660058e-18
3301.511719  2.5709001078252675e-16  3.265300100264507e-17  2.5709000912816552e-18
3304.258789  1.3583999724015223e-16  2.2445999216602085e-17  1.3584000344400682e-18
3307.006104  2.0280999547032344e-16  2.4032000581525533e-17  2.0281000374212957e-18
3309.753418  1.0648000225608076e-16  2.3628999841450923e-17  1.0648000308326138e-18
3312.500732  1.4380000259686432e-16  2.179800081397907e-17  1.4380000383763524e-18
3315.248047  2.385999962280146e-16  2.116600008440283e-17  2.3859999953673707e-18
3317.995605  1.3725000269486522e-16  1.9344000781995552e-17  1.372499948366494e-18
3320.74292  1.1546000071740954e-16  1.7508999854720166e-17  1.1545999989022893e-18
3323.490234  1.0454999798109244e-16  1.860100068602082e-17  1.0455000459853734e-18
3326.237549  1.3142999960961152e-16  1.983199929309366e-17  1.3143000374551458e-18
3328.985107  1.0955000038151007e-16  1.828800050531443e-17  1.0955000120869068e-18
3331.732422  7.541999891198011e-17  1.8189999455061598e-17  7.542000180711226e-19
3334.479736  1.3284999740612415e-16  1.9364999589025823e-17  1.3285000402356905e-18
3337.227295  1.052700024560382e-16  2.2263999629505718e-17  1.052700032832188e-18
3339.974854  8.706799895592723e-17  2.102300040882711e-17  8.7067997301566e-19
3342.722168  6.467899910097495e-17  1.787399991745409e-17  6.467899951456525e-19
3345.469727  1.34810005176291e-16  1.8506999881210294e-17  1.348099981452558e-18
3348.217041  1.5246999361694292e-16  2.0222000062661387e-17  1.5247000437029088e-18
3350.9646  1.547299966342256e-16  3.0969000241830015e-17  1.547299962206353e-18
3353.712158  1.3640000513229553e-16  2.27129998834444e-17  1.3640000471870522e-18
3356.459717  1.1395000567025114e-16  2.187600063702037e-17  1.1395000236152869e-18
3359.207275  1.3165000318277102e-16  1.9723000049416323e-17  1.3165000276918072e-18
3361.954834  1.2517000261292861e-16  1.9061000787745235e-17  1.2517000426728984e-18
3364.702393  1.682700035845428e-16  2.2943999995667185e-17  1.6827000193018158e-18
3367.449951  1.4677999685420296e-16  1.752800019339051e-17  1.4678000471241877e-18
3370.19751  7.704000236316317e-17  1.63400000889194e-17  7.703999884764556e-19
3372.945068  4.832800081863104e-17  1.740999957028737e-17  4.83280014390165e-19
3375.692627  1.4357999902370481e-16  1.780699994219852e-17  1.435800048139691e-18
3378.440186  1.139900015072293e-16  2.3442000774732285e-17  1.1398999654414563e-18
3381.187744  1.008400002895635e-16  1.8020999838472114e-17  1.0083999615366044e-18
3383.935547  1.6077999563443845e-16  1.9658000196881906e-17  1.6077999522084814e-18
3386.683105  1.1921000086336154e-16  1.8971000228377015e-17  1.1921000251772276e-18
3389.430908  9.372299785616136e-17  2.3950000513041926e-17  9.372299620180013e-19
3392.178467  5.768600096756185e-17  2.0643999487045115e-17  5.768599910640547e-19
3394.926025  1.1736000149721934e-16  2.7657999736210933e-17  1.1736000273799026e-18
3397.673828  1.5272000068528095e-16  2.0181000028419584e-17  1.5271999903091972e-18
3400.421631  1.5425999922761787e-16  3.094600131207859e-17  1.5426000253634032e-18
3403.169189  1.2197999712423011e-16  1.9550000187384533e-17  1.219800029144944e-18
3405.916992  1.4620000427846037e-16  1.999500019588091e-17  1.4619999600665425e-18
3408.664795  2.1809999895944763e-16  2.3944000144878467e-17  2.181000030953507e-18
3411.412354  1.679499971840481e-16  2.16069998474569e-17  1.6794999677045778e-18
3414.160156  7.522700113145924e-17  2.2062000469559043e-17  7.522699989068832e-19
3416.907959  1.5643000499425478e-16  1.8625999738493398e-17  1.5642999713603896e-18
3419.655762  1.6708000170298932e-16  2.1392000717003342e-17  1.6707999922144748e-18
3422.403564  1.2187000195509526e-16  3.260600060023981e-17  1.218699982327825e-18
3425.151367  1.3111999878580625e-16  2.0606000464065654e-17  1.3111999713144502e-18
3427.89917  2.0482999699595754e-16  2.711399944328176e-17  2.0482999947749938e-18
3430.646973  2.341100069235176e-16  1.9012999496798782e-17  2.341100011332533e-18
3433.394775  1.5259999993945666e-16  1.9364999589025823e-17  1.525999958035536e-18
3436.142578  1.383900031627511e-16  1.7402000733763982e-17  1.3839000481711233e-18
3438.890381  1.226100043485301e-16  2.9142999039619206e-17  1.226100043485301e-18
3441.638184  9.264099929282769e-17  1.992199985246188e-17  9.264100260155014e-19
3444.38623  3.098500122359924e-17  2.1589000397327746e-17  3.0984999259045286e-19
3447.134033  1.3747000626802472e-16  1.665900063778925e-17  1.374700042000732e-18
3449.881836  2.6697999394444756e-16  3.110200095816119e-17  2.6698000800651797e-18
3452.629883  2.138800014068879e-16  2.5935999952416417e-17  2.1387999644380423e-18
3455.377686  7.569400083552708e-17  1.4544999961705854e-17  7.569400021514162e-19
3458.125488  1.5453999655624462e-16  1.6951000357104145e-17  1.5454000317368952e-18
3460.873535  1.3891000198302644e-16  1.7368000301865602e-17  1.3891000156943613e-18
3463.621582  7.843300098448207e-17  1.43090003698608e-17  7.843300201845783e-19
3466.369385  1.1558000146323383e-16  1.5413999517307113e-17  1.1558000311759506e-18
3469.117432  1.377799938569402e-16  1.513299964577795e-17  1.377800004743851e-18
3471.865234  9.479000128935066e-17  1.574199979124154e-17  9.47899971534476e-19
3474.613281  1.437199976880182e-16  2.036299961551595e-17  1.437200051326437e-18
3477.361328  1.8436999556436872e-16  1.6558999464815265e-17  1.8436999721872994e-18
3480.109131  1.1494999423893384e-16  1.5605999718009246e-17  1.1495000168355936e-18
3482.857178  1.4948999935960428e-16  1.493699919963351e-17  1.4949000349550735e-18
3485.605225  1.0048999701133516e-16  1.7508000620540202e-17  1.0048999535697394e-18
3488.353271  1.0618000039152003e-16  1.7208000410340695e-17  1.0617999501484605e-18
3491.101318  1.1267000653805188e-16  1.497400064279423e-17  1.1267000240214882e-18
3493.849365  6.776499820817348e-17  1.632799935259248e-17  6.776499841496863e-19
3496.597412  7.892099784121895e-17  1.724300007641904e-17  7.892100239071232e-19
3499.345459  1.5427999714610695e-16  1.746100021813494e-17  1.542799996276488e-18
3502.093506  1.7354000435434265e-16  1.8340999621521928e-17  1.7353999029227223e-18
3504.841553  1.3863999699619933e-16  1.633500060929713e-17  1.3863999947774117e-18
3507.5896  1.5249999711212144e-16  1.9697000108402556e-17  1.5250000000725359e-18
3510.337646  1.8023999526245476e-16  1.7958999342838814e-17  1.8024000849734456e-18
3513.085693  1.7560999405875455e-16  1.7402000733763982e-17  1.756100097751862e-18
3515.83374  1.0680000203913058e-16  1.4214999565050274e-17  1.0679999790322751e-18
3518.582031  1.6497000292670945e-16  1.6584000171649068e-17  1.6496999589567425e-18
3521.330078  1.6386999829580174e-16  1.456600042309735e-17  1.6387000077734357e-18
3524.078125  1.1269000445654096e-16  1.5480999492562683e-17  1.1268999949345729e-18
3526.826416  7.646300087251558e-17  1.4220999933213734e-17  7.64629990113592e-19
3529.574463  9.820599913884355e-17  1.4205999839985697e-17  9.820600492910783e-19
3532.32251  1.841700031445881e-16  1.6199000536064837e-17  1.8417000562612994e-18
3535.070801  1.1222999939173288e-16  1.4791000167156675e-17  1.1223000435481655e-18
3537.818848  1.590900060859885e-16  2.34040000973916e-17  1.5909000319085636e-18
3540.567139  1.5358999616633972e-16  1.5642999506808743e-17  1.5358999657993003e-18
3543.315186  1.5159999813588415e-16  1.4428000227143904e-17  1.5159999648152292e-18
3546.063477  1.7926999695406078e-16  1.4577999505063045e-17  1.7926999447251894e-18
3548.811523  1.894299983376985e-16  1.6147999888217267e-17  1.89430005782324e-18
3551.559814  1.5346999542051543e-16  1.4456999525058788e-17  1.5347000369232155e-18
3554.308105  1.4504999823388505e-16  1.4581000516325387e-17  1.4504999782029475e-18
3557.056152  1.2173999563258153e-16  1.5445000592304375e-17  1.2173999645976214e-18
3559.804443  1.7103999984541138e-16  2.2086000287851657e-17  1.7104000232695322e-18
3562.552734  1.9682000346046765e-16  2.1105000477310718e-17  1.9681999601584213e-18
3565.300781  9.601700130534242e-17  1.5134999768499102e-17  9.601699551507813e-19
3568.049072  7.185099911894452e-17  1.397400049358295e-17  7.185100180728151e-19
3570.797363  6.755100327498356e-17  1.3514000391858536e-17  6.7551001620622335e-19
3573.545654  1.4895000262083987e-16  1.4443999554551905e-17  1.4894999931211742e-18
3576.293945  1.0123999836401454e-16  1.5944999839729404e-17  1.0124000001837577e-18
3579.042236  1.7069999552642758e-16  2.29150006977523e-17  1.7070000007592095e-18
3581.790527  1.2963999399893657e-16  1.5735000188898116e-17  1.2963999523970749e-18
3584.538818  8.961400132436134e-17  1.4238999383342888e-17  8.961399718845828e-19
3587.287109  9.592900252305658e-17  1.4909000790259814e-17  9.59290041774178e-19
3590.0354  1.2655999691426272e-16  1.393899917314338e-17  1.2655999856862395e-18
3592.783691  1.0371999833701183e-16  1.4058999918967674e-17  1.0372000123214397e-18
3595.531982  8.669899699338977e-17  1.560199947256694e-17  8.669900237006375e-19
3598.280273  6.443599990678647e-17  1.6070000065175967e-17  6.4435999699991315e-19
3601.028564  1.2147999622244386e-16  1.3747999860982437e-17  1.2148000325347907e-18
3603.776855  1.1926999461882878e-16  1.4266000212897844e-17  1.1927000413140583e-18
3606.525146  1.683900043303671e-16  1.7290000478824302e-17  1.6839000515754771e-18
3609.273438  1.2671000115526554e-16  1.3481000021320733e-17  1.2670999743295278e-18
3612.021729  1.2341000049743219e-16  1.4607000457339154e-17  1.234100017382031e-18
3614.770264  8.297299832009161e-17  1.6728999969945938e-17  8.297299832009161e-19
3617.518555  1.0539000320186249e-16  1.5201999743754672e-17  1.0538999617082728e-18
3620.266846  1.6692000512018686e-16  1.549100010616845e-17  1.6692000181146441e-18
3623.015137  1.2802000378264332e-16  1.4095000473587207e-17  1.2802000336905301e-18
3625.763672  1.4074000343067955e-16  1.645800071202254e-17  1.4074000425786017e-18
3628.511963  1.4985000159707716e-16  1.411799940333863e-17  1.4985000283784808e-18
3631.260254  1.9309000123300473e-16  1.640700006417497e-17  1.9308999047965677e-18
3634.008789  1.6053000180099022e-16  1.731000005167461e-17  1.605300005602193e-18
3636.75708  1.163000059381796e-16  1.440899988847356e-17  1.1630000180227653e-18
3639.505615  1.5778999580041037e-16  1.4207000728526886e-17  1.5778999580041037e-18
3642.253906  1.755500003032873e-16  1.3685000131169173e-17  1.7554999782174546e-18
3645.002441  1.5227999353896194e-16  1.5854999280361184e-17  1.5228000098358745e-18
3647.750732  1.0552000290693132e-16  1.2318999857863391e-17  1.0551999794384765e-18
3650.499268  2.2671998856585863e-16  1.4614999293862542e-17  2.2671999022021986e-18
3653.247559  2.2250999658998834e-16  1.8033999808978997e-17  2.2250999245408528e-18
3655.996094  1.241700008093561e-16  1.6026000674033046e-17  1.2417000494525917e-18
3658.744385  1.4067000409852287e-16  1.359100015353926e-17  1.4067000409852287e-18
3661.49292  1.5864000659786986e-16  1.4700999607788455e-17  1.586399962581122e-18
3664.241211  2.373599929327935e-16  1.3856999931840387e-17  2.3735999375997414e-18
3666.989746  1.660299984857492e-16  1.4054999673525367e-17  1.6602999683138798e-18
3669.738281  1.0726999944573831e-16  1.2518999722269525e-17  1.0727000192728014e-18
3672.486572  2.1255000086102104e-16  1.6162999981445304e-17  2.1254999341639553e-18
3675.235107  2.0743000433222402e-16  1.669200018114644e-17  2.0742999357887605e-18
3677.983643  1.5764000479429735e-16  1.804200029986361e-17  1.5763999693608153e-18
3680.732178  1.69679995804366e-16  1.4214999565050274e-17  1.6968000366258181e-18
3683.480469  1.5538999411881431e-16  1.8975999707999285e-17  1.5539000363139136e-18
3686.229004  1.495400007732719e-16  1.4871999347099092e-17  1.4953999622377852e-18
3688.977539  1.714099944246839e-16  1.7472999300100633e-17  1.7141000021494819e-18
3691.726074  1.713399950925272e-16  1.3340999702646133e-17  1.7134000005561089e-18
3694.474365  1.744799991675581e-16  1.4678999912216995e-17  1.744799983403775e-18
3697.2229  1.911599969580164e-16  2.2166999467794074e-17  1.9115999199493273e-18
3699.971436  1.2878999643636688e-16  1.6398999573290358e-17  1.2879000512176331e-18
3702.719971  1.98899998741569e-16  1.6897999586535422e-17  1.9890000370465266e-18
3705.468506  1.9108999762585972e-16  1.4490999956957168e-17  1.9108999183559543e-18
3708.217041  1.4637999877975191e-16  1.2743000232148884e-17  1.4638000084770344e-18
3710.965332  9.336400147031334e-17  1.2056000263643993e-17  9.336399981595212e-19
3713.713867  1.9822999568029084e-16  1.3953999266371417e-17  1.9823000808800002e-18
3716.462402  1.670999996214784e-16  1.218199972327052e-17  1.6709999631275595e-18
3719.210938  1.444799979999421e-16  1.208699968428003e-17  1.4447999799994211e-18
3721.959473  2.035800013589368e-16  1.6111999333597734e-17  2.0358000549483987e-18
3724.708008  1.1362999926975642e-16  1.182999963104348e-17  1.136299972018049e-18
3727.456543  1.5693999823784068e-16  1.541199939458596e-17  1.5693999534270853e-18
3730.205078  1.3998999546055527e-16  1.5432000621797492e-17  1.3998999959645833e-18
3732.953613  1.674900053541298e-16  1.209300005244349e-17  1.6749000163181705e-18
3735.702148  1.52150000451338e-16  1.4666999175890075e-17  1.5214999921056709e-18
3738.450684  1.136499971882455e-16  1.3579000244392953e-17  1.1365000463287102e-18
3741.199219  1.3426000286083714e-16  1.2731000323002578e-17  1.3425999541621163e-18
3743.947754  3.257999999748155e-16  1.456000005493389e-17  3.257999941845512e-18
3746.696289  1.4259000279682175e-16  1.1739999898855873e-17  1.4259000403759267e-18
3749.444824  1.341299965383234e-16  1.4754999612537142e-17  1.3413000398294892e-18
3752.193359  1.2344999633441035e-16  1.1570000220905813e-17  1.2344999592082004e-18
