# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.412842  1.753599944019548e-14  2.2124999537627817e-16  1.7536000022530632e-16
2501.961914  1.755599958214605e-14  2.2276000365832637e-16  1.7556000587997674e-16
2503.510742  1.7081999944862543e-14  2.1865999361670113e-16  1.7081999627225188e-16
2505.059814  1.705199973193669e-14  2.1844999562023107e-16  1.7052000102513604e-16
2506.608887  1.7132000299738964e-14  2.1982999757976554e-16  1.7131999717403813e-16
2508.157959  1.7288000051700683e-14  2.19650003078474e-16  1.7287999363486414e-16
2509.707031  1.704599935053834e-14  2.1837999628807438e-16  1.70459994034779e-16
2511.256104  1.6814000414417177e-14  2.1531000478008998e-16  1.6813999726202907e-16
2512.805176  1.719499922222395e-14  2.1846999353872015e-16  1.7195000439833812e-16
2514.354248  1.697900073847642e-14  2.1721000555989978e-16  1.6979000420839065e-16
2515.90332  1.703799997138447e-14  2.1768999530830715e-16  1.7038000236082267e-16
2517.452393  1.7007999758458618e-14  2.1796000029513426e-16  1.7007999387881704e-16
2519.001709  1.7069999182065844e-14  2.1901000351237437e-16  1.7069999552642758e-16
2520.550781  1.696000009540361e-14  2.1521000195275477e-16  1.6960000413040967e-16
2522.099854  1.6936999762753868e-14  2.178500051259994e-16  1.6936999498056072e-16
2523.648926  1.705000073418117e-14  2.172399958201885e-16  1.7050000310664696e-16
2525.198242  1.697499935483359e-14  2.1699000198674028e-16  1.6974999513652268e-16
2526.747314  1.6733000347737143e-14  2.147800003831252e-16  1.6732999553643754e-16
2528.296387  1.693099938135552e-14  2.1554000069504912e-16  1.6931000122509348e-16
2529.845703  1.6589999163383988e-14  2.1419000223069318e-16  1.6590000539812527e-16
2531.394775  1.6820000795815526e-14  2.1493999696592766e-16  1.6820000425238612e-16
2532.944092  1.6665000542731567e-14  2.147299989694576e-16  1.6665000013335975e-16
2534.493164  1.690900024164943e-14  2.1666999558624556e-16  1.6908999765193397e-16
2536.04248  1.683700074706692e-14  2.1479999830161428e-16  1.6837000641187802e-16
2537.591797  1.6652000281057108e-14  2.141700043122041e-16  1.6651999381084602e-16
2539.140869  1.6777999820092974e-14  2.150700032884414e-16  1.677799950245562e-16
2540.690186  1.665399927881263e-14  2.1341000400028017e-16  1.665400049642249e-16
2542.239502  1.667500061370685e-14  2.1436000439018508e-16  1.6675000296069496e-16
2543.788574  1.6635000329805714e-14  2.1144000388831368e-16  1.6635000488624392e-16
2545.337891  1.642699953114616e-14  2.1230999936937246e-16  1.6426999637025278e-16
2546.887207  1.6317000444483927e-14  2.1109999956932989e-16  1.6317000497423486e-16
2548.436523  1.647799938490034e-14  2.1215999512836964e-16  1.6478000284872847e-16
2549.98584  1.664699939853652e-14  2.1341000400028017e-16  1.6647000563206821e-16
2551.535156  1.6528999238654522e-14  2.1260000227468865e-16  1.6528999609231437e-16
2553.084473  1.6330000706158386e-14  2.1272999536231258e-16  1.632999980618588e-16
2554.633789  1.6520999859500653e-14  2.121000013729024e-16  1.6521000441835804e-16
2556.183105  1.6351000346986715e-14  2.1058000074905455e-16  1.6350999605832886e-16
2557.732422  1.594200032400961e-14  2.0949999403663592e-16  1.5942000482828286e-16
2559.281738  1.6102999264426023e-14  2.0887000004722573e-16  1.6103000270277647e-16
2560.831055  1.6317000444483927e-14  2.1077000082703553e-16  1.6317000497423486e-16
2562.380615  1.634000077713367e-14  2.11709995640251e-16  1.63400000889194e-16
2563.929932  1.6073000745566064e-14  2.0831000538997223e-16  1.6072999422077084e-16
2565.479248  1.629799980141112e-14  2.1026999992524928e-16  1.6298000489625388e-16
2567.028564  1.6189000213626646e-14  2.0914999737585248e-16  1.618900058420356e-16
2568.578125  1.5860000758451814e-14  2.0617000311851384e-16  1.585999975260019e-16
2570.127441  1.5905000230807646e-14  2.0848999989126377e-16  1.5904999701412054e-16
2571.677002  1.6026000581388818e-14  2.0921000436620953e-16  1.602599968141631e-16
2573.226318  1.5932999751912084e-14  2.0926999812167677e-16  1.593299943427473e-16
2574.775879  1.5982000607910746e-14  2.0859000271859898e-16  1.598200029027339e-16
2576.325195  1.5827000354826787e-14  2.0655999561627544e-16  1.5826999878370754e-16
2577.874756  1.6081000124719934e-14  2.0764999467049372e-16  1.6080999912961697e-16
2579.424316  1.593599994261126e-14  2.0783000240667506e-16  1.5935999783792582e-16
2580.973633  1.570100081579092e-14  2.0527999648407619e-16  1.5700999756999737e-16
2582.523193  1.5605999294492773e-14  2.064500004471406e-16  1.5605999718009246e-16
2584.072754  1.5138999537485376e-14  2.0244000089105093e-16  1.5139000013941409e-16
2585.62207  1.584499980495594e-14  2.0741000641373493e-16  1.5845000651988888e-16
2587.171631  1.5591000035062794e-14  2.0321999912146393e-16  1.5591000617397945e-16
2588.721191  1.5557000132560006e-14  2.053299978977438e-16  1.5557000185499565e-16
2590.270752  1.5641000389939215e-14  2.064500004471406e-16  1.564099938408759e-16
2591.820312  1.5287999409170985e-14  2.0506000614580648e-16  1.528799972680834e-16
2593.369873  1.5476999564757732e-14  2.0593000162686526e-16  1.5477000570609357e-16
2594.919434  1.531199924069849e-14  2.0396000151489877e-16  1.53119998759732e-16
2596.468994  1.541899983072744e-14  2.030199934667935e-16  1.5418999989546119e-16
2598.018555  1.5178999821386513e-14  2.0142000116898934e-16  1.5178999821386513e-16
2599.568115  1.4819000654408068e-14  1.9907000090106089e-16  1.4819000230891595e-16
2601.117676  1.5202999652914016e-14  2.03870004264253e-16  1.5202999970551372e-16
2602.667236  1.521200022501154e-14  2.0297999762981534e-16  1.5211999695615948e-16
2604.217041  1.5188000393484037e-14  2.0254999606018578e-16  1.518799954645109e-16
2605.766602  1.5313999932519903e-14  2.0289000037916957e-16  1.5313999667822107e-16
2607.316162  1.5100000446527893e-14  2.0157000540999215e-16  1.5099999440676268e-16
2608.865967  1.5106000827926243e-14  2.0128000250467596e-16  1.5106000139711973e-16
2610.415527  1.529099959987016e-14  2.021400056439351e-16  1.5291000076326193e-16
2611.965088  1.5179999320264273e-14  2.0290000595585901e-16  1.5180000379055457e-16
2613.514893  1.5015000690270924e-14  2.0123000109100836e-16  1.50149996844193e-16
2615.064453  1.4915999479395842e-14  2.0133000391834357e-16  1.4916000061730993e-16
2616.614258  1.529699998126851e-14  2.0406999668403362e-16  1.5296999451872917e-16
2618.163818  1.5003999426351985e-14  2.0152000399632455e-16  1.5004000167505814e-16
2619.713623  1.5060999661504516e-14  2.0019999579225733e-16  1.5061000190900108e-16
2621.263428  1.5221000797109065e-14  2.0218000148091326e-16  1.5220999420680525e-16
2622.812988  1.5191000584183212e-14  2.028700024606805e-16  1.5190999895968942e-16
2624.362793  1.5184000703907102e-14  2.0242999531436148e-16  1.5183999962753273e-16
2625.912598  1.500699961705116e-14  2.0066000085706542e-16  1.5007000517023667e-16
2627.462402  1.506499935108145e-14  2.024099973958724e-16  1.5064999774597925e-16
2629.011963  1.4908999599119732e-14  2.006099994433978e-16  1.4909000128515324e-16
2630.561768  1.512799996763233e-14  2.0209999657206713e-16  1.5128000497027924e-16
2632.111572  1.4914999980518082e-14  2.0052999453455168e-16  1.491499950406205e-16
2633.661377  1.4795000822880565e-14  2.000500047861443e-16  1.4795000081726736e-16
2635.211182  1.4894999838567513e-14  2.0000999571427635e-16  1.4895000262083987e-16
2636.760986  1.4726999323809095e-14  1.992700065557313e-16  1.4727000541418957e-16
2638.310791  1.4827999532439698e-14  1.9962999555831439e-16  1.4827999955956172e-16
2639.860596  1.4712000064379116e-14  1.9884999732790138e-16  1.4712000117318675e-16
2641.4104  1.4617000237146863e-14  1.9825999917546936e-16  1.4617000078328185e-16
2642.960205  1.4802000703156674e-14  1.9955000388435806e-16  1.4802000014942405e-16
2644.510254  1.4468000365461253e-14  1.9831000058913697e-16  1.4468000365461253e-16
2646.060059  1.47990005124575e-14  2.0033000211477106e-16  1.4798999665424552e-16
2647.609863  1.4925999550371126e-14  2.0185999508041854e-16  1.4926000344464514e-16
2649.159668  1.474200027730497e-14  1.9860000349445316e-16  1.4741999642030258e-16
2650.709717  1.4563999691571267e-14  1.9746000302656727e-16  1.4563999638631707e-16
2652.259521  1.4414999819885657e-14  1.965899943106187e-16  1.4414999925764776e-16
2653.80957  1.445199991308762e-14  1.9691000071111342e-16  1.4451999383692027e-16
2655.359375  1.4384999606959804e-14  1.9639000189083808e-16  1.4385000401053192e-16
2656.909424  1.4201999832771407e-14  1.9634000047717048e-16  1.420200025628788e-16
2658.459229  1.4687000733973853e-14  2.0036000560994958e-16  1.4686999410484872e-16
2660.009277  1.4634000188398257e-14  1.996099976398253e-16  1.4634000294277375e-16
2661.559082  1.456699988227044e-14  1.988299994094123e-16  1.456699998814956e-16
2663.109131  1.465100013964965e-14  1.9824000125698028e-16  1.4651000510226565e-16
2664.65918  1.4626000809244387e-14  1.9867999516840948e-16  1.4625999803392762e-16
2666.208984  1.449599988656569e-14  1.9806999909748838e-16  1.4496000098323928e-16
2667.759033  1.4408999438487308e-14  1.9803000326051022e-16  1.440900055021805e-16
2669.309082  1.431699980195423e-14  1.9907000090106089e-16  1.4316999537256433e-16
2670.859131  1.4198000143194472e-14  1.9590000656574127e-16  1.4197999349101084e-16
2672.40918  1.4002999606209376e-14  1.9613999482250005e-16  1.4003000453242324e-16
2673.958984  1.4152999823805693e-14  1.952000000092846e-16  1.415299940028922e-16
2675.509033  1.3934999801203801e-14  1.9307000331451565e-16  1.3934999589445564e-16
2677.059082  1.4059000342484147e-14  1.9578999816171662e-16  1.4058999918967674e-16
2678.609131  1.4069999912337192e-14  1.950799992634603e-16  1.406999943588116e-16
2680.15918  1.442400039198318e-14  1.9872000424027745e-16  1.4423999650829352e-16
2681.709473  1.425100068877007e-14  1.9876000007725561e-16  1.4250999788797562e-16
2683.259521  1.4276000019175332e-14  1.9706999729391587e-16  1.4276000495631365e-16
2684.80957  1.4357999584733126e-14  1.9893999457854715e-16  1.4357999902370481e-16
2686.359619  1.4265999948200048e-14  1.9711000636578384e-16  1.4266000212897844e-16
2687.909668  1.4229999353875845e-14  1.9801999768382077e-16  1.4229999989150556e-16
2689.459961  1.3956999787942837e-14  1.9587999541236239e-16  1.3956999946761515e-16
2691.01001  1.4169999775057087e-14  1.9756000585390249e-16  1.416999961623841e-16
2692.560059  1.4113999885815263e-14  1.9528000491813072e-16  1.411400015051306e-16
2694.110352  1.3900000399823254e-14  1.944000038603825e-16  1.389999992336722e-16
2695.6604  1.3875000222385043e-14  1.9592000448423035e-16  1.3875000540022398e-16
2697.210449  1.377400001375444e-14  1.9369999730392583e-16  1.3773999801996203e-16
2698.760742  1.3880000257872685e-14  1.960999989855219e-16  1.3879999357900179e-16
2700.311035  1.3846000355369897e-14  1.9625999556832435e-16  1.384600024949078e-16
2701.861084  1.3899000053912546e-14  1.9454000252469588e-16  1.3898999365698277e-16
2703.411377  1.3936999645992269e-14  1.956899953343814e-16  1.3936999381294473e-16
2704.961426  1.3723999658878019e-14  1.9348999930745577e-16  1.3723999711817578e-16
2706.511719  1.3547999764965731e-14  1.9341999997529908e-16  1.3547999500267935e-16
2708.062012  1.3376999906541086e-14  1.9226000158892412e-16  1.3376999430085053e-16
2709.612305  1.3576999631980877e-14  1.932800013109857e-16  1.3576999790799554e-16
2711.162354  1.3581999667468519e-14  1.932299998973181e-16  1.3581999932166315e-16
2712.712646  1.3743000301950827e-14  1.9437000036520399e-16  1.3742999719615676e-16
2714.262939  1.3586000204078401e-14  1.9352999514443394e-16  1.358599951586413e-16
2715.813232  1.3376999906541086e-14  1.92620003826397e-16  1.3376999430085053e-16
2717.363525  1.3701999672138983e-14  1.9523999584626276e-16  1.3701999354501628e-16
2718.913818  1.3484999995447798e-14  1.9260999824970756e-16  1.3485000101326917e-16
2720.464111  1.330999960041327e-14  1.9234000649777025e-16  1.3310000447446218e-16
2722.014404  1.3398000394402362e-14  1.958599974938733e-16  1.339800055322104e-16
2723.564697  1.3552000301575613e-14  1.9523000350446312e-16  1.3552000407454732e-16
2725.11499  1.3028000309415685e-14  1.903799987276034e-16  1.302799935650362e-16
2726.665283  1.3429000106205975e-14  1.9250999542237235e-16  1.3429000635601567e-16
2728.21582  1.3104000340608078e-14  1.9094999896154634e-16  1.3103999387696012e-16
2729.766113  1.3209000238815615e-14  1.9150999361879984e-16  1.3208999709420023e-16
2731.316406  1.3305000411958576e-14  1.9234000649777025e-16  1.3305000306079457e-16
2732.866699  1.3275999697910483e-14  1.9324999781580719e-16  1.3276000015547838e-16
2734.417236  1.3185000407288112e-14  1.9169000135498118e-16  1.3184999560255165e-16
2735.967529  1.3508000328097541e-14  1.9449000111102828e-16  1.350799969282283e-16
2737.518066  1.3287000114796475e-14  1.9264999408668572e-16  1.3286999532461323e-16
2739.068359  1.2982999990026906e-14  1.9048999389673825e-16  1.2982999407691755e-16
2740.618896  1.3346999693615233e-14  1.9326999573429627e-16  1.334699990537347e-16
2742.169189  1.3488999685024733e-14  1.939599967140635e-16  1.3488999685024733e-16
2743.719727  1.3136000398322398e-14  1.9236000441625933e-16  1.3136000027745483e-16
2745.27002  1.2945000397947184e-14  1.910599941306812e-16  1.294499939209556e-16
2746.820557  1.3216999617969485e-14  1.9381000570795049e-16  1.3217000200304636e-16
2748.371094  1.3217999963880192e-14  1.9309000123300473e-16  1.32179994344846e-16
2749.921387  1.3001999786066767e-14  1.9183000001929455e-16  1.3001999415489853e-16
2751.471924  1.2839000153828939e-14  1.9062000021925199e-16  1.2838999836191584e-16
2753.022461  1.283200027355283e-14  1.9079000237874388e-16  1.2831999902975915e-16
2754.572998  1.30770003183814e-14  1.9179999652411603e-16  1.307700021250228e-16
2756.123535  1.279399983444016e-14  1.9100000037521395e-16  1.279399988737972e-16
2757.674072  1.281900001187837e-14  1.9212999526641039e-16  1.2819000594213522e-16
2759.224609  1.2917000029809798e-14  1.9174999511044843e-16  1.2916999659232884e-16
2760.775146  1.2604999678853413e-14  1.9024000006329003e-16  1.2605000367067683e-16
