# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2900.982177734375  -1.649700002797315e-15  1.3849999833188595e-15  1.649700062354319e-17
2903.727295  1.5973999534690982e-15  1.2917999952204032e-15  1.5974000792005513e-17
2906.472656  -8.76210006282822e-18  1.1584000352034946e-15  8.762099985280038e-20
2909.217773  -5.329199902483444e-16  1.6480999575599516e-15  5.32920001828873e-18
2911.962891  2.946900044814701e-15  9.824999852998647e-16  2.9469000845193705e-17
2914.708252  -1.7098000608994413e-16  8.129699937365015e-16  1.7098000071327015e-18
2917.453613  5.568399889205691e-16  7.512100157555527e-16  5.568399971923752e-18
2920.19873  4.519399876612483e-16  6.476500206187882e-16  4.519400124766667e-18
2922.944092  1.0733000114213943e-15  5.966600136226186e-16  1.0733000147301168e-17
2925.689453  -8.2922000319222e-16  4.987000179979483e-16  8.292200263532772e-18
2928.434814  8.435600062914393e-16  4.562199922041651e-16  8.435600294524965e-18
2931.180176  -4.549100028116771e-16  4.191899881512528e-16  4.549100044660383e-18
2933.925537  1.0198999839320494e-15  2.532400025152836e-15  1.0198999640797147e-17
2936.670898  6.388300253577068e-16  1.3608999901453434e-15  6.388300154315394e-18
2939.416504  -1.214900017991333e-16  2.695999991992031e-16  1.214900017991333e-18
2942.161865  7.125600082514573e-16  2.5105000412411354e-16  7.125600148689022e-18
2944.907471  4.760599919881434e-16  2.516499946183452e-16  4.760600201122842e-18
2947.652832  -7.69610033059419e-17  2.7701000224046135e-16  7.696099792926792e-19
2950.398438  5.384299925097929e-16  1.7957999777786605e-16  5.3843001732521125e-18
2953.144043  7.389999828813227e-17  1.5785000279076742e-16  7.390000056287896e-19
2955.889648  2.9821998517239485e-17  1.4537000463437977e-16  2.9821998827432214e-19
2958.635254  4.265599953555329e-16  1.4344000035939144e-16  4.265600019729778e-18
2961.380859  1.2213000136523293e-16  1.2425999806000188e-16  1.2213000177882324e-18
2964.126465  -1.0310000330684618e-16  1.109699981780227e-16  1.030999983437625e-18
2966.87207  3.0732999657368226e-16  1.1540999930374193e-16  3.0733000236394655e-18
2969.617676  4.661300063717995e-17  1.0296999698433245e-16  4.661299753525265e-19
2972.363525  3.552099897551097e-16  1.0743000264598566e-16  3.5521000795308315e-18
2975.109131  3.7561001066612105e-16  9.839899691936442e-17  3.756100189379272e-18
2977.85498  2.006799987755545e-16  1.1110999684233608e-16  2.006799929852902e-18
2980.600586  4.822800196176277e-16  9.573800321089563e-17  4.822800047283767e-18
2983.346436  3.5436999776922943e-16  9.367899846501844e-17  3.5437000604103555e-18
2986.092285  1.7539000372048484e-16  1.2304000591815967e-16  1.753900004117624e-18
2988.838135  2.20430001308887e-16  9.557099875394362e-17  2.2043000544479006e-18
2991.583984  2.646800083250765e-16  8.638300076450471e-17  2.6467999095428365e-18
2994.329834  2.4331000234056096e-16  8.738099748227239e-17  2.4331000730364463e-18
2997.075684  3.9521000895845074e-16  8.68289966984586e-17  3.952099808343099e-18
2999.821533  9.375499981969981e-17  7.933399919489933e-17  9.375499775174828e-19
3002.567627  6.516599672353187e-17  8.11429968724385e-17  6.516600210020585e-19
3005.313477  3.463799889173388e-16  2.6259000746728573e-16  3.4637999967068678e-18
3008.059326  3.679700117099037e-16  8.633800213918183e-17  3.679700133642649e-18
3010.80542  5.185400177819266e-16  1.0116999903185786e-16  5.185400045470368e-18
3013.551514  3.435299877476241e-16  9.3013998192085e-17  3.4352999022916595e-18
3016.297363  2.6731999826343136e-16  2.697200131799172e-16  2.673199999177926e-18
3019.043457  2.604100093588492e-16  8.050400315796373e-17  2.6041000191422367e-18
3021.789551  2.0919000644772044e-16  7.386599785623389e-17  2.0919000644772044e-18
3024.535645  3.317699940661822e-16  7.55679980671781e-17  3.317700048195302e-18
3027.281738  2.9539000839094883e-16  7.424100184129603e-17  2.9539000177350393e-18
3030.027832  4.040700000565103e-16  7.392200129242618e-17  4.0406999509342665e-18
3032.773926  4.1496001149178324e-16  7.84850008665096e-17  4.149599932938098e-18
3035.520264  4.89909986527376e-16  7.901499864602948e-17  4.8991000141662705e-18
3038.266357  2.6724000658947503e-16  1.0153000126933074e-16  2.672399908730434e-18
3041.012451  1.8135999781185156e-16  6.535100063061303e-17  1.8135999036722605e-18
3043.758789  3.24609998093262e-16  6.87309995798476e-17  3.246099914758171e-18
3046.505127  2.722300100306481e-16  6.639700029368838e-17  2.7222999927730016e-18
3049.251221  3.5908000388177577e-16  6.645999836914042e-17  3.590800138079431e-18
3051.997559  3.5312999447400834e-16  6.588899890101751e-17  3.531299795847573e-18
3054.743896  2.6081999977509986e-16  6.653099693547707e-17  2.6081999398483558e-18
3057.490234  3.041700078150521e-16  6.449999721641847e-17  3.0417000698787147e-18
3060.236572  3.608699962575609e-16  6.141100040668005e-17  3.6086999129447725e-18
3062.98291  2.7840000977668526e-16  5.987200109852309e-17  2.7840000150487913e-18
3065.729248  4.33800009472189e-16  6.40980006736075e-17  4.337999830024094e-18
3068.475586  2.7582000035890786e-16  5.784000214528452e-17  2.7582000449481092e-18
3071.221924  1.7129999925554905e-16  5.679099816222437e-17  1.712999955332363e-18
3073.968506  4.026799925202864e-16  6.026200021372959e-17  4.0268000079209254e-18
