# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.147461  1.264000015765987e-09  1.2665000341874344e-12  1.264000015765987e-11
2501.521729  1.2634000512434795e-09  1.2615999824688862e-12  1.2633999749156466e-11
2502.89624  1.2662000337115842e-09  1.2650000404818007e-12  1.2661999920782208e-11
2504.270508  1.2699999940579687e-09  1.272899971191399e-12  1.2699999905885218e-11
2505.644775  1.253499970488292e-09  1.254600047982668e-12  1.2534999947744208e-11
2507.019287  1.256600046239953e-09  1.2597999900221257e-12  1.2566000323621651e-11
2508.393555  1.2405000360260487e-09  1.2490000353415631e-12  1.2404999770454506e-11
2509.767822  1.22099996779923e-09  1.239300003764987e-12  1.221000037188169e-11
2511.14209  1.1841999603134923e-09  1.2229000364433196e-12  1.1841999603134923e-11
2512.516602  1.1531999799530013e-09  1.202899975807914e-12  1.1532000181169177e-11
2513.890869  1.1727999682520363e-09  1.2135999670481734e-12  1.1727999647825893e-11
2515.265137  1.197000054631303e-09  1.2265999847771436e-12  1.1969999644256824e-11
2516.639404  1.1985999970320904e-09  1.2262000225957137e-12  1.1985999866237496e-11
2518.013672  1.1845000535970485e-09  1.2185000187667216e-12  1.1844999807386625e-11
2519.387939  1.1860999959978358e-09  1.2183999469062012e-12  1.1861000029367297e-11
2520.762207  1.2187000297814166e-09  1.2351000213892127e-12  1.2186999673313714e-11
2522.136719  1.2212999500604838e-09  1.2354999835706426e-12  1.2212999708771655e-11
2523.510986  1.2173999586195805e-09  1.2304999684117912e-12  1.2173999655584744e-11
2524.885254  1.2185999986868978e-09  1.2345000239069592e-12  1.2185999605229814e-11
2526.259521  1.2248999592401333e-09  1.2354000201303394e-12  1.2249000425068601e-11
2527.633789  1.2269000260189955e-09  1.2374000478779235e-12  1.2269000052023138e-11
2529.008057  1.2230000345780923e-09  1.2333000289424523e-12  1.2229999998836227e-11
2530.382324  1.216600042930338e-09  1.2298000074892346e-12  1.2165999978275277e-11
2531.756592  1.213400047106461e-09  1.2295000087481078e-12  1.2134000401675671e-11
2533.130615  1.2188999809481516e-09  1.2312000377545651e-12  1.2188999809481516e-11
2534.504883  1.22160004334404e-09  1.229599972188411e-12  1.2215999913023357e-11
2535.87915  1.221799994510775e-09  1.2292999734472843e-12  1.2218000049191158e-11
2537.253418  1.2215000122495212e-09  1.232799994900502e-12  1.2214999844939456e-11
2538.627686  1.2158000162187932e-09  1.2250000276312067e-12  1.215800030096581e-11
2540.001953  1.2155000339575395e-09  1.2269999469585735e-12  1.2155000096714108e-11
2541.376221  1.1954000012082133e-09  1.213400040167567e-12  1.195400028963789e-11
2542.750244  1.1885999962046867e-09  1.2140000376498206e-12  1.1885999996741337e-11
2544.124512  1.1922000053843362e-09  1.2164000275788345e-12  1.1921999845676545e-11
2545.498779  1.1917999920285638e-09  1.2108999783780328e-12  1.1917999573340943e-11
2546.873047  1.1894000229162316e-09  1.2099999821546525e-12  1.1893999674050804e-11
2548.24707  1.1888999784659404e-09  1.2107000514974264e-12  1.1889000200993038e-11
2549.621338  1.1876000183264068e-09  1.21260000738449e-12  1.1876000183264068e-11
2550.995605  1.1933000143571348e-09  1.2161000288377077e-12  1.1932999727237714e-11
2552.369629  1.1987000281266091e-09  1.2123000086433633e-12  1.1986999934321396e-11
2553.743896  1.1927000498346274e-09  1.2123999720836665e-12  1.1927000186096048e-11
2555.11792  1.1947000055911872e-09  1.2132000048667435e-12  1.1946999813050585e-11
2556.492188  1.1892999918217129e-09  1.2075999922256386e-12  1.1892999605966903e-11
2557.866455  1.1838999780522386e-09  1.2007000211797236e-12  1.1839000266244959e-11
2559.240479  1.1780000308547756e-09  1.1965000388039493e-12  1.1779999718741774e-11
2560.614746  1.1795000531833466e-09  1.2010999833611535e-12  1.1794999872638545e-11
2561.98877  1.1776000174990031e-09  1.2043000060732445e-12  1.177600031376791e-11
2563.362793  1.1722000037295288e-09  1.1957000060208722e-12  1.1722000106684227e-11
2564.737061  1.1726000170853013e-09  1.1981999593901893e-12  1.172600037901983e-11
2566.111084  1.1701000168784503e-09  1.1936999782732882e-12  1.170100041164579e-11
2567.485352  1.1759999640759133e-09  1.1962000400628225e-12  1.1760000091787237e-11
2568.859375  1.172899999346555e-09  1.1950000450983156e-12  1.1728999715909794e-11
2570.233398  1.1723000348240475e-09  1.1936999782732882e-12  1.1723000174768128e-11
2571.607666  1.1673000344103457e-09  1.190399992120894e-12  1.1673000240020048e-11
2572.981689  1.1673000344103457e-09  1.190799954302324e-12  1.1673000240020048e-11
2574.355713  1.1641999586586849e-09  1.1894000324572107e-12  1.1641999864142605e-11
2575.729736  1.1523000331692401e-09  1.1832000223338524e-12  1.1522999568414072e-11
2577.104004  1.13389997391522e-09  1.1722999957927693e-12  1.1339000051402426e-11
2578.478027  1.1426000146030901e-09  1.1761000159871138e-12  1.1425999903169615e-11
2579.852051  1.151600037552214e-09  1.181899955508825e-12  1.1515999959188505e-11
2581.226074  1.1473000327555383e-09  1.1800999630620645e-12  1.1472999633665992e-11
2582.600098  1.1470999705665008e-09  1.1850000147806128e-12  1.1471000364859929e-11
2583.974121  1.1427000456976089e-09  1.176199979427417e-12  1.1426999971253515e-11
2585.348145  1.1177999637013158e-09  1.1622000020347634e-12  1.1178000365597018e-11
2586.722168  1.074400013401089e-09  1.1355999690945695e-12  1.0744000307483237e-11
2588.096191  1.0948000284116688e-09  1.1509999767525536e-12  1.0948000318811157e-11
2589.470215  1.1133000077379052e-09  1.1634999604395735e-12  1.1132999903906704e-11
2590.844238  1.1040000025275276e-09  1.1568999881347852e-12  1.1039999643636111e-11
2592.218262  1.1153999945889836e-09  1.1663999844105377e-12  1.1153999598945141e-11
2593.592285  1.115999959111491e-09  1.1630999982581436e-12  1.1160000007448545e-11
2594.966309  1.1033000069105015e-09  1.1547000335065949e-12  1.1033000034410545e-11
2596.340332  1.1091000340357482e-09  1.1574999856170387e-12  1.1090999646468092e-11
2597.714355  1.101200020059423e-09  1.1541999994646446e-12  1.1012000339372108e-11
2599.088135  1.0562000163361063e-09  1.1346000094308861e-12  1.0562000059277654e-11
2600.462158  1.0006999673350947e-09  1.0966000243278762e-12  1.0006999569267538e-11
2601.836182  1.0676000083975623e-09  1.1423000132598782e-12  1.0676000014586684e-11
2603.210205  1.0944000150558963e-09  1.1512000120533772e-12  1.0944000046475555e-11
2604.583984  1.0908000058762468e-09  1.1471999565582092e-12  1.0908000197540346e-11
2605.958008  1.0991000332083445e-09  1.147900025900983e-12  1.0990999776971933e-11
2607.332031  1.1102000430085468e-09  1.1565999893936585e-12  1.1102000395390998e-11
2608.705811  1.1141999545216663e-09  1.1591000511831928e-12  1.1141999649300072e-11
2610.079834  1.1090000029412295e-09  1.1557999566105814e-12  1.1089999578384191e-11
2611.453613  1.110900038625573e-09  1.1575999490573419e-12  1.1109000004616565e-11
2612.827637  1.109599967463737e-09  1.1572999503162151e-12  1.1095999986887595e-11
2614.201416  1.1046999981445538e-09  1.153999964163821e-12  1.1047000120223416e-11
2615.575439  1.0966000330014936e-09  1.1485000233832365e-12  1.0965999809597893e-11
2616.949219  1.0978999931410272e-09  1.1497000183477435e-12  1.0978999827326863e-11
2618.323242  1.1041000336220463e-09  1.1524999704581873e-12  1.1040999711720012e-11
2619.697021  1.1062000204731248e-09  1.153999964163821e-12  1.1062000274120187e-11
2621.070801  1.0926000104660716e-09  1.1432999729235616e-12  1.0925999688327082e-11
2622.444824  1.094899948483885e-09  1.1455000359719691e-12  1.0949000386895058e-11
2623.818604  1.0884999568361309e-09  1.1399000233308643e-12  1.0885000366334108e-11
2625.192383  1.0906000547095118e-09  1.1397999514703439e-12  1.0906000061372545e-11
2626.566162  1.0908000058762468e-09  1.1382999577647102e-12  1.0908000197540346e-11
2627.940186  1.0896999969034482e-09  1.1372000346607236e-12  1.0897000315979177e-11
2629.313965  1.089199952453157e-09  1.1363000384373434e-12  1.0891999975559674e-11
2630.687744  1.0913999703987542e-09  1.137800032142977e-12  1.0913999738682012e-11
2632.061523  1.0934999572498327e-09  1.1378999955832803e-12  1.0935000301082187e-11
2633.435303  1.0859000365570637e-09  1.1331000157252524e-12  1.0859000330876167e-11
2634.809082  1.077600009224966e-09  1.1295000308317316e-12  1.0775999884082843e-11
2636.182861  1.0741000311398352e-09  1.1260000093785139e-12  1.0741000103231535e-11
2637.556641  1.0749999779235964e-09  1.125600047197084e-12  1.0749999848624903e-11
2638.93042  1.0708000042214394e-09  1.1247000509737037e-12  1.070799959118629e-11
2640.304199  1.0726000088112642e-09  1.1245999791131833e-12  1.0725999949334764e-11
2641.677979  1.0740000000453165e-09  1.1283000358672246e-12  1.0740000035147634e-11
2643.051758  1.069400012987387e-09  1.1239999816309298e-12  1.0694000372735157e-11
2644.425537  1.0698000263431595e-09  1.1251000131551336e-12  1.0697999777709022e-11
2645.799316  1.0721999954554917e-09  1.1259000459382107e-12  1.0721999676999161e-11
2647.172852  1.0734999555950253e-09  1.1239000181906267e-12  1.0734999694728131e-11
2648.546631  1.0720000442887567e-09  1.1210999576599656e-12  1.0720000408193098e-11
2649.92041  1.0619000123668343e-09  1.1177000080672683e-12  1.06189996032513e-11
2651.293945  1.0592999810654646e-09  1.1156999803196843e-12  1.059299956779336e-11
2652.667725  1.0560999852415875e-09  1.1145999487954805e-12  1.0560999991193754e-11
2654.041504  1.0576000075701586e-09  1.1121999588664666e-12  1.0576000145090525e-11
2655.415039  1.0602999589437445e-09  1.115999979060811e-12  1.0603000248632366e-11
2656.788818  1.053100051606748e-09  1.1132000269503672e-12  1.053099968340021e-11
2658.162354  1.0538999672959903e-09  1.1135999891317971e-12  1.0539000228071416e-11
2659.536133  1.0477000378372736e-09  1.1056999500019815e-12  1.0477000343678267e-11
2660.909668  1.046600028864475e-09  1.1046999903382981e-12  1.046599959475536e-11
2662.283447  1.0388000459826685e-09  1.100599971402827e-12  1.0388000355743277e-11
2663.656982  1.0402000372167208e-09  1.103799994114918e-12  1.040199957419441e-11
2665.030518  1.0333000011186755e-09  1.096199953726229e-12  1.0333000080575694e-11
2666.404297  1.0270999606376563e-09  1.0913999738682012e-12  1.0271000196182545e-11
2667.777832  1.0323000232403956e-09  1.096999986509306e-12  1.0323000267098426e-11
2669.151367  1.036900010298325e-09  1.1002999726617002e-12  1.0368999929510903e-11
2670.525146  1.0346999923527278e-09  1.0983000533343334e-12  1.0347000166388565e-11
2671.898682  1.0331000499519405e-09  1.0963999890270526e-12  1.0330999944407893e-11
2673.272217  1.0298000230335447e-09  1.094999958761722e-12  1.0298000299724386e-11
2674.645752  1.023800044741563e-09  1.0889000204988841e-12  1.02379996841373e-11
2676.019287  1.0170999598102526e-09  1.0829000456763493e-12  1.0171000326686386e-11
2677.392822  1.0180000176163162e-09  1.0865999940101734e-12  1.0180000072079753e-11
2678.766357  1.0014999940466396e-09  1.077900030517498e-12  1.0015000113938743e-11
2680.139893  1.0034999498031993e-09  1.0801999485859914e-12  1.003499974089328e-11
2681.513428  1.0138000439141592e-09  1.0827000103755258e-12  1.0137999814641141e-11
2682.886963  1.015999950837454e-09  1.0806000191876386e-12  1.0159999577763479e-11
2684.260498  1.0187000132333424e-09  1.0833999712980824e-12  1.018699968130532e-11
2685.634033  1.024699991525324e-09  1.088099987715807e-12  1.0247000296892406e-11
2687.007568  1.0127000349413606e-09  1.0801999485859914e-12  1.0126999933079972e-11
2688.380859  1.012600003846842e-09  1.080399983886815e-12  1.0125999864996071e-11
