# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.909912  1.691599926800791e-08  1.5415000005625235e-12  1.6916000544764387e-10
2502.28418  1.663400084339628e-08  1.5284999828335533e-12  1.6633999733173255e-10
2503.658691  1.6243999922949115e-08  1.5106999852465552e-12  1.624400058908293e-10
2505.032959  1.6175999206780034e-08  1.5065000028707809e-12  1.617599942882464e-10
2506.407227  1.57399995259766e-08  1.485499982571692e-12  1.5739999581487751e-10
2507.781738  1.5030000355409356e-08  1.451199945802506e-12  1.5029999467230937e-10
2509.156006  1.5775000861140143e-08  1.4869999762773256e-12  1.577499936233906e-10
2510.530273  1.5855000867759372e-08  1.48950003806686e-12  1.5855000645714767e-10
2511.904541  1.4956999194737364e-08  1.4468000365461253e-12  1.495699952780427e-10
2513.279053  1.4837000072986939e-08  1.4401999558211198e-12  1.483699968440888e-10
2514.65332  1.5227000105255684e-08  1.4587999861911949e-12  1.5227000216277986e-10
2516.027588  1.5276999221214282e-08  1.4594999471137515e-12  1.527700049797076e-10
2517.401855  1.520900028140204e-08  1.4557000353396243e-12  1.520899933771247e-10
2518.776123  1.490100043355369e-08  1.4401999558211198e-12  1.4900999878442178e-10
2520.150635  1.4504999867881452e-08  1.4214999620107416e-12  1.4504999978903754e-10
2521.524902  1.4221000377290238e-08  1.406699951835011e-12  1.4220999378089516e-10
2522.89917  1.413299965946635e-08  1.4018999719769831e-12  1.4133000325600165e-10
2524.273438  1.403599991789406e-08  1.3979000249020324e-12  1.4036000139938665e-10
2525.647705  1.3352000394206698e-08  1.3620999944272127e-12  1.335200006113979e-10
2527.021973  1.2463999610190513e-08  1.3154000458315274e-12  1.2464000664902386e-10
2528.39624  1.2721000253179682e-08  1.3291000244830542e-12  1.272100064175774e-10
2529.770508  1.2610000155177659e-08  1.322999977799999e-12  1.2610000543755717e-10
2531.144775  1.3256999942257153e-08  1.3562999464852843e-12  1.3256999664701397e-10
2532.519043  1.4851000429416672e-08  1.434199980998585e-12  1.4850999596749404e-10
2533.893311  1.4975000794947846e-08  1.4382999999340562e-12  1.4975000406369787e-10
2535.267578  1.3782000429785057e-08  1.3798000285739076e-12  1.378200054080736e-10
2536.641846  1.3534999787623292e-08  1.3676000436280145e-12  1.3534999510067536e-10
2538.015869  1.3115999841772918e-08  1.345199993063595e-12  1.311599995279522e-10
2539.390137  1.2293000395402487e-08  1.30199995750091e-12  1.2292999951313277e-10
2540.764404  1.2954999739633877e-08  1.3365000295709195e-12  1.2954999573100423e-10
2542.138672  1.35810003243364e-08  1.368200041110268e-12  1.3581000213314098e-10
2543.512939  1.366100033095563e-08  1.3713999554021417e-12  1.3661000108911026e-10
2544.886963  1.3868000081629361e-08  1.3807000247972878e-12  1.3867999804073605e-10
2546.26123  1.3385999864112819e-08  1.3564000183458047e-12  1.3386000641268936e-10
2547.635498  1.3271000298686886e-08  1.3517999653683832e-12  1.327099957704192e-10
2549.009766  1.2627999979031301e-08  1.3178999992008444e-12  1.2628000034542453e-10
2550.383789  1.1861000182022963e-08  1.2769999901268703e-12  1.1860999682422602e-10
2551.758057  1.3308000035294754e-08  1.3513000397466501e-12  1.3308000534895115e-10
2553.132324  1.5511000484025317e-08  1.458400024009765e-12  1.5510999429313443e-10
2554.506348  1.6282999837358147e-08  1.4937999838829374e-12  1.628299994838045e-10
2555.880615  1.6013000703196667e-08  1.4801000052314106e-12  1.6013000647685516e-10
2557.254639  1.5517999329972554e-08  1.4561999609613574e-12  1.5517999385483705e-10
2558.628906  1.5046000001461834e-08  1.4332000213349017e-12  1.5046000556573347e-10
2560.00293  1.4861999630966238e-08  1.4238999519397555e-12  1.4862000519144658e-10
2561.377197  1.4647000057266268e-08  1.4130000338188897e-12  1.4647000279310873e-10
2562.751221  1.4608000142857236e-08  1.4104000085890522e-12  1.4607999532234572e-10
2564.125488  1.394299964374568e-08  1.3775999655255e-12  1.3942999532723377e-10
2565.499512  1.497699919639217e-08  1.42730000995267e-12  1.4977000195592893e-10
2566.873779  1.5375000828043994e-08  1.4453000428404916e-12  1.5374999884354423e-10
2568.247803  1.5399999497844874e-08  1.446699964685605e-12  1.539999933131142e-10
2569.621826  1.600199972529026e-08  1.4736999598072287e-12  1.600199972529026e-10
2570.996094  1.6222999832393725e-08  1.4833000279435016e-12  1.6222999332793364e-10
2572.370117  1.5806000064344516e-08  1.4638000013500463e-12  1.5805999564744155e-10
2573.744141  1.5775999173683886e-08  1.4629999685669692e-12  1.5775999950840003e-10
2575.118408  1.5735000857830528e-08  1.4610000492396025e-12  1.5734999414540596e-10
2576.492432  1.5693000676719748e-08  1.458899949631498e-12  1.5692999677519026e-10
2577.866455  1.5462999769511043e-08  1.448300030251759e-12  1.5463000324622556e-10
2579.240479  1.5396999231143127e-08  1.445100007539668e-12  1.5397000341366152e-10
2580.614502  1.5835999178648308e-08  1.4649999963145532e-12  1.5836000566427089e-10
2581.988525  1.5893000693267822e-08  1.467799948424997e-12  1.5892999416511344e-10
2583.362793  1.5072000536520136e-08  1.4290000389591273e-12  1.5072000592031287e-10
2584.736816  1.5104999917525674e-08  1.4305999961050642e-12  1.510500058365949e-10
2586.11084  1.4912000523281677e-08  1.4210000363890085e-12  1.4911999413058652e-10
2587.484863  1.4785999979949338e-08  1.4151000250067769e-12  1.4786000201993943e-10
2588.858887  1.525899939736064e-08  1.437000041529246e-12  1.5258999619405245e-10
2590.23291  1.5483999860066433e-08  1.4475999609089851e-12  1.548400019313334e-10
2591.606934  1.5316999224523897e-08  1.4403000276816402e-12  1.5317000445769224e-10
2592.980957  1.5264999930764134e-08  1.437799965892106e-12  1.5265000374853344e-10
2594.354736  1.5079999471367955e-08  1.4288999670986069e-12  1.5079999748923711e-10
2595.72876  1.526399984186355e-08  1.437799965892106e-12  1.52639997863524e-10
2597.102783  1.548700012676818e-08  1.4480999949509354e-12  1.548700057085739e-10
2598.476807  1.413700001506868e-08  1.382400053803745e-12  1.4136999904046377e-10
2599.85083  1.2203999588678016e-08  1.2823000040268484e-12  1.2204000310322982e-10
2601.224854  1.3570000234608415e-08  1.3523999628506367e-12  1.3570000678697625e-10
2602.598633  1.531799931342448e-08  1.437000041529246e-12  1.5317999646491387e-10
2603.972656  1.563500084955649e-08  1.4521000504461035e-12  1.5635000238933827e-10
2605.34668  1.451299969090769e-08  1.3988000211254126e-12  1.451300052357496e-10
2606.720459  1.3092999573416364e-08  1.3294999866644841e-12  1.309300029506133e-10
2608.094482  1.2824999728877629e-08  1.3191999576056546e-12  1.282499939581072e-10
2609.468506  1.3642000418201405e-08  1.3653000171393037e-12  1.3642000029623347e-10
2610.842285  1.3556999967079264e-08  1.3534999943748405e-12  1.3556999967079264e-10
2612.216309  1.289299955686829e-08  1.3193999929064781e-12  1.2893000556069012e-10
2613.590088  1.3001000276346986e-08  1.3244999715056327e-12  1.3001000276346986e-10
2614.964111  1.3502999607339916e-08  1.347699946432912e-12  1.3503000106940277e-10
2616.337891  1.48800003429983e-08  1.4142999922236998e-12  1.4880000009931393e-10
2617.711914  1.5315999135623315e-08  1.434199980998585e-12  1.531599985726828e-10
2619.085693  1.4704999884429526e-08  1.4047999959479474e-12  1.4704999717896072e-10
2620.459473  1.469800015030387e-08  1.4048999593882505e-12  1.469799976172581e-10
2621.833496  1.493899937088372e-08  1.4151000250067769e-12  1.4939000037017536e-10
2623.207275  1.553799933162736e-08  1.4412000239050204e-12  1.5538000053272327e-10
2624.581055  1.552900030787896e-08  1.4394999948985632e-12  1.552900030787896e-10
2625.955078  1.4910000345480512e-08  1.409500012365672e-12  1.4909999623835546e-10
2627.328857  1.4563999783945292e-08  1.392099976960104e-12  1.4564000005989897e-10
2628.702637  1.4561000405421964e-08  1.3910000538561174e-12  1.4560999628265847e-10
2630.076416  1.413299965946635e-08  1.3700999969973315e-12  1.4133000325600165e-10
2631.450195  1.3228000028675524e-08  1.3256999664701397e-12  1.3228000639298187e-10
2632.824219  1.3472000404135542e-08  1.3372999539337793e-12  1.347199990453518e-10
2634.197998  1.5372000561342247e-08  1.4278000439946203e-12  1.5371999506630374e-10
2635.571777  1.660900039723856e-08  1.4830000292023748e-12  1.6609000286216258e-10
2636.945557  1.6674999159249637e-08  1.486300015354769e-12  1.6675000269472662e-10
2638.319336  1.6332000640773003e-08  1.4712000064379116e-12  1.633199964157228e-10
2639.693115  1.6393000734638008e-08  1.4726000367032421e-12  1.639299945788153e-10
2641.066895  1.698399998417699e-08  1.4991999612232187e-12  1.6984000317243897e-10
2642.44043  1.7167000265772003e-08  1.5079999965764146e-12  1.7166999766171642e-10
2643.814209  1.7505000116102565e-08  1.5219999739690682e-12  1.7505000227124867e-10
2645.187988  1.7628000392733156e-08  1.5266000269464897e-12  1.7628000448244308e-10
