# FILENAME                  STAR_NAME   STAR_RA      STAR_DEC     SPEC_SRC     IS_FLUX IS_TELLURIC
hr9087.dat                  HR9087      00:01:49.45  -03:01:39.0  Bessell99    1       0          
hd2811_stis_006.txt         HD2811      00:31:18.490 -43:36:23.00 CALSPEC      1       1          
wdfs0122_30_stis_001.txt    WDFS0122-30 01:22:00.700 -30:52:03.75 CALSPEC      1       1          
hd8724.tab                  HD8724      01:26:17.59  +17:07:35.1  Bessell99    1       1          
hd009051_stis_009.txt       HD9051      01:28:46.50  -24:20:25.4  CALSPEC      1       1          
ltt1020.dat                 LTT1020     01:54:50.27  -27:28:35.7  Oke90        1       0          
hd14943_stis_006.txt        HD14943     02:22:54.675 -51:05:31.66 CALSPEC      1       1          
ksi2ceti_stis_008.txt       HR718       02:28:09.56  +08:27:36.2  CALSPEC      1       1          
wd0227_050_stiswfc_003.txt  WD0227+050  02:30:16.628 +05:15:50.70 CALSPEC      1       1          
hd16031.tab                 HD16031     02:34:11.05  -12:23:03.4  Bessell99    1       1          
hd19445.tab                 HD19445     03:08:25.59  +26:19:51.4  Bessell99    1       1          
wd0308_565_stis_009.txt     WD0308-565  03:09:47.918 -56:23:49.41 CALSPEC      1       1          
eg21.dat                    EG21        03:10:31.02  -68:36:03.4  Oke90        1       0          
wd0320_539_stis_005.txt     WD0320-539  03:22:14.820 -53:45:16.47 CALSPEC      1       1          
c26202_stiswfcnic_007.txt   C26202      03:32:32.843 -27:51:48.58 CALSPEC      1       1          
hd022049.dat                HD022049    03:32:55.84  -09:27:29.7  STIS         1       1          
hd022484.dat                HD022484    03:36:52.38  +00:24:06.0  STIS         1       1          
ltt1788.dat                 LTT1788     03:48:22.61  -39:08:37.0  Oke90        1       0          
hz4_stis_009.txt            HZ4         03:55:21.988 +09:47:18.13 CALSPEC      1       1          
hd26169msb.tab              HD26169     04:00:52.44  -75:36:11.4  Bessell99    1       1          
hd26297.tab                 HD26297     04:09:03.42  -15:53:27.1  Bessell99    1       1          
bd21d0607_stis_007.txt      BD+21_0607  04:14:35.516 +22:21:04.25 CALSPEC      1       1          
hd028978.dat                HD028978    04:34:08.27  +05:34:07.0  STIS         1       1          
hd029391.dat                HD029391    04:37:36.13  -02:28:24.8  STIS         1       1          
hd29574.tab                 HD29574     04:38:55.73  -13:20:48.1  Bessell99    1       1          
hr1544.dat                  HR1544      04:50:36.72  +08:54:00.7  Bessell99    1       0          
hd031128_stis_007.txt       HD031128    04:52:09.91  -27:03:50.9  CALSPEC      1       1          
wdfs0458_56_stis_001.txt    WDFS0458-56 04:58:22.855 -56:37:34.50 CALSPEC      1       1          
lamlep_stis_008.txt         LAMBDA_LEP  05:19:34.524 -13:10:36.44 CALSPEC      1       1          
hd36702.tab                 HD36702     05:31:52.23  -38:33:24.0  Bessell99    1       1          
sigori_stis_001.txt         SIGMA_ORI   05:38:44.765 -02:36:00.28 CALSPEC      1       1          
hd37962_stis_011.txt        HD37962     05:40:51.966 -31:21:03.99 CALSPEC      1       1          
hd37725_stiswfc_006.txt     HD37725     05:41:54.370 +29:17:50.96 CALSPEC      1       1          
mucol_stis_008.txt          MU_COL      05:45:59.895 -32:18:23.16 CALSPEC      1       1          
hd38949_stis_009.txt        HD38949     05:48:20.059 -24:27:49.85 CALSPEC      1       1          
gd71_stiswfcnic_004.txt     GD71        05:52:27.620 +15:53:13.23 CALSPEC      1       1          
ltt2415.dat                 LTT2415     05:56:24.74  -27:51:32.4  Oke90        1       0          
