# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2900.329833984375  -2.3901999222095474e-15  1.1893999587653443e-15  2.3901999222095474e-17
2903.074951  -6.385599806662103e-16  8.634699921726845e-16  6.385599823205715e-18
2905.820312  -6.147700015513892e-16  9.040900394934157e-16  6.1477001974936264e-18
2908.56543  -2.2358999668496208e-17  1.0295999934857689e-15  2.235899956509863e-19
2911.310547  -2.181399947964258e-15  6.149600016293701e-16  2.181400014138707e-17
2914.055908  2.7232999300564863e-17  5.626299885106443e-16  2.7233001058323665e-19
2916.801025  3.6122000615323416e-16  5.071400131030678e-16  3.6122001277067906e-18
2919.546387  -1.3940999759085677e-15  4.3528999336596853e-16  1.3940999295864534e-17
2922.291748  -1.5635999507418626e-15  4.006799889131414e-16  1.563599990446532e-17
2925.037109  -8.841900062493007e-16  3.667300084146826e-16  8.841899830882436e-18
2927.782471  3.677100056823211e-17  3.5093999078888234e-16  3.6771000981822417e-19
2930.527832  3.938800084125839e-16  4.267399898568244e-16  3.938799984864165e-18
2933.273193  1.2453000039985103e-15  1.3422000437688102e-15  1.2452999808374531e-17
2936.018555  3.8512999924876935e-16  5.142700188156993e-16  3.8512999924876935e-18
2938.763916  -4.478900055030703e-16  1.8049999467259243e-16  4.478900121205152e-18
2941.509521  2.092800036983662e-17  1.666100042963816e-16  2.0928000369836621e-19
2944.254883  1.4587000553616602e-16  1.72649997719905e-16  1.4587000264103388e-18
2947.000488  1.1069000084939595e-16  1.724299941467455e-16  1.1069000084939595e-18
2949.746094  4.922700056068837e-17  1.2418000638604555e-16  4.922700200825444e-19
2952.491455  6.819499977780304e-17  1.0753999781512052e-16  6.819499791664667e-19
2955.237061  4.099100142951429e-17  1.1126999342513853e-16  4.099099987855064e-19
2957.982666  -8.276900234614623e-17  1.0363000108636606e-16  8.276900007139955e-19
2960.728271  3.4314998759166215e-17  8.047499889696517e-17  3.4315000930515323e-19
2963.473877  -8.941899845803564e-17  7.604700181629531e-17  8.941899969880656e-19
2966.219482  -1.0359999759118754e-16  7.35649967574932e-17  1.0359999800477784e-18
2968.965332  -1.2202000619609808e-16  6.622300119747663e-17  1.2201999709711134e-18
