# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.548096  5.395100124571013e-14  2.4038998860379977e-16  5.395100124571013e-16
2502.097412  5.365300150233891e-14  2.3910001036469067e-16  5.365299917299831e-16
2503.646484  5.396099962261952e-14  2.386200073813935e-16  5.396100152844365e-16
2505.195557  5.439900035964472e-14  2.420999893056286e-16  5.439900226546885e-16
2506.744873  5.399599902400007e-14  2.4029001224624416e-16  5.399599987103302e-16
2508.293945  5.329700033087151e-14  2.375999944244421e-16  5.329700181317917e-16
2509.843262  5.2896001381114166e-14  2.376499958381097e-16  5.289600053408122e-16
2511.392334  5.354399852642265e-14  2.386399920649928e-16  5.354400191455444e-16
2512.94165  5.451699882546082e-14  2.437099871801222e-16  5.45169992489773e-16
2514.490723  5.4041999689299555e-14  2.4035999834351104e-16  5.404199905402484e-16
2516.040039  5.339399915585928e-14  2.3853001013074773e-16  5.339399767355162e-16
2517.589355  5.3055999128586925e-14  2.3806001272414e-16  5.305599976386164e-16
2519.138428  5.254999858655615e-14  2.3507999199702176e-16  5.254999816303968e-16
2520.687744  5.24669995221206e-14  2.3736999850948297e-16  5.24669995221206e-16
2522.237061  5.224900034655165e-14  2.347200029944387e-16  5.224899971127694e-16
2523.786377  5.274599862241901e-14  2.3555999498031893e-16  5.274600158703432e-16
2525.335693  5.256500123411792e-14  2.3782999033940125e-16  5.256500123411792e-16
2526.88501  5.2046000430412687e-14  2.3360999278684152e-16  5.204599767755561e-16
2528.434326  5.2200001184618885e-14  2.3560999639398654e-16  5.219999885527828e-16
2529.983643  5.160899919226525e-14  2.3359000810324224e-16  5.160899749819935e-16
2531.532959  5.1656998855320255e-14  2.319200032383916e-16  5.165699779652907e-16
2533.082275  5.187899941453203e-14  2.349700100627767e-16  5.18789998380485e-16
2534.631592  5.1669999116994714e-14  2.3106000009913245e-16  5.166999975226942e-16
2536.180908  5.199000138820381e-14  2.360199868102372e-16  5.198999821183026e-16
2537.730225  5.140900116089135e-14  2.3345000943892887e-16  5.140900243144077e-16
2539.279541  5.112099979442952e-14  2.2857999350869027e-16  5.112100064146247e-16
2540.829102  5.0656998534055406e-14  2.3320000237059084e-16  5.065700128691248e-16
2542.378418  5.104300161251456e-14  2.3027998863382965e-16  5.104299949493219e-16
2543.927734  5.09770008052645e-14  2.3076999719381626e-16  5.097699974647332e-16
2545.477295  5.086300033495944e-14  2.317300031604106e-16  5.086299969968473e-16
2547.026611  5.0389000697675934e-14  2.286400004990473e-16  5.038900006240122e-16
2548.575928  5.0397000076829804e-14  2.2871999217300364e-16  5.039699922979686e-16
2550.125488  5.048500002378595e-14  2.3130000159078104e-16  5.048500065906066e-16
2551.674805  4.9951999459528496e-14  2.269599900575072e-16  4.995199988304497e-16
2553.224365  5.033099926957975e-14  2.297599898135543e-16  5.033099948133799e-16
2554.773926  5.0639000777992146e-14  2.3047999428850007e-16  5.063900183678333e-16
2556.323242  5.0221000182917516e-14  2.284399948443769e-16  5.022100166522517e-16
2557.872803  4.9411999014994934e-14  2.276900001091424e-16  4.941200049730259e-16
2559.422363  4.999100024455187e-14  2.282899906033741e-16  4.999100045631011e-16
2560.97168  4.956699926807889e-14  2.272700041162023e-16  4.956700223269421e-16
2562.52124  4.973499978283731e-14  2.269099886438396e-16  4.973500062987026e-16
2564.070801  4.986700139733742e-14  2.2880001031673957e-16  4.9867000126788e-16
2565.620361  4.978999932616843e-14  2.271800068655565e-16  4.978999953792666e-16
2567.169922  4.935199858914323e-14  2.276100084351861e-16  4.935199880090147e-16
2568.719482  4.9522001489788955e-14  2.2706999846153187e-16  4.95219983134154e-16
2570.269043  4.904900135138321e-14  2.2426999870548477e-16  4.904899923380084e-16
2571.818604  4.9270998522463194e-14  2.2730999995318045e-16  4.927100127532027e-16
2573.368164  4.928800016778048e-14  2.2742998746411495e-16  4.928800016778048e-16
2574.917725  4.891799923576086e-14  2.247399961120925e-16  4.891800029455204e-16
2576.467285  4.889199871241194e-14  2.2590000773335726e-16  4.889200167702726e-16
2578.016846  4.874500122661364e-14  2.253200019227249e-16  4.874499910903127e-16
2579.566406  4.847299861845955e-14  2.236399914811848e-16  4.847300094780016e-16
2581.115967  4.832800013041677e-14  2.2426999870548477e-16  4.832799949514206e-16
2582.665771  4.820099939843725e-14  2.2311999266090945e-16  4.820099749261312e-16
2584.215332  4.806099840478327e-14  2.245899918710897e-16  4.806099882829974e-16
2585.764893  4.7266999884422456e-14  2.2155999620008344e-16  4.72670007314554e-16
2587.314697  4.760900129533764e-14  2.2245999517632074e-16  4.760900087182117e-16
2588.864258  4.791400091898497e-14  2.218399935287102e-16  4.791400155425968e-16
2590.413818  4.7577000390590374e-14  2.2240999376265313e-16  4.757699890828272e-16
2591.963623  4.7115001516103566e-14  2.2067000280053559e-16  4.711500066907062e-16
2593.513184  4.7421000638628655e-14  2.2067999514233523e-16  4.742100190917808e-16
2595.062988  4.6741998699318874e-14  2.19989994162568e-16  4.674199912283535e-16
2596.612793  4.682999864627502e-14  2.206500048820465e-16  4.683000055209915e-16
2598.162354  4.6882999191850613e-14  2.1970999683394124e-16  4.688299834481767e-16
2599.712158  4.623299966065482e-14  2.1951000441416062e-16  4.623300114296248e-16
2601.261963  4.6568001191293895e-14  2.1889000276655008e-16  4.656799737964563e-16
2602.811523  4.709700037190852e-14  2.2101999946131902e-16  4.709700121894147e-16
2604.361328  4.639599929289265e-14  2.1861000543792333e-16  4.639600204574973e-16
2605.911133  4.7135001658054135e-14  2.2200000334640245e-16  4.713500123453766e-16
2607.460938  4.6834000029917847e-14  2.1965999542027364e-16  4.6833997488819e-16
2609.010742  4.618599949647757e-14  2.1735000422421315e-16  4.61860014023017e-16
2610.560547  4.64620001001427e-14  2.2041999573219756e-16  4.64620017942086e-16
2612.110352  4.6710001182703395e-14  2.1956999816962787e-16  4.671000245325282e-16
2613.660156  4.639499979401489e-14  2.1927000292251204e-16  4.639500148808078e-16
2615.209961  4.625299980260539e-14  2.1970999683394124e-16  4.625300170842952e-16
2616.759766  4.68279996485195e-14  2.20430001308887e-16  4.682799943676126e-16
2618.30957  4.619600126151875e-14  2.1965999542027364e-16  4.619600168503523e-16
2619.859375  4.611700019259424e-14  2.190399937726631e-16  4.6116999980836e-16
2621.40918  4.610399993091978e-14  2.181399947964258e-16  4.610399802509565e-16
2622.959229  4.618200150096653e-14  2.1939999601013597e-16  4.618199917162593e-16
2624.509033  4.58050006886708e-14  2.1721000555989978e-16  4.58050006886708e-16
2626.058838  4.566400019613906e-14  2.169000047360945e-16  4.566400146668848e-16
2627.608887  4.60890006714898e-14  2.2015000398026025e-16  4.608900024797333e-16
2629.158691  4.59639989372658e-14  2.1885999927137155e-16  4.596399936078227e-16
2630.708496  4.5724000621990765e-14  2.1956000582782823e-16  4.572399786913369e-16
2632.258545  4.5871001495920855e-14  2.171199950743642e-16  4.587100043712967e-16
2633.80835  4.549099879886005e-14  2.1764999947132899e-16  4.549100028116771e-16
2635.358398  4.5308998523549415e-14  2.1794000237664518e-16  4.530899937058236e-16
2636.908447  4.5178999294936614e-14  2.155599986135382e-16  4.517900098900251e-16
2638.458252  4.522699895799162e-14  2.160000057598572e-16  4.522700128733223e-16
2640.008301  4.509799922825658e-14  2.1581000568187623e-16  4.50979981694654e-16
2641.558105  4.43730000117791e-14  2.153899964540463e-16  4.43729988471088e-16
2643.108154  4.4575000429040307e-14  2.1414000081702557e-16  4.457499767618323e-16
2644.658203  4.469600077962148e-14  2.152400054479333e-16  4.469600162665443e-16
2646.208252  4.453500014513917e-14  2.161699946844593e-16  4.453500183920506e-16
2647.758301  4.424900116456465e-14  2.136099964200608e-16  4.424900116456465e-16
2649.30835  4.451300100543308e-14  2.162899954302836e-16  4.451300015840013e-16
2650.858154  4.411400105343126e-14  2.1322999626409883e-16  4.4113999994640075e-16
2652.408203  4.406700088925401e-14  2.1415000639371501e-16  4.40670002539793e-16
2653.958252  4.4327998845357375e-14  2.146599996373009e-16  4.4328000221785914e-16
2655.508301  4.425000066344241e-14  2.1396999865753367e-16  4.4249999075255634e-16
2657.05835  4.385600159396118e-14  2.1490999347074913e-16  4.3855999052862336e-16
2658.608643  4.4319999466203505e-14  2.1358999850157171e-16  4.432000105439028e-16
2660.158691  4.397200106202176e-14  2.1548999928138152e-16  4.397200021498881e-16
2661.70874  4.3764000263362204e-14  2.134899956742365e-16  4.376400068687868e-16
2663.258789  4.3329001411102075e-14  2.1149999764378093e-16  4.332899897588235e-16
2664.808838  4.393599877363166e-14  2.1612999884748114e-16  4.3936001314730504e-16
2666.359131  4.358100048917381e-14  2.124400056918862e-16  4.3580999218624386e-16
2667.90918  4.3471001402511575e-14  2.1301000592582913e-16  4.3470998755533615e-16
2669.459229  4.3771999642516074e-14  2.1552999511835968e-16  4.377199985427431e-16
2671.009521  4.314399925102637e-14  2.1248000152886435e-16  4.314399903926813e-16
2672.55957  4.300199925961687e-14  2.1284000376633723e-16  4.300199925961687e-16
2674.109863  4.300700014213746e-14  2.132000060038101e-16  4.300699940098363e-16
2675.659912  4.295900047908245e-14  2.1206000553592423e-16  4.295899910265391e-16
2677.210205  4.295499909543962e-14  2.1137999689795664e-16  4.2954999518956096e-16
2678.760254  4.281899948542847e-14  2.1389999932537699e-16  4.2819000438340537e-16
2680.310547  4.28110001062746e-14  2.1044999442654082e-16  4.2811001270944905e-16
2681.86084  4.298799949906465e-14  2.1234999520635062e-16  4.298799939318553e-16
2683.410889  4.2628999830963965e-14  2.1448000513600937e-16  4.2629000360359557e-16
2684.961182  4.2610998686768917e-14  2.1026999992524928e-16  4.2611000910230403e-16
2686.511475  4.2790999964324034e-14  2.1327999767776644e-16  4.279100070547786e-16
2688.061768  4.2203999355613225e-14  2.1234999520635062e-16  4.220399893209675e-16
2689.612061  4.2351000229543315e-14  2.107599952503461e-16  4.2350998853114775e-16
2691.162109  4.2063998361959246e-14  2.1220999654203725e-16  4.2064000267783377e-16
2692.712402  4.210399864586038e-14  2.1104000581386264e-16  4.21039987517395e-16
2694.262695  4.2222999998686034e-14  2.1099999674199468e-16  4.222299893989485e-16
2695.812988  4.186499982946311e-14  2.103500048340954e-16  4.186500046473782e-16
2697.363281  4.2087000388674883e-14  2.1156000463413798e-16  4.208699985927929e-16
2698.913574  4.14030009549763e-14  2.085200033864423e-16  4.140299957854776e-16
2700.464111  4.195100077866373e-14  2.1218000628174852e-16  4.1951000778663733e-16
2702.014404  4.133999864435953e-14  2.0994999352475456e-16  4.1339998856117764e-16
2703.564697  4.185199956778865e-14  2.101800026746035e-16  4.1852001155975426e-16
2705.11499  4.1904000614486486e-14  2.1351999916941503e-16  4.190400103800296e-16
2706.665283  4.130900062662181e-14  2.080599983216342e-16  4.1309000097226216e-16
2708.21582  4.1221000679665665e-14  2.0881999863355812e-16  4.1221001314940375e-16
2709.766113  4.1366998666586205e-14  2.1120999473846474e-16  4.1367000678289455e-16
2711.316406  4.1229000058819534e-14  2.0916999529434156e-16  4.122900048233601e-16
2712.866943  4.0958000337674993e-14  2.0919999878952009e-16  4.0958000231795875e-16
2714.417236  4.08399984837271e-14  2.0783000240667506e-16  4.084000060130947e-16
2715.967773  4.087000039071885e-14  2.0914999737585248e-16  4.0869998802532074e-16
2717.518066  4.070800025735878e-14  2.079399975758099e-16  4.070800110439173e-16
2719.068604  4.0810999463744904e-14  2.0937000094901198e-16  4.081100031077785e-16
2720.619141  4.020299921420577e-14  2.0843000613579652e-16  4.0203000061238715e-16
2722.169434  4.070499837259371e-14  2.0781999682998562e-16  4.0704999431384896e-16
2723.719971  4.047999931674866e-14  2.0919999878952009e-16  4.048000101081455e-16
2725.270508  4.040699862922249e-14  2.0835999356875004e-16  4.040700000565103e-16
2726.820801  4.0397000252313103e-14  2.0859999506039862e-16  4.039699972291751e-16
2728.371338  4.026100064230195e-14  2.089099958842039e-16  4.0261000642301953e-16
2729.921875  3.972299919552391e-14  2.065000018608082e-16  3.9722999724919503e-16
2731.472412  3.9950000637256275e-14  2.0833000330846131e-16  3.9949999260827736e-16
2733.022949  3.9648999009119987e-14  2.067200054339677e-16  3.9649000809065e-16
2734.573486  3.9795999883050076e-14  2.080599983216342e-16  3.9796000730083023e-16
2736.124023  3.963599874744553e-14  2.0838999706392856e-16  3.9635998853324646e-16
2737.674561  3.960099934606498e-14  2.0546999656205717e-16  3.9601000510735283e-16
2739.225098  3.978200012249786e-14  2.0893999937938242e-16  3.9782000863651686e-16
2740.775635  3.9539999421335514e-14  2.079399975758099e-16  3.954000090364317e-16
2742.326172  3.906900166881708e-14  2.052099971519195e-16  3.906900029238854e-16
2743.876709  3.933400100856327e-14  2.0867999996924475e-16  3.9333999843892966e-16
2745.427246  3.975099871662835e-14  2.074000008370455e-16  3.975099945778218e-16
2746.978027  3.942699844990821e-14  2.0847000197277469e-16  3.942699876754557e-16
2748.528564  3.942800133691776e-14  2.0954000310850388e-16  3.942799932521451e-16
2750.079102  3.928199996186543e-14  2.0586000229470857e-16  3.9281999961865433e-16
2751.629883  3.906099890153142e-14  2.0859999506039862e-16  3.9061001124992905e-16
2753.18042  3.9087998923758097e-14  2.0669000193878918e-16  3.9088000300186636e-16
2754.730957  3.886000137127976e-14  2.0575999946737336e-16  3.886000020660946e-16
2756.281738  3.7981001400596084e-14  2.0475999766380085e-16  3.798099970653019e-16
2757.832275  3.8678001095969125e-14  2.0569000013521667e-16  3.867799929602411e-16
2759.383057  3.8411998869213385e-14  2.0534999581623287e-16  3.841199918685074e-16
2760.933838  3.8405998487815035e-14  2.0764999467049372e-16  3.8406001134792995e-16
2762.484375  3.906599978405201e-14  2.0772999957933985e-16  3.9066001266359666e-16
2764.035156  3.8962001078788125e-14  2.083500012269504e-16  3.896199885532664e-16
