# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.106445  2.0312999329460957e-13  1.6270000492064917e-15  2.031299992238402e-15
2501.655518  1.9821999402112878e-13  1.6171999838858779e-15  1.982200033384912e-15
2503.20459  1.9396000105510736e-13  1.5913999955872223e-15  1.9395999936104146e-15
2504.753662  2.009600033039613e-13  1.6040999840818797e-15  2.009600066920931e-15
2506.302734  1.9314000539952941e-13  1.6038999784272093e-15  1.9314000794062825e-15
2507.851807  1.936199952538159e-13  1.5660999684856836e-15  1.936200003360136e-15
2509.400879  1.9439999740175629e-13  1.5886999721887308e-15  1.943999906254927e-15
2510.949951  1.948499955134464e-13  1.5911000400447759e-15  1.9484999805454524e-15
2512.499268  1.9681000264833853e-13  1.565199995979226e-15  1.9680998994284432e-15
2514.04834  1.9253000615223476e-13  1.5749000055329454e-15  1.925299959878394e-15
2515.597412  1.9355999821609599e-13  1.573200010407806e-15  1.935600092275243e-15
2517.146729  1.9402999985786845e-13  1.585299981938452e-15  1.9403000663413203e-15
2518.695801  1.9491000610369347e-13  1.5727999990984651e-15  1.949100103388582e-15
2520.244873  1.927600060906004e-13  1.5586999710211148e-15  1.927600077846663e-15
2521.794189  1.9178999751193193e-13  1.569299953081292e-15  1.9179000682929435e-15
2523.343262  1.9399999456274492e-13  1.5643000234727682e-15  1.9400000049197555e-15
2524.892578  1.9245000558443248e-13  1.5690999474266215e-15  1.9244999372597122e-15
2526.441895  1.9196000041257766e-13  1.570600042776209e-15  1.919600063418083e-15
2527.990967  1.9254999612978996e-13  1.5624999725807344e-15  1.9255000714121827e-15
2529.540283  1.912800023625219e-13  1.5679999692654934e-15  1.9128000829175254e-15
2531.0896  1.8826999963368618e-13  1.5459000326386815e-15  1.8826999201038966e-15
2532.638672  1.8944000285559676e-13  1.545799976871787e-15  1.8943999862043202e-15
2534.187988  1.9199999392021522e-13  1.5766999505458608e-15  1.9200000747274237e-15
2535.737305  1.8866000070765637e-13  1.516199987013512e-15  1.886600083309529e-15
2537.286621  1.9120000179471963e-13  1.5679000193777174e-15  1.9120000602988437e-15
2538.835938  1.900099950427267e-13  1.544799948598435e-15  1.900100094422868e-15
2540.385254  1.894199993255144e-13  1.549700034198301e-15  1.894200086428768e-15
2541.93457  1.8913000234942884e-13  1.5673999523014822e-15  1.8913000573756063e-15
2543.483887  1.8744000221306706e-13  1.5087999895489431e-15  1.8744000560119885e-15
2545.033203  1.8577999381930166e-13  1.5561999532772938e-15  1.8577999043116987e-15
2546.58252  1.8694999704121223e-13  1.5356000061209508e-15  1.8694999704121223e-15
2548.131836  1.872800010774625e-13  1.511700018602105e-15  1.872800010774625e-15
2549.681152  1.852399933747681e-13  1.5533999799910263e-15  1.8524000692729525e-15
2551.230469  1.9184999454965185e-13  1.5419999753121675e-15  1.9184999793778364e-15
2552.779785  1.8653000422464566e-13  1.5292999868175101e-15  1.865299957543162e-15
2554.329346  1.9021000323849596e-13  1.5654000016338964e-15  1.9020999392113354e-15
2555.878662  1.8843000076929073e-13  1.525200029715444e-15  1.88429996534126e-15
2557.427979  1.8565999974386183e-13  1.5353000505785044e-15  1.856600082141913e-15
2558.977539  1.8785999502963363e-13  1.5400999745323577e-15  1.878600068880949e-15
2560.526855  1.8164999669376125e-13  1.4838999737567453e-15  1.8165000601112367e-15
2562.076416  1.8378000672929912e-13  1.5324000215253424e-15  1.837799974119367e-15
2563.625732  1.8629000252123884e-13  1.5244000070967624e-15  1.8629001014453537e-15
2565.175293  1.872200040397426e-13  1.5529000187939094e-15  1.8722000996897322e-15
2566.724609  1.843999941891078e-13  1.520100044340026e-15  1.8440000435350316e-15
2568.27417  1.8701999584397333e-13  1.529600048239075e-15  1.870200043143028e-15
2569.823486  1.8517999633704818e-13  1.5142999862337021e-15  1.851799946429823e-15
2571.373047  1.844500030143137e-13  1.5165000484350767e-15  1.8445000047321485e-15
2572.922607  1.867799941405665e-13  1.520100044340026e-15  1.867799975286983e-15
2574.472168  1.8820000083092508e-13  1.5404999858416985e-15  1.8820000591312277e-15
2576.021484  1.8332999506508185e-13  1.513200008072574e-15  1.8332998998288417e-15
2577.571045  1.8314000218688092e-13  1.536299972972738e-15  1.8314000049281503e-15
2579.120605  1.8422000307594805e-13  1.4933999776557943e-15  1.8422000985221162e-15
2580.670166  1.888300036083021e-13  1.5470999606875856e-15  1.8883000784346684e-15
2582.219727  1.8293999399111166e-13  1.5180000379055457e-15  1.829399948381446e-15
2583.769287  1.7879999510053007e-13  1.4948999671262632e-15  1.7879999425349713e-15
2585.318848  1.8287999695339174e-13  1.5210999667342596e-15  1.8288000372965532e-15
2586.868408  1.7904999856897807e-13  1.5056000049533348e-15  1.7904999602787923e-15
2588.417969  1.8241999707666046e-13  1.504700032446877e-15  1.824200013118252e-15
2589.967529  1.8176000255668706e-13  1.5034000486310786e-15  1.8175999323932464e-15
2591.51709  1.8185000488953051e-13  1.500799975120363e-15  1.818499904899704e-15
2593.06665  1.8200000426009388e-13  1.5142000363459261e-15  1.8200000002492915e-15
2594.616455  1.7994000657984427e-13  1.504799982334653e-15  1.79939994721383e-15
2596.166016  1.7794000593731457e-13  1.4781999714173159e-15  1.7794000170214984e-15
2597.715576  1.8124999385474988e-13  1.5043999710253123e-15  1.8124999470178283e-15
2599.265381  1.815400043833626e-13  1.5138000250365853e-15  1.81539997607099e-15
2600.814941  1.7891000096345588e-13  1.4969000236729675e-15  1.7891000265752178e-15
2602.364502  1.7843999932168342e-13  1.4749999868217075e-15  1.7844000525091405e-15
2603.914307  1.8181999959440698e-13  1.5070999944238037e-15  1.818200055236376e-15
2605.463867  1.7907000209906043e-13  1.5013000421965983e-15  1.790700071812581e-15
2607.013672  1.8094999511362314e-13  1.4961000010542858e-15  1.8094999680768904e-15
2608.563477  1.7893000449353824e-13  1.5034000486310786e-15  1.7892999263507698e-15
2610.113037  1.7926999674230254e-13  1.5108999959834233e-15  1.7926999166010486e-15
2611.662842  1.7771999421146295e-13  1.4741000143152498e-15  1.777200060699242e-15
2613.212646  1.8022000179088865e-13  1.487200014119248e-15  1.802200026379216e-15
2614.762207  1.8118999681702996e-13  1.5153999643948302e-15  1.8119000359329354e-15
2616.312012  1.7885000392573597e-13  1.501100036541928e-15  1.788499903732088e-15
2617.861816  1.7971999485399265e-13  1.4939999946198055e-15  1.797199990891574e-15
2619.411621  1.7886999390329117e-13  1.5060000162626756e-15  1.788700015265877e-15
2620.961426  1.7508000257904222e-13  1.4823000343985003e-15  1.7507999495574569e-15
2622.510986  1.7840999402655988e-13  1.5003999638110222e-15  1.7840999910875757e-15
2624.060791  1.790800038641016e-13  1.5058999604957812e-15  1.790800021700357e-15
2625.610596  1.7746000253050093e-13  1.4939999946198055e-15  1.7745999871885266e-15
2627.1604  1.7718999553197057e-13  1.4903999987148564e-15  1.7718999637900351e-15
2628.710449  1.7633000636875507e-13  1.4798000166546792e-15  1.7633000382765622e-15
2630.260254  1.7707000145653073e-13  1.4882999922803761e-15  1.770700035741131e-15
2631.810059  1.7686000504824745e-13  1.4954000342024985e-15  1.7686000293066508e-15
2633.359863  1.7510000610912457e-13  1.4798000166546792e-15  1.7509999552121273e-15
2634.909668  1.7317000426935597e-13  1.469699995791619e-15  1.7316999918715829e-15
2636.459473  1.7396999639485156e-13  1.477799960107975e-15  1.739700006300163e-15
2638.009521  1.728400002331057e-13  1.466799966738457e-15  1.7283999515090801e-15
2639.559326  1.7480999558051186e-13  1.4960000511665098e-15  1.7481000320380838e-15
2641.109131  1.7424000339338191e-13  1.4726999747325569e-15  1.7424000296986544e-15
2642.65918  1.7558999772845224e-13  1.466799966738457e-15  1.7559000408119935e-15
2644.208984  1.717900046391621e-13  1.461200020165922e-15  1.7179000252157974e-15
2645.759033  1.7464000623239329e-13  1.4766000320590709e-15  1.7464000369129444e-15
2647.308838  1.7494000497352002e-13  1.4637999877975191e-15  1.7494000158538824e-15
2648.858887  1.7016000154052024e-13  1.4487999872137111e-15  1.7016000408161909e-15
2650.408691  1.7175999934403857e-13  1.4798000166546792e-15  1.7175999637942326e-15
2651.95874  1.7071000375009499e-13  1.4593999692738883e-15  1.7071000375009499e-15
2653.508789  1.7287000552822923e-13  1.4819999729769355e-15  1.728700012930645e-15
2655.058594  1.7280999493798216e-13  1.4589000080767714e-15  1.7280999959666337e-15
2656.608643  1.6857999371455712e-13  1.445100041420986e-15  1.6858000176137012e-15
2658.158691  1.681100056253118e-13  1.4485000316712647e-15  1.6811000435476239e-15
2659.70874  1.6874999661520285e-13  1.4399000002786734e-15  1.6875000127388406e-15
2661.258789  1.7420999809825838e-13  1.5049999879893235e-15  1.7420999682770896e-15
2662.808594  1.7042000677400942e-13  1.4555000178264926e-15  1.704200008447788e-15
2664.358643  1.6835999554123265e-13  1.4622000484392742e-15  1.6835999554123265e-15
2665.908691  1.70969995431057e-13  1.4680000006664796e-15  1.709700005132547e-15
2667.45874  1.698600027993935e-13  1.4310999632314116e-15  1.6985999559961345e-15
2669.008789  1.703200026761248e-13  1.4677999950118092e-15  1.7031999801744358e-15
2670.558838  1.7080999429545246e-13  1.4669000225053515e-15  1.7080999598951836e-15
2672.109131  1.7297999783862789e-13  1.4603000476594644e-15  1.729799991091773e-15
2673.65918  1.711600018617851e-13  1.5028000316670673e-15  1.7116000059123567e-15
2675.209229  1.7106999952894164e-13  1.4530999499704476e-15  1.710700033405899e-15
2676.759277  1.6736999698500898e-13  1.4730999860418977e-15  1.673700046083055e-15
2678.309326  1.6873999485016167e-13  1.4475999532856886e-15  1.6873999569719461e-15
2679.859619  1.7164000526859874e-13  1.4827000457078411e-15  1.7164000357453284e-15
2681.409668  1.6527999400963583e-13  1.4371999768801819e-15  1.6528000375051473e-15
2682.959717  1.6647000076162877e-13  1.475199992476378e-15  1.664700003381123e-15
