# CALSPEC 2024 November
# Wavelength(A)  Flambda(erg/s/cm2/A)  ErrStat(erg/s/cm2/A)  ErrSys(erg/s/cm2/A)
2500.365723  2.1939000366833633e-15  8.338799814213191e-17  2.1939000366833633e-17
2501.914551  2.3189000768414694e-15  8.74839980121475e-17  2.3188999312576816e-17
2503.463379  2.0181000425466278e-15  8.090400123241477e-17  2.0181000028419584e-17
2505.012207  2.2281000507199398e-15  8.453599910090241e-17  2.2280999845454907e-17
2506.561279  2.238499921246328e-15  8.54779989999227e-17  2.2384999609509975e-17
2508.110107  2.0102999278935997e-15  8.063700056557246e-17  2.0103000205378283e-17
2509.658936  2.1119000476090954e-15  8.334599721934892e-17  2.1118999681997566e-17
2511.207764  2.2050999298284333e-15  8.362199761125582e-17  2.2051000621773313e-17
2512.756836  2.0836000415666188e-15  8.153400183926986e-17  2.083599968774725e-17
2514.305664  2.1985000608616646e-15  8.441000294999833e-17  2.1984999880697707e-17
2515.854736  2.1607998949287966e-15  8.261799887096345e-17  2.160800073599809e-17
2517.403564  2.2340000587140396e-15  8.49820016523012e-17  2.2339999329825865e-17
2518.952637  2.1961999428933955e-15  8.5492001513332e-17  2.1961999296585057e-17
2520.501465  2.131899977801427e-15  8.104000296000829e-17  2.1319000373584312e-17
2522.050537  2.241899911496607e-15  8.541200322193077e-17  2.2419000041408354e-17
2523.599609  2.020700010178225e-15  8.044799972177144e-17  2.020699996943335e-17
2525.148438  2.2264000555948004e-15  8.468199978774047e-17  2.2263999629505718e-17
2526.69751  2.0083000831051323e-15  8.05940004086095e-17  2.0083000632527976e-17
2528.246582  2.1225999795570485e-15  8.15469985010543e-17  2.1226000457314975e-17
2529.79541  2.1520000696397716e-15  8.341700240313047e-17  2.1520000299351022e-17
2531.344482  2.031399942126178e-15  8.006299677746476e-17  2.031400074475076e-17
2532.893555  2.1363001022041764e-15  8.248600069753469e-17  2.1362999764727233e-17
2534.442627  1.9336999856163148e-15  7.949099807516189e-17  1.9336999525290903e-17
2535.991699  2.10420009460208e-15  8.14519984620638e-17  2.1042000747497455e-17
2537.540771  2.1505999241779603e-15  8.288300106944584e-17  2.150599944030295e-17
2539.089844  1.9971999280896015e-15  7.998999974276818e-17  1.997199961176826e-17
2540.638916  2.097399902343286e-15  8.128999679345652e-17  2.0973999883700695e-17
2542.187988  2.085200086803982e-15  8.271299890995394e-17  2.0852000669516474e-17
2543.737061  1.9335000858407628e-15  7.674600252112712e-17  1.933499940256975e-17
2545.286133  1.9369000760910415e-15  7.896900078652663e-17  1.936899983446813e-17
2546.835449  2.0059999651368633e-15  7.940399852705601e-17  2.0060000048415327e-17
2548.384521  1.970999928481605e-15  7.906100312297723e-17  1.971000007890944e-17
2549.933594  2.0377999113173947e-15  8.120299724535064e-17  2.0377999708743988e-17
2551.482666  2.0249999729349613e-15  7.881400037462399e-17  2.0250000126396307e-17
2553.031982  2.0021999635772437e-15  8.127700013167209e-17  2.002199937107464e-17
2554.581055  2.049999938614935e-15  8.072000317695848e-17  2.0500000577289434e-17
2556.130371  1.9525000936388608e-15  7.778200322495793e-17  1.952499948055073e-17
2557.679443  1.8579000659577115e-15  7.801000067155715e-17  1.8578999336088135e-17
2559.228516  2.1310999551827454e-15  8.14660009754731e-17  2.13109998826997e-17
2560.777832  1.8315999047037023e-15  7.59999981051676e-17  1.831600056904935e-17
2562.327148  1.9011999667048777e-15  7.874200257410738e-17  1.9012000262618818e-17
2563.876221  1.995700044498251e-15  7.844000224118672e-17  1.9956999518540224e-17
2565.425537  1.936299953247912e-15  7.86269979991829e-17  1.936299946630467e-17
2566.974854  1.9286000002408966e-15  7.802199809916162e-17  1.928600053180456e-17
2568.523926  2.0836999914543948e-15  7.963799799617992e-17  2.0837000576288438e-17
2570.073242  2.0484001051358086e-15  8.081500321594897e-17  2.0483999595520208e-17
2571.622559  2.097399902343286e-15  8.101899918989435e-17  2.0973999883700695e-17
2573.171875  1.9175000569836027e-15  7.848400163232964e-17  1.9174999511044843e-17
2574.720947  1.9134999438901942e-15  7.825800265409035e-17  1.9135000365344228e-17
2576.270264  1.8875000558159867e-15  7.708999715938587e-17  1.8874999300845336e-17
2577.81958  2.075200015828698e-15  7.986000003769935e-17  2.075199949654249e-17
2579.368896  1.9587999011840647e-15  7.86689989219659e-17  1.9587999210363994e-17
2580.918213  2.003899958702383e-15  7.840099902094362e-17  2.003899958702383e-17
2582.467529  1.9455000016045144e-15  7.882399933386853e-17  1.9455000148394042e-17
2584.016846  1.9257999210755107e-15  7.756800167432312e-17  1.925800046806964e-17
2585.566406  1.777899921671911e-15  7.622800216921171e-17  1.77789998784636e-17
2587.115723  1.8249000858491576e-15  7.454300217421669e-17  1.824900059379378e-17
2588.665039  1.9881000413790118e-15  7.882699703640842e-17  1.9880999818220077e-17
2590.214355  1.8521999577391637e-15  7.65070002636585e-17  1.852199997443833e-17
2591.763672  1.854299964173644e-15  7.708600022266602e-17  1.8543000435829827e-17
2593.313232  1.887199994394422e-15  7.770399678447173e-17  1.8871999943944218e-17
2594.862549  1.910899976258597e-15  7.822199713638714e-17  1.9109000424330462e-17
2596.412109  1.8067001006697413e-15  7.520700321297016e-17  1.8066999352336188e-17
2597.961426  1.8851999378477176e-15  7.647100136340019e-17  1.885200037109391e-17
2599.510742  1.762799971200327e-15  7.380699671750171e-17  1.762799971200327e-17
2601.060303  1.6448000230765672e-15  7.274199837011724e-17  1.6448000098416774e-17
2602.609619  1.7513999665214682e-15  7.475100170232683e-17  1.7513999334342437e-17
2604.15918  1.8393000694689543e-15  7.643800016568177e-17  1.839299950354946e-17
2605.70874  1.7454999585273683e-15  7.361000200026098e-17  1.745499984997148e-17
2607.258057  1.7591999752953778e-15  7.467300187928553e-17  1.7592000811744962e-17
2608.807617  2.0224999551911402e-15  7.947999988173739e-17  2.0224999419562504e-17
2610.357178  1.8915999070389343e-15  7.605500230717992e-17  1.891599933508714e-17
2611.906494  1.8550000369045496e-15  7.678499912392532e-17  1.855000003817325e-17
